conditioning,dimension,effect_b_minus_a,factor_a,factor_b,kind,level_a,level_b,metric
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""band"", ""poisson"": ""0.48999999999999999""}",2d,-0.02690090727984555,geometry,,paired_marginal,long,short,final_midline_y_range
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,0.0,geometry,,paired_marginal,long,short,final_inverted_rest_measure_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,0.0,geometry,,paired_marginal,long,short,peak_inverted_rest_measure_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,0.0,geometry,,paired_marginal,long,short,final_detf_negative_detainv_negative_detg_positive_rest_measure_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,0.0,geometry,,paired_marginal,long,short,peak_detf_negative_detainv_negative_detg_positive_rest_measure_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,0.0,geometry,,paired_marginal,long,short,final_detf_negative_detainv_positive_detg_negative_rest_measure_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,0.0,geometry,,paired_marginal,long,short,peak_detf_negative_detainv_positive_detg_negative_rest_measure_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,0.20803386009763486,geometry,,paired_marginal,long,short,trajectory_min_det_f
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,0.011977265133533766,geometry,,paired_marginal,long,short,final_target_rms
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,-5.427602366349707,geometry,,paired_marginal,long,short,final_activation_rms
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,0.0,geometry,,paired_marginal,long,short,final_activation_jump_rms
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,0.01852883255322646,geometry,,paired_marginal,long,short,final_midline_arc_length_ratio
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,5.592111924026546,geometry,,paired_marginal,long,short,final_midline_turning_density
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,0.0,geometry,,paired_marginal,long,short,final_midline_x_reversal_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,0.001985683336941449,geometry,,paired_marginal,long,short,final_midline_y_range
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.48999999999999999""}",2d,0.0,geometry,,paired_marginal,long,short,final_inverted_rest_measure_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.48999999999999999""}",2d,0.0,geometry,,paired_marginal,long,short,peak_inverted_rest_measure_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.48999999999999999""}",2d,0.0,geometry,,paired_marginal,long,short,final_detf_negative_detainv_negative_detg_positive_rest_measure_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.48999999999999999""}",2d,0.0,geometry,,paired_marginal,long,short,peak_detf_negative_detainv_negative_detg_positive_rest_measure_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.48999999999999999""}",2d,0.0,geometry,,paired_marginal,long,short,final_detf_negative_detainv_positive_detg_negative_rest_measure_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.48999999999999999""}",2d,0.0,geometry,,paired_marginal,long,short,peak_detf_negative_detainv_positive_detg_negative_rest_measure_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.48999999999999999""}",2d,0.16988314609201421,geometry,,paired_marginal,long,short,trajectory_min_det_f
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.48999999999999999""}",2d,0.0015563261194502633,geometry,,paired_marginal,long,short,final_target_rms
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.48999999999999999""}",2d,-20.515538519459785,geometry,,paired_marginal,long,short,final_activation_rms
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.48999999999999999""}",2d,0.0,geometry,,paired_marginal,long,short,final_activation_jump_rms
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.48999999999999999""}",2d,0.17285993092154883,geometry,,paired_marginal,long,short,final_midline_arc_length_ratio
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.48999999999999999""}",2d,20.52908048083711,geometry,,paired_marginal,long,short,final_midline_turning_density
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.48999999999999999""}",2d,0.0,geometry,,paired_marginal,long,short,final_midline_x_reversal_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""band"", ""poisson"": ""0.48999999999999999""}",2d,0.01954291792572565,geometry,,paired_marginal,long,short,final_midline_y_range
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,-0.0010000000000000009,geometry,,paired_marginal,long,short,final_inverted_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,-0.0010000000000000009,geometry,,paired_marginal,long,short,peak_inverted_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,-0.0010000000000000009,geometry,,paired_marginal,long,short,final_detf_negative_detainv_negative_detg_positive_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,-0.0010000000000000009,geometry,,paired_marginal,long,short,peak_detf_negative_detainv_negative_detg_positive_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,0.0,geometry,,paired_marginal,long,short,final_detf_negative_detainv_positive_detg_negative_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,-0.0005000000000000009,geometry,,paired_marginal,long,short,peak_detf_negative_detainv_positive_detg_negative_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,2.618798779371759,geometry,,paired_marginal,long,short,trajectory_min_det_f
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,-2.5035542622043417e-09,geometry,,paired_marginal,long,short,final_target_rms
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,0.039713641344259254,geometry,,paired_marginal,long,short,final_activation_rms
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,-0.01965527944212174,geometry,,paired_marginal,long,short,final_activation_jump_rms
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,0.14147089938331936,geometry,,paired_marginal,long,short,final_midline_arc_length_ratio
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,9.678815574593447,geometry,,paired_marginal,long,short,final_midline_turning_density
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,0.0,geometry,,paired_marginal,long,short,final_midline_x_reversal_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,0.0037520086668187125,geometry,,paired_marginal,long,short,final_midline_y_range
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,0.0,geometry,,paired_marginal,long,short,final_inverted_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,0.0,geometry,,paired_marginal,long,short,peak_inverted_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,0.0,geometry,,paired_marginal,long,short,final_detf_negative_detainv_negative_detg_positive_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,0.0,geometry,,paired_marginal,long,short,peak_detf_negative_detainv_negative_detg_positive_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,0.0,geometry,,paired_marginal,long,short,final_detf_negative_detainv_positive_detg_negative_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,0.0,geometry,,paired_marginal,long,short,peak_detf_negative_detainv_positive_detg_negative_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,0.7059564362221825,geometry,,paired_marginal,long,short,trajectory_min_det_f
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,-7.96575579391367e-07,geometry,,paired_marginal,long,short,final_target_rms
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,0.004052073134721473,geometry,,paired_marginal,long,short,final_activation_rms
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,-0.02087625646416927,geometry,,paired_marginal,long,short,final_activation_jump_rms
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,0.1618307363848066,geometry,,paired_marginal,long,short,final_midline_arc_length_ratio
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,33.24928130830064,geometry,,paired_marginal,long,short,final_midline_turning_density
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,0.0,geometry,,paired_marginal,long,short,final_midline_x_reversal_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,-0.009984598567480817,geometry,,paired_marginal,long,short,final_midline_y_range
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,0.0,geometry,,paired_marginal,long,short,final_inverted_rest_measure_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,0.004500000000000005,geometry,,paired_marginal,long,short,peak_inverted_rest_measure_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,0.0,geometry,,paired_marginal,long,short,final_detf_negative_detainv_negative_detg_positive_rest_measure_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,0.0,geometry,,paired_marginal,long,short,peak_detf_negative_detainv_negative_detg_positive_rest_measure_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,0.0,geometry,,paired_marginal,long,short,final_detf_negative_detainv_positive_detg_negative_rest_measure_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,0.004500000000000005,geometry,,paired_marginal,long,short,peak_detf_negative_detainv_positive_detg_negative_rest_measure_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,-0.28617251718463,geometry,,paired_marginal,long,short,trajectory_min_det_f
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,0.006364412715613398,geometry,,paired_marginal,long,short,final_target_rms
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,-3.7023556665383737,geometry,,paired_marginal,long,short,final_activation_rms
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,0.0,geometry,,paired_marginal,long,short,final_activation_jump_rms
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,1.3126424445175644e-06,geometry,,paired_marginal,long,short,final_midline_arc_length_ratio
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,0.045486901018779356,geometry,,paired_marginal,long,short,final_midline_turning_density
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,0.0,geometry,,paired_marginal,long,short,final_midline_x_reversal_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.34999999999999998""}",2d,7.305389644581689e-05,geometry,,paired_marginal,long,short,final_midline_y_range
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,0.0,geometry,,paired_marginal,long,short,final_inverted_rest_measure_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,0.0,geometry,,paired_marginal,long,short,peak_inverted_rest_measure_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,0.0,geometry,,paired_marginal,long,short,final_detf_negative_detainv_negative_detg_positive_rest_measure_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,0.0,geometry,,paired_marginal,long,short,peak_detf_negative_detainv_negative_detg_positive_rest_measure_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,0.0,geometry,,paired_marginal,long,short,final_detf_negative_detainv_positive_detg_negative_rest_measure_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,0.0,geometry,,paired_marginal,long,short,peak_detf_negative_detainv_positive_detg_negative_rest_measure_fraction
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,-0.10031193650309267,geometry,,paired_marginal,long,short,trajectory_min_det_f
"{""activation_sharing"": ""shared"", ""muscle_extent"": ""full"", ""poisson"": ""0.48999999999999999""}",2d,0.002069804331464388,geometry,,paired_marginal,long,short,final_target_rms
