coding,dimension,factor_subset,formula,metric,order,signed_nested_contrast
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}}",2d,activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_inverted_rest_measure_fraction,1,-0.020375000000000004
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}}",2d,activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_detf_negative_detainv_negative_detg_positive_rest_measure_fraction,1,-0.011749999999999998
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}}",2d,activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_detf_negative_detainv_negative_detg_positive_rest_measure_fraction,1,-0.012812499999999996
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}}",2d,activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_detf_negative_detainv_positive_detg_negative_rest_measure_fraction,1,-0.00725
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}}",2d,activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_detf_negative_detainv_positive_detg_negative_rest_measure_fraction,1,-0.009875000000000005
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}}",2d,activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),trajectory_min_det_f,1,15.714887773592489
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}}",2d,activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_target_rms,1,0.004601375578723442
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}}",2d,activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_activation_rms,1,5.258076259685732
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}}",2d,activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_activation_jump_rms,1,-0.7144253556725396
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}}",2d,activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_arc_length_ratio,1,-0.4217887022235822
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}}",2d,activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_turning_density,1,-36.46477573519943
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}}",2d,activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_x_reversal_fraction,1,-0.023750000000000004
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}}",2d,activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_y_range,1,-0.03700303642799438
"{""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),final_inverted_rest_measure_fraction,1,-0.015999999999999993
"{""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_inverted_rest_measure_fraction,1,-0.018750000000000003
"{""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),final_detf_negative_detainv_negative_detg_positive_rest_measure_fraction,1,-0.008875
"{""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_detf_negative_detainv_negative_detg_positive_rest_measure_fraction,1,-0.009812499999999997
"{""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),final_detf_negative_detainv_positive_detg_negative_rest_measure_fraction,1,-0.007125
"{""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_detf_negative_detainv_positive_detg_negative_rest_measure_fraction,1,-0.010875000000000006
"{""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),trajectory_min_det_f,1,6.536933335894906
"{""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),final_target_rms,1,-0.0015118982602582926
"{""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),final_activation_rms,1,2.700233895831585
"{""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),final_activation_jump_rms,1,-0.5425538794686436
"{""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_arc_length_ratio,1,-0.13075632591949166
"{""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_turning_density,1,6.414273769491943
"{""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_x_reversal_fraction,1,-0.013750000000000002
"{""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_y_range,1,0.0028541254223263283
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,geometry:muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),final_inverted_rest_measure_fraction,2,-0.02249999999999999
