step,learning_rate,objective_total,data_mse,error_mae,error_rms,error_max,error_rms_fraction_of_target,top_y_mean,top_y_std,top_y_min,top_y_max,top_y_range,top_y_near_muscle_mean,top_y_far_mean,top_y_highpass_rms,top_y_highpass_peak_to_valley,top_y_first_difference_rms,top_y_second_difference_rms,activation_rms,activation_max_abs,activation_neighbor_jump_rms,activation_bound_hits,activation_smooth_mse
0.0,0.05,0.005000000000000002,0.005000000000000002,0.049999999999999996,0.07071067811865477,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.04999950751430866,0.004969671622375228,0.004969671622375228,0.050271192645166156,0.07049589791168864,0.09994873357259317,0.9969625491837921,0.00030976435883678507,0.0002271882538219798,5.126642740683816e-05,0.0009411571388616518,0.0008898907114548136,0.000585935394618359,0.00014262083874343182,1.9614295276487762e-05,0.00016803842960506416,3.517113460397962e-05,3.110473841914601e-05,0.04622908210461214,0.04991671779926465,0.010792098298291525,0.0,0.0
2.0,0.05,0.004940646997219617,0.004940646997219617,0.05053466036255576,0.0702897360730542,0.09989771503320218,0.994046980501386,0.0006190363715223786,0.0004619942877473073,0.00010228496679783017,0.001876361460686965,0.0017740764938891347,0.0011721132426012564,0.0002845511257432614,3.9476535788458176e-05,0.0003334674870802206,7.053236079548069e-05,5.398771852120104e-05,0.09273804955135598,0.09979351875850334,0.017892672814380273,0.0,0.0
3.0,0.04999950751430866,0.004912928801584991,0.004912928801584991,0.05079382373885694,0.07009228774683411,0.09984703278226804,0.991254639493303,0.0009274277857100442,0.0007002700810781955,0.00015296721773196023,0.0028086351158169006,0.00265566789808494,0.0017581848594371693,0.0004255461263985884,6.0680108457648754e-05,0.0004977051165841546,0.00010737048584537544,7.57539779413635e-05,0.13973854166889108,0.14967302813637873,0.024688344289548494,0.0,0.0
4.0,0.049998030076755136,0.004886521066610934,0.004886521066610934,0.05104861050048554,0.06990365560262878,0.099796816928172,0.9885869781269558,0.001234496289103283,0.0009407169952256025,0.00020318307182801268,0.0037391332118129877,0.003535950139984975,0.0023438375926131765,0.000565244014473072,8.259758811939682e-05,0.0006613431439836434,0.0001450614548779474,9.714862951183297e-05,0.18699898118539465,0.19953324366654132,0.031344543262076356,0.0,0.0
5.0,0.04999556774590014,0.004861420247624991,0.004861420247624991,0.0512982361536222,0.06972388577542843,0.09974722434128047,0.9860446488496339,0.0015397450446964355,0.0011829284497755321,0.0002527756587195277,0.004668665805610442,0.004415890146890914,0.0029287854943441383,0.0007032083958594629,0.00010495906866536796,0.0008247787058078761,0.0001833215936889056,0.00011832076018386858,0.23436782315280263,0.2493700852975704,0.03776433704441834,0.0,0.0
6.0,0.04999212061934227,0.0048376125430402645,0.0048376125430402645,0.0515415869866745,0.06955294776672132,0.09969843571285801,0.9836272203472474,0.0018426190227078074,0.0014268270298643836,0.0003015642871419903,0.005598009312851476,0.005296445025709485,0.003512748716095649,0.0008389365869705188,0.0001276400141647272,0.00098836356422636,0.00022201928112658244,0.00013930501339431948,0.28172939740611486,0.2991809167245679,0.04381713918342131,0.0,0.0
7.0,0.04998768883371418,0.004815071956265003,0.004815071956265003,0.051777319215222654,0.06939071952548843,0.09965065485404667,0.9813329665577326,0.002142503130089426,0.0016725064454280098,0.0003493451459533374,0.006528090625490372,0.0061787454795370345,0.004095445225483817,0.0009718615774050712,0.00015058126702053817,0.001166809380487263,0.0002610969414563807,0.00016010804426572317,0.32898292893215547,0.3489588892107181,0.049383111473454075,0.0,0.0
8.0,0.04998227256467711,0.004793758693935434,0.004793758693935434,0.052003900288813645,0.06923697490456551,0.099604107880211,0.9791586892772216,0.0024387233386698286,0.001920177961095343,0.00039589211978900143,0.00746014073092898,0.0070642486111399784,0.00467658879167469,0.0011013543017878164,0.00017376034219333033,0.0013465106169427417,0.00030054232907234673,0.00018073441023345435,0.37603418988251724,0.39869901151504505,0.05438106359328012,0.0,0.0
9.0,0.049975872026913955,0.004773617980028036,0.004773617980028036,0.05221964005978484,0.0690913741361976,0.09955904119810097,0.9770995834640432,0.0027305520718598434,0.0021701465312272896,0.00044095880189903435,0.00839576999171559,0.007954811189816556,0.005255889917848529,0.0012267292423821959,0.00019717858587661502,0.0015275900618217757,0.00034037532923678586,0.00020119559545047093,0.4227922228672696,0.4483963557554687,0.05878658786298975,0.0,0.0
10.0,0.04996848747412076,0.0047545795106273304,0.0047545795106273304,0.052422727867214296,0.06895345901858246,0.09951571755566345,0.975149169166167,0.003017219171668971,0.002422790657299664,0.0004842824443365507,0.009336901590472488,0.008852619146135937,0.005833058194285996,0.0013472554238485005,0.0002208519649612131,0.0017103311294131124,0.00038063734817999354,0.00022151036760280818,0.4691683041984953,0.49804607000867845,0.06263033323320116,0.0,0.0
11.0,0.04996011919899664,0.004736557836266285,0.004736557836266285,0.05261128325971591,0.06882265496380015,0.09947440970545224,0.9732993204833016,0.0032979295066677466,0.0026785382684295085,0.0005255902945477658,0.01028557645397433,0.009759986159426564,0.006407805848225046,0.001462174050276791,0.0002448026297295409,0.0018950789799591378,0.0004213804890652224,0.0002417017181598248,0.5150765339109354,0.5476433895857642,0.06598026444723117,0.0,0.0
12.0,0.0499507675332322,0.0047194539435981234,0.0047194539435981234,0.05278362558116697,0.06869828195521431,0.09943539161350418,0.9715404205279492,0.003571887486356577,0.0029378387325440544,0.0005646083864958293,0.011243700900095532,0.010679092513599702,0.006979852836000252,0.0015707229739956952,0.0002690517277254724,0.0020821731338220087,0.0004626576807769578,0.00026179501914742946,0.5604360197484103,0.597183646306161,0.06892199117882378,0.0,0.0
13.0,0.049940432847496385,0.004703158186409432,0.004703158186409432,0.052938936857572005,0.06857957557764142,0.09939892761733472,0.9698616588369117,0.0038383274124907745,0.003201132179067897,0.0006010723826652762,0.012212797740032484,0.011611725357367209,0.007548933502187288,0.0016721668717152747,0.00029361387068606315,0.0022718903328909023,0.0005045145634750819,0.0002818189913401108,0.6051742609463072,0.6466622747702558,0.07154568885695635,0.0,0.0
14.0,0.049929115551421765,0.004687554489501352,0.004687554489501352,0.053074701631657284,0.06846571762204316,0.09936526045058837,0.9682514641870004,0.0040965470761282355,0.0034688172578074355,0.0006347395494116345,0.013193797746016745,0.01255905819660511,0.008114804277796081,0.0017658305725228624,0.0003184932095685821,0.0024644017730795064,0.0005469830754678594,0.00030180868006399815,0.6492309624403839,0.6960748145697329,0.07393960680693569,0.0,0.0
