case,setup,best_step,best_loss_mm2,best_error_rms_mm,roughness_displacement_edge_rms,roughness_displacement_laplacian_rms,inverse_converged,forward_failures,adjoint_failures,active_muscle_cells,active_muscle_rest_volume,active_muscle_min_det_f,active_muscle_min_det_ainv,active_muscle_min_det_g,active_muscle_f_negative_cells,active_muscle_f_negative_rest_volume_fraction,active_muscle_ainv_negative_cells,active_muscle_ainv_negative_rest_volume_fraction,active_muscle_g_negative_cells,active_muscle_g_negative_rest_volume_fraction,active_muscle_double_inverted_cells,active_muscle_double_inverted_rest_volume_fraction,zygomaticus_63_64_cells,zygomaticus_63_64_rest_volume,zygomaticus_63_64_min_det_f,zygomaticus_63_64_min_det_ainv,zygomaticus_63_64_min_det_g,zygomaticus_63_64_f_negative_cells,zygomaticus_63_64_f_negative_rest_volume_fraction,zygomaticus_63_64_ainv_negative_cells,zygomaticus_63_64_ainv_negative_rest_volume_fraction,zygomaticus_63_64_g_negative_cells,zygomaticus_63_64_g_negative_rest_volume_fraction,zygomaticus_63_64_double_inverted_cells,zygomaticus_63_64_double_inverted_rest_volume_fraction
20-human-face-smile-no-skin-lr1,no-skin,5,4.393016933966862,3.6302962416172857,0.0004809271130127783,0.00024119066154464988,False,155,0,288235,0.00021637251824112015,-79.63141378178094,-13.093365938000746,-0.697922219207076,2135,0.007817908866830172,2961,0.011066139033404972,1578,0.005672667196925799,1759,0.006605690351654673,2426,2.0223574685002583e-06,-0.7605361307383518,-0.8359063800448585,-0.10670598525813156,7,0.0021014473203553466,23,0.011143404454291026,26,0.01075155649920905,2,0.001246647637718663
20-human-face-smile-no-skin-lr3,no-skin,194,0.1337974162796421,0.6335552452935153,0.0004790043238286626,0.00021348033184573784,False,6,0,288235,0.00021637251824112015,-7.394504998885899,-8.191360008063105,-0.6716433231290706,110,0.00041609749170218004,159,0.0006880234934122318,119,0.00046153363232507194,75,0.00032129367639467,2426,2.0223574685002583e-06,-1.2732700831380714,-0.7211218722835784,-0.4941269316392331,12,0.004391780729965109,8,0.003904971659011356,12,0.0043682302176888295,4,0.001964261085643818
20-human-face-smile-skin-estimated-plus-tightening-lr1,skin-estimated-plus-tightening,192,1.6766584614178492,2.2427606613844344,0.0003053174422233864,8.199695336408243e-05,False,2,0,288235,0.00021637251824112015,-13.721029968274985,-108.4919430252518,-1.2804558634597065,974,0.003529023415407533,1041,0.003981370834510882,777,0.002700614000307003,619,0.0024048901248057064,2426,2.0223574685002583e-06,-1.2087367544667011,-9.983068029261378,-0.26335755535350064,41,0.01588216204684343,35,0.01519485066812265,28,0.01069349824292561,24,0.010191757236020237
20-human-face-smile-skin-estimated-plus-tightening-lr2-cont-lr02-warm-from-best,skin-estimated-plus-tightening,9,1.6585276206152975,2.2306014574203727,0.000306065447183693,8.202479855790749e-05,False,0,0,288235,0.00021637251824112015,-14.077679159902482,-108.40883883041671,-1.286325484586017,986,0.0035657284151076607,1035,0.003959064062448347,763,0.0026536604230627146,629,0.002435566027246646,2426,2.0223574685002583e-06,-1.564087873510917,-10.228833776224223,-0.39978005869060884,40,0.015379539398024746,36,0.015760391619443762,28,0.010756416545428034,24,0.010191757236020237
20-human-face-smile-skin-no-prestrain-lr1,skin-no-prestrain,190,1.2222087638113273,1.914843672844857,0.000372801710872484,0.00014105919945801734,False,1,0,288235,0.00021637251824112015,-29.37358031835252,-60.85122881671716,-1.315250573666415,1203,0.004600594766264362,1301,0.005208045525488023,750,0.002760410681679093,877,0.0035241148050366464,2426,2.0223574685002583e-06,-3.719308784628035,-24.265417777927862,-1.1259116501731772,74,0.02813193495815547,84,0.03562960157449612,50,0.02022207588325899,54,0.02176973032469631
20-human-face-smile-skin-no-prestrain-lr3-cont-lr03-from-best,skin-no-prestrain,1,1.2221455696293961,1.914794168804623,0.00037279725258246006,0.00014105852586878168,False,0,0,288235,0.00021637251824112015,-29.373654157323937,-60.85122881671716,-1.3152330041230214,1204,0.004604872846028627,1301,0.005208045525488023,751,0.0027646887614433562,877,0.0035241148050366464,2426,2.0223574685002583e-06,-3.719199349593948,-24.265417777927862,-1.125918093314943,74,0.02813193495815547,84,0.03562960157449612,50,0.02022207588325899,54,0.02176973032469631
