triangle_id,point_id_0,point_id_1,point_id_2,base_area,min_relative_area_change,min_expression,max_relative_area_change,max_expression
19,777,12570,12846,1.3660387143609271e-06,-0.3619007900809631,Extra_Funnel,0.40597700657244351,Scream
20,777,13536,13253,1.3869791396631813e-06,-0.24724630095185152,LipsFunnel,0.32031883123656524,LipsPressed
21,777,12775,12570,1.0540335039350863e-06,-0.31514585575750043,Extra_Funnel,0.30534658510323309,LipsPressed
22,777,12846,13342,1.4202315812785064e-06,-0.35989969863704485,Extra_Funnel,0.41145445703737638,Scream
23,783,277804,414011,2.2764225724684305e-06,-0.04459518512374272,Smile,0.045222794327123061,EyeScrewedUpLeft
24,783,364527,66265,1.4082510473112282e-06,-0.055577906277633038,Smile,0.035372799031338387,EyeScrewedUpLeft
25,783,228012,374964,2.0154597640172377e-06,-0.049121387338412315,Smile,0.057346568162507827,EyeScrewedUpLeft
26,783,362362,364527,2.4411886536475464e-06,-0.0439934683509553,Smile,0.033798680624769206,Compressed
27,783,414011,96041,1.3104347174127672e-06,-0.048348836192652844,Smile,0.04010072096740358,EyeScrewedUpLeft
28,783,96041,362362,1.37510300922502e-06,-0.04839590759491974,Smile,0.039712518188683044,EyeScrewedUpLeft
29,783,66265,228012,1.3307170030600652e-06,-0.056044791196408927,Smile,0.038175006890480478,EyeScrewedUpLeft
30,783,374964,277804,1.9581810094565353e-06,-0.053692242776528842,Smile,0.053126136440255545,EyeScrewedUpLeft
31,799,366100,279012,1.872247494690379e-06,-0.05436373647567927,Smile,0.036033828364772313,EyeScrewedUpLeft
