cycles_per_unit_length,wavenumber,power
1.0101010101010102,6.346651825433926,8.68114473802231e-05
2.0202020202020203,12.693303650867852,6.203488012265743e-05
3.0303030303030303,19.039955476301778,3.583443201678664e-05
4.040404040404041,25.386607301735705,1.3917858981621901e-05
5.050505050505051,31.73325912716963,3.7540179080521685e-06
6.0606060606060606,38.079910952603555,3.303801673113876e-06
7.070707070707071,44.42656277803748,5.655840515240223e-06
8.080808080808081,50.77321460347141,6.063641063915563e-06
9.090909090909092,57.11986642890533,4.164582560625581e-06
10.101010101010102,63.46651825433926,1.8007626965972406e-06
11.111111111111112,69.81317007977319,3.634340450182681e-07
12.121212121212121,76.15982190520711,1.771230599838075e-08
13.131313131313131,82.50647373064103,2.907773053286469e-07
14.141414141414142,88.85312555607496,6.641736277712883e-07
15.151515151515152,95.19977738150888,7.850889417162384e-07
16.161616161616163,101.54642920694282,5.835718322669969e-07
17.171717171717173,107.89308103237674,2.8655437627953885e-07
18.181818181818183,114.23973285781067,1.563813913802064e-07
19.191919191919194,120.5863846832446,2.032189459495857e-07
20.202020202020204,126.93303650867853,2.4494096579294934e-07
21.212121212121215,133.27968833411245,1.8121584757645208e-07
22.222222222222225,139.62634015954637,7.565893023245037e-08
23.232323232323235,145.9729919849803,1.225806916751346e-08
24.242424242424242,152.31964381041422,1.4500832412032194e-09
25.252525252525253,158.66629563584814,1.8443541619036148e-08
26.262626262626263,165.01294746128207,4.032071707960191e-08
27.272727272727273,171.359599286716,4.486786374979979e-08
28.282828282828284,177.7062511121499,2.9081784804948783e-08
29.292929292929294,184.05290293758384,1.989436377361305e-08
30.303030303030305,190.39955476301776,3.335481446309833e-08
31.313131313131315,196.7462065884517,4.6475232528373116e-08
32.323232323232325,203.09285841388564,3.561708239658495e-08
33.333333333333336,209.43951023931956,1.3470429272992166e-08
34.343434343434346,215.78616206475348,4.318017755918761e-09
35.35353535353536,222.1328138901874,1.0313759255532641e-08
36.36363636363637,228.47946571562133,2.0905354358535965e-08
37.37373737373738,234.82611754105525,3.031190173970338e-08
38.38383838383839,241.1727693664892,3.247418662506093e-08
39.3939393939394,247.51942119192313,2.2069194040869204e-08
40.40404040404041,253.86607301735705,9.019494790233485e-09
41.41414141414142,260.212724842791,1.0692570420477297e-08
42.42424242424243,266.5593766682249,2.547311346549178e-08
43.43434343434344,272.9060284936588,3.3791997714952034e-08
44.44444444444445,279.25268031909275,2.6583484455115434e-08
45.45454545454546,285.59933214452667,1.4376430318731474e-08
46.46464646464647,291.9459839699606,8.073548356965692e-09
47.47474747474748,298.2926357953945,6.891332128664104e-09
48.484848484848484,304.63928762082844,6.151852878302104e-09
49.494949494949495,310.98593944626236,5.085423776678652e-09
