cycles_per_unit_length,wavenumber,power
1.0101010101010102,6.346651825433926,8.549087610974546e-05
2.0202020202020203,12.693303650867852,5.785327439283532e-05
3.0303030303030303,19.039955476301778,3.289617140877719e-05
4.040404040404041,25.386607301735705,1.3818685648282845e-05
5.050505050505051,31.73325912716963,4.901940283916013e-06
6.0606060606060606,38.079910952603555,3.6459371246046923e-06
7.070707070707071,44.42656277803748,4.481287835462881e-06
8.080808080808081,50.77321460347141,4.292810580697043e-06
9.090909090909092,57.11986642890533,3.087249716531022e-06
10.101010101010102,63.46651825433926,1.8451764243270953e-06
11.111111111111112,69.81317007977319,1.0484429879492897e-06
12.121212121212121,76.15982190520711,6.313534853470934e-07
13.131313131313131,82.50647373064103,4.0106719343414754e-07
14.141414141414142,88.85312555607496,2.501962492469764e-07
15.151515151515152,95.19977738150888,1.5332341121151245e-07
16.161616161616163,101.54642920694282,1.0725559184517655e-07
17.171717171717173,107.89308103237674,9.319791717343372e-08
18.181818181818183,114.23973285781067,8.236918885621772e-08
19.191919191919194,120.5863846832446,6.325155956525865e-08
20.202020202020204,126.93303650867853,4.7290665447688986e-08
21.212121212121215,133.27968833411245,4.708555422037652e-08
22.222222222222225,139.62634015954637,5.990147145268715e-08
23.232323232323235,145.9729919849803,7.347157289647022e-08
24.242424242424242,152.31964381041422,7.843855752604783e-08
25.252525252525253,158.66629563584814,7.207980951770663e-08
26.262626262626263,165.01294746128207,5.6489515796806685e-08
27.272727272727273,171.359599286716,3.806317328689793e-08
28.282828282828284,177.7062511121499,2.6243905210766447e-08
29.292929292929294,184.05290293758384,2.7748453604010053e-08
30.303030303030305,190.39955476301776,4.030063594113229e-08
31.313131313131315,196.7462065884517,5.36315098335159e-08
32.323232323232325,203.09285841388564,5.803418719988474e-08
33.333333333333336,209.43951023931956,5.167712808772041e-08
34.343434343434346,215.78616206475348,3.970627048353264e-08
35.35353535353536,222.1328138901874,2.8054956426654213e-08
36.36363636363637,228.47946571562133,1.930619833069621e-08
37.37373737373738,234.82611754105525,1.3132895789058444e-08
38.38383838383839,241.1727693664892,8.687310619826303e-09
39.3939393939394,247.51942119192313,6.207712757408219e-09
40.40404040404041,253.86607301735705,6.719446254773429e-09
41.41414141414142,260.212724842791,1.0035617919988805e-08
42.42424242424243,266.5593766682249,1.3400601349631129e-08
43.43434343434344,272.9060284936588,1.3409096924717339e-08
44.44444444444445,279.25268031909275,9.657120382042042e-09
45.45454545454546,285.59933214452667,5.313686086439979e-09
46.46464646464647,291.9459839699606,3.505856446833342e-09
47.47474747474748,298.2926357953945,4.228962139901511e-09
48.484848484848484,304.63928762082844,5.459825039248578e-09
49.494949494949495,310.98593944626236,6.014160344788319e-09
