step,objective,mae,rmse,linf,grad_norm,learning_rate,worst_point_index,worst_point_ties,control_0,control_1,control_2
0,0.08046000830605209,0.02660714019288468,0.031720111042745316,0.08046000830605209,0.05565378289715244,0.08,50,1,0.05,0.05,0.05
1,0.07509772309323737,0.022383942781677824,0.0279106326920034,0.07509772309323737,0.05565378289715244,0.07999945511683522,50,1,0.12999986698385652,0.1299999854545481,0.12999986698385652
2,0.06973547440315941,0.018160774134835633,0.024311362246470614,0.06973547440315941,0.05565378289715244,0.07999782048227912,50,1,0.20999918908545367,0.2099994260260299,0.20999918908545365
3,0.0643733352802903,0.014511018204512597,0.02103052909656985,0.0643733352802903,0.05565378289715244,0.07999509614114603,50,1,0.28999687655521317,0.28999723196325333,0.2899968765552131
4,0.05901137876609834,0.011984711831630426,0.01824074283849911,0.05901137876609834,0.05565378289715244,0.07999128216812512,50,1,0.36999183968836896,0.36999231355983864,0.3699918396883689
5,0.05364967789704552,0.010358324979934327,0.01619764356122457,0.05364967789704552,0.05565378289715244,0.07998637866777841,50,1,0.44998298885484567,0.44998358118409676,0.44998298885484556
6,0.048288305702585195,0.009763210885170608,0.015205083977595329,0.048288305702585195,0.05565378289715244,0.07998038577453784,50,1,0.5299692345291288,0.5299699453088998,0.5299692345291287
7,0.042927335203159965,0.010841417574951221,0.015466411409712466,0.042927335203159965,0.05565378289715244,0.07997330365270158,50,1,0.6099494873201354,0.6099503165415517,0.6099494873201354
8,0.03756683940819968,0.01323299283627358,0.016923352193880213,0.03756683940819968,0.05565378289715244,0.07996513249642961,50,1,0.6899226580010818,0.6899236056536554,0.6899226580010818
9,0.03529530641886824,0.016128363531755414,0.019306802728545288,0.03529530641886824,0.04474677309878743,0.0799558725297383,64,1,0.7698876575393423,0.7698887236109728,0.7698876575393423
10,0.03730093030683123,0.017658080086190967,0.02078367383209932,0.03730093030683123,0.04474677309878743,0.0799455240064943,64,1,0.8404666590434039,0.8328497886400791,0.7708065544526634
11,0.039860100251130626,0.018567475518172696,0.02187990836240562,0.039860100251130626,0.044824213975014814,0.07993408721040762,37,1,0.9029359332148231,0.8813096887561708,0.7460636630770506
12,0.0409187448674328,0.01843109774768449,0.021941710428181802,0.0409187448674328,0.044824213975014814,0.0799215624550238,37,1,0.8990706173967868,0.9166123500174106,0.7234655572096155
13,0.040887875346159855,0.01785066980275788,0.021542032336925667,0.040887875346159855,0.044824213975014814,0.07990795008371532,37,1,0.8713720050526783,0.9405370117476888,0.702741827096811
