case,variant,nx,ny,evaluations,verified_comparison_step,first_orientation_invalid_step,non_equilibrated_evaluations,comparison_data_loss,comparison_highpass_rms,comparison_min_det_f,comparison_min_det_g,comparison_min_det_ainv,first_invalid_data_loss,first_invalid_highpass_rms,global_best_data_loss,global_best_highpass_rms,global_best_is_orientation_preserving,global_best_loss_reduction_from_comparison
50x5-free,free,50,5,139,11,12,0,0.002978458565114674,0.001593472337076786,0.6651660255727292,0.18337668982056335,0.02659531453933848,0.0030210492189469275,0.002734718531008207,0.0025332000850327614,0.005777214212848272,False,0.0004452584800819126
100x10-free,free,100,10,31,9,10,3,0.0028413819453271716,0.0036127455214753973,0.5589079101008717,0.5589079101008717,0.1384858984615357,0.0027044141423798423,0.00420089902358562,0.0027044141423798423,0.00420089902358562,False,0.00013696780294732928
200x20-free,free,200,20,32,9,11,13,0.002877740467571767,0.0017665856225954535,0.5321959597861803,0.44455466931337617,0.14260091477357784,0.0027720245698972545,0.002378568515627046,0.0027720245698972545,0.002378568515627046,False,0.00010571589767451256
50x5-regularized,regularized,50,5,39,11,12,0,0.0029803096831055908,0.001636567949468058,0.6369548864455769,0.3819596901128323,0.04579516599149657,0.0029094098408061248,0.003908489366381775,0.0026731327096827847,0.004607138535492297,False,0.00030717697342280605
100x10-regularized,regularized,100,10,41,16,17,2,0.0026438019286944272,0.002706446648431921,0.3573108100086492,0.17526581660187265,0.030974928240783565,0.00278096618808054,0.0035040320759687385,0.0025990124619741303,0.003605958927948082,False,4.47894667202969e-05
200x20-regularized,regularized,200,20,54,13,18,3,0.0027711567528937078,0.001487530480650827,0.5470252249267326,0.5164332136953438,0.11188755777991827,0.0026719630450674956,0.002934434831515414,0.0025754388578078297,0.003136922096180685,False,0.000195717895085878
50x5-tied,tied,50,5,139,11,12,0,0.002978458565114674,0.001593472337076786,0.6651660255727292,0.18337668982056335,0.02659531453933848,0.0030210492189469275,0.002734718531008207,0.0025332000850327614,0.005777214212848272,False,0.0004452584800819126
100x10-tied,tied,100,10,30,9,11,3,0.0027557526893196346,0.0033770220092843336,0.47514153533724773,0.47514153533724773,0.13397269165771825,0.00279818701374968,0.005673255147634812,0.002755537068630145,0.0037971726269832033,False,2.1562068948941318e-07
200x20-tied,tied,200,20,30,8,10,16,0.002947848300107976,0.001599706265020079,0.5453753101680222,0.5453753101680222,0.22191512953348555,0.002853347986016674,0.0037394370068167715,0.002847936427914789,0.002399717306903695,True,9.99118721931873e-05
