cycles_per_unit_length,global_best_50x5-free_power,global_best_100x10-free_power,global_best_200x20-free_power,global_best_50x5-regularized_power,global_best_100x10-regularized_power,global_best_200x20-regularized_power,global_best_50x5-tied_power,global_best_100x10-tied_power,global_best_200x20-tied_power,admissible_prefix_50x5-free_power,admissible_prefix_100x10-free_power,admissible_prefix_200x20-free_power,admissible_prefix_50x5-regularized_power,admissible_prefix_100x10-regularized_power,admissible_prefix_200x20-regularized_power,admissible_prefix_50x5-tied_power,admissible_prefix_100x10-tied_power,admissible_prefix_200x20-tied_power
0.0,7.496597190853577e-36,1.3994209565017804e-36,3.4203117041776374e-36,3.5953563430907814e-37,6.247955871236115e-36,2.6421093753661026e-36,7.496597190853577e-36,2.912925586341128e-36,3.433685344225787e-36,3.5450135584339215e-36,4.9750756444972394e-36,3.3703929617662067e-36,3.0030027603264105e-36,1.1978736772493161e-36,1.4112125927881365e-37,3.5450135584339215e-36,2.0386646414861904e-37,8.837048549401584e-37
1.041124414367516,0.00033307837472033695,0.00012589575945629297,0.00010559305049956047,0.00024057880230890136,0.0002958008984571134,0.0002937448078713617,0.00033307837472033695,9.004828063699151e-05,6.30803108928358e-05,3.595021192284647e-05,5.207241246847496e-05,4.3669683103556195e-05,4.0428592097191196e-05,0.00038704325322548187,0.00012549935305405612,3.595021192284647e-05,8.868336097415033e-05,2.6228269897705944e-05
2.082248828735032,0.00021176186331888576,8.368223680533076e-05,6.729795347306065e-05,0.00016883977759252553,0.00017897231110758607,0.00016525859861719577,0.00021176186331888576,6.37767637169778e-05,4.0802483241923026e-05,2.2921667225295332e-05,3.4935772206432184e-05,2.6842368696542767e-05,2.3791683858925647e-05,0.0002541644008753035,7.976690180061615e-05,2.2921667225295332e-05,5.933842914567773e-05,1.6830641441036327e-05
3.123373243102548,9.16710443445758e-05,4.303903278287617e-05,3.401743754899887e-05,9.871227174066583e-05,6.707057028610994e-05,5.587038324033069e-05,9.16710443445758e-05,3.553847147330175e-05,2.1809292185522963e-05,1.242704120995781e-05,1.9414130592293328e-05,1.3176526231714866e-05,1.4329466584851201e-05,0.00012518890034384742,4.232347942831897e-05,1.242704120995781e-05,3.2663042584640325e-05,9.012799410919947e-06
4.164497657470064,2.0818361606661162e-05,1.2732433382563797e-05,1.0541239600840436e-05,4.343209433999599e-05,9.401861431731921e-06,5.011730400032444e-06,2.0818361606661162e-05,1.2959392332202003e-05,7.776651314814219e-06,4.942794747246104e-06,7.298809375644642e-06,3.843640271342739e-06,7.344200466468773e-06,3.8665838325059006e-05,1.5727604215192013e-05,4.942794747246104e-06,1.3072227029806624e-05,3.2894943290266465e-06
5.20562207183758,3.2798636878709533e-07,8.491291451626612e-07,1.2247308850554495e-06,1.2542774412069269e-05,4.696438957180921e-07,4.083466297502569e-06,3.2798636878709533e-07,3.571142717591763e-06,1.6880006406319143e-06,1.453810243073374e-06,1.9772777309606523e-06,2.3087762977382901e-07,2.9775180063516044e-06,4.731970004881603e-06,3.0150227716631388e-06,1.453810243073374e-06,4.762361965558402e-06,7.738224800484074e-07
6.246746486205096,3.857817682999267e-06,1.5722663866008718e-06,8.68314567610561e-07,1.7249100961514363e-06,6.247366515778857e-06,1.091944817225575e-05,3.857817682999267e-06,4.064479642383749e-06,6.369288448613265e-07,3.5733242044383195e-07,2.0234637171876345e-06,3.351485246081356e-07,9.013411126337713e-07,4.4938614160407976e-07,4.7681414233142995e-08,3.5733242044383195e-07,4.13313519697914e-06,2.8747038377269514e-07
7.287870900572612,9.446647796145624e-06,4.974829699103294e-06,2.1213993834749535e-06,7.079942004137767e-07,8.917566347558192e-06,1.0432164387188802e-05,9.446647796145624e-06,6.513274696326969e-06,1.4056590488102254e-06,1.355727003846121e-07,3.6651691501555375e-06,1.214217903972478e-06,1.990093346797599e-07,2.7796875275639643e-06,5.333916745781303e-07,1.355727003846121e-07,4.977582026357393e-06,5.925875573219893e-07
8.328995314940128,9.484973663985864e-06,5.961140094061918e-06,2.106968789101984e-06,1.7211269217227176e-06,7.141238209554945e-06,6.068721578980407e-06,9.484973663985864e-06,6.224449511239194e-06,2.252061866399226e-06,1.447094553393137e-07,4.426416473673848e-06,1.5117748535336386e-06,6.909813836880346e-08,2.8547524827780146e-06,8.773118107626564e-07,1.447094553393137e-07,4.412080537050888e-06,9.673153381397397e-07
9.370119729307644,5.807629685837104e-06,4.613591409284233e-06,1.4179819248550045e-06,1.91301189741613e-06,4.187886186775819e-06,2.3695184249874814e-06,5.807629685837104e-06,3.6212101629171092e-06,2.432306951669065e-06,2.0534672504063987e-07,3.898058009557916e-06,1.2773524701186172e-06,8.500673256134005e-08,1.4367529239653244e-06,5.785074868002563e-07,2.0534672504063987e-07,2.9035339834223674e-06,1.062118897032508e-06
