x,global_best_50x5-free_ux,global_best_50x5-free_uy,global_best_50x5-free_highpass,global_best_100x10-free_ux,global_best_100x10-free_uy,global_best_100x10-free_highpass,global_best_200x20-free_ux,global_best_200x20-free_uy,global_best_200x20-free_highpass,global_best_50x5-regularized_ux,global_best_50x5-regularized_uy,global_best_50x5-regularized_highpass,global_best_100x10-regularized_ux,global_best_100x10-regularized_uy,global_best_100x10-regularized_highpass,global_best_200x20-regularized_ux,global_best_200x20-regularized_uy,global_best_200x20-regularized_highpass,global_best_50x5-tied_ux,global_best_50x5-tied_uy,global_best_50x5-tied_highpass,global_best_100x10-tied_ux,global_best_100x10-tied_uy,global_best_100x10-tied_highpass,global_best_200x20-tied_ux,global_best_200x20-tied_uy,global_best_200x20-tied_highpass,admissible_prefix_50x5-free_ux,admissible_prefix_50x5-free_uy,admissible_prefix_50x5-free_highpass,admissible_prefix_100x10-free_ux,admissible_prefix_100x10-free_uy,admissible_prefix_100x10-free_highpass,admissible_prefix_200x20-free_ux,admissible_prefix_200x20-free_uy,admissible_prefix_200x20-free_highpass,admissible_prefix_50x5-regularized_ux,admissible_prefix_50x5-regularized_uy,admissible_prefix_50x5-regularized_highpass,admissible_prefix_100x10-regularized_ux,admissible_prefix_100x10-regularized_uy,admissible_prefix_100x10-regularized_highpass,admissible_prefix_200x20-regularized_ux,admissible_prefix_200x20-regularized_uy,admissible_prefix_200x20-regularized_highpass,admissible_prefix_50x5-tied_ux,admissible_prefix_50x5-tied_uy,admissible_prefix_50x5-tied_highpass,admissible_prefix_100x10-tied_ux,admissible_prefix_100x10-tied_uy,admissible_prefix_100x10-tied_highpass,admissible_prefix_200x20-tied_ux,admissible_prefix_200x20-tied_uy,admissible_prefix_200x20-tied_highpass
0.02,-0.004806306891574868,0.007113315293892705,-0.01262995107780689,-0.009728835510353346,0.014166154791788463,-0.007835974202180357,-0.014319744482690652,0.016239706326516064,-0.006207981180422987,-0.0036584798779640383,0.008172343287138376,-0.0016323880165649042,-0.00776483761554709,0.010944613304414447,-0.008343443349051842,-0.014067033699535735,0.02095990768601969,-0.008487647891320838,-0.004806306891574868,0.007113315293892705,-0.01262995107780689,-0.00774803581210699,0.010457674819299111,-0.006479712041083614,-0.007498396823810544,0.016766870621031073,-0.004882004692196618,-0.00022184451334335937,0.005903639237869391,-0.001952354831754273,-0.006364134765863859,0.008922251366265106,-0.006306324399655871,-0.007845460568690935,0.014042774380008038,-0.004674641588550287,0.0003719660329112812,0.002915069346640138,-0.0015342531274778475,-0.008691623941481057,0.013412493306856366,-0.008820703647537705,-0.010089440456755062,0.013143854905930624,-0.0052820002280812,-0.00022184451334335937,0.005903639237869391,-0.001952354831754273,-0.005402236821845207,0.008737821113346401,-0.007233411207197563,-0.004250777276711688,0.010856156139380123,-0.00322464088166851
0.0205,-0.004989813327277407,0.007892650706689715,-0.012253349623192418,-0.010020254472188721,0.014580412564231487,-0.0076857587881895475,-0.014654349939228598,0.01663320775696842,-0.006009939486237095,-0.0038261161770818193,0.008140113945350164,-0.0017527765180427278,-0.008017993540099466,0.01134671171242862,-0.008228149816484896,-0.014410204081419773,0.021449445502757715,-0.008278727001835948,-0.004989813327277407,0.007892650706689715,-0.012253349623192418,-0.007987060895909285,0.010711108736089011,-0.006458417620183886,-0.007694485095446526,0.01709944812338026,-0.004697026210695274,-0.0002121356559993909,0.006022831665063101,-0.001895197722331361,-0.006577129164975876,0.009228851431673566,-0.0062169781430501045,-0.008060544913250756,0.014329492416978649,-0.004535620995015869,0.0004280641453350342,0.0029861372888379816,-0.0015184801448052784,-0.008956509537745171,0.013807287497237636,-0.008730923257033124,-0.0103619686516278,0.013429422605387386,-0.005173257476672018,-0.0002121356559993909,0.006022831665063101,-0.001895197722331361,-0.005590234524655257,0.009082601526064618,-0.0071410131105209135,-0.004366701272609641,0.011067635562611514,-0.003110961607313563
0.021,-0.005173319762979946,0.008671986119486722,-0.011884828597794148,-0.010311673434024097,0.01499467033667451,-0.007541583709240667,-0.014988955395766546,0.017026709187420778,-0.005815650359899262,-0.0039937524761996,0.008107884603561953,-0.001876862798244781,-0.008271149464651842,0.011748810120442795,-0.008119642853113953,-0.014753374463303812,0.021938983319495745,-0.00807603933383826,-0.005173319762979946,0.008671986119486722,-0.011884828597794148,-0.008226085979711582,0.010964542652878913,-0.006443063023268454,-0.007890573367082508,0.017432025625729448,-0.004514524171172474,-0.0002024267986554224,0.006142024092256811,-0.001839256694942816,-0.006790123564087892,0.009535451497082027,-0.006132822393421224,-0.008275629257810576,0.01461621045394926,-0.004399424664891476,0.00048416225775878714,0.003057205231035825,-0.0015041596148265579,-0.009221395134009285,0.014202081687618906,-0.008648423312868947,-0.010634496846500537,0.013714990304844146,-0.005068528667087863,-0.0002024267986554224,0.006142024092256811,-0.001839256694942816,-0.005778232227465307,0.009427381938782833,-0.007054845522666732,-0.004482625268507593,0.011279114985842905,-0.0029989166658584993
0.021500000000000002,-0.005356826198682484,0.009451321532283733,-0.011524384135986054,-0.010603092395859472,0.015408928109117533,-0.007403484208349409,-0.015323560852304493,0.017420210617873133,-0.005625099498804367,-0.004161388775317381,0.00807565526177374,-0.0020047463307263907,-0.008524305389204217,0.012150908528456968,-0.008017968723859271,-0.015096544845187848,0.02242852113623377,-0.007879619097927712,-0.005356826198682484,0.009451321532283733,-0.011524384135986054,-0.008465111063513877,0.011217976569668813,-0.00643370926030137,-0.00808666163871849,0.017764603128078635,-0.004334467066167146,-0.00019271794131145393,0.006261216519450521,-0.0017845285162742634,-0.007003117963199909,0.009842051562490486,-0.006053896257493658,-0.008490713602370399,0.014902928490919868,-0.004266038079868082,0.0005402603701825401,0.0031282731732336687,-0.0014913093707383694,-0.009486280730273399,0.014596875878000177,-0.00857325713086239,-0.010907025041373275,0.014000558004300908,-0.0049678382436612965,-0.00019271794131145393,0.006261216519450521,-0.0017845285162742634,-0.005966229930275358,0.00977216235150105,-0.006974967720294342,-0.0045985492644055465,0.011490594409074297,-0.002888483290471665
0.022,-0.005540332634385021,0.010230656945080735,-0.011172007084118541,-0.010894511357694845,0.015823185881560554,-0.007271492373367456,-0.015658166308842435,0.017813712048325485,-0.005438269504620074,-0.0043290250744351605,0.00804342591998553,-0.0021365266596798348,-0.00877746131375659,0.012553006936471139,-0.007923170130594959,-0.015439715227071885,0.022918058952971793,-0.0076894977405164225,-0.005540332634385021,0.010230656945080735,-0.011172007084118541,-0.008704136147316173,0.011471410486458711,-0.006430414862542384,-0.00828274991035447,0.018097180630427822,-0.0041568206228642934,-0.0001830090839674855,0.00638040894664423,-0.0017310090373265146,-0.007216112362311925,0.010148651627898944,-0.0059802362553438,-0.008705797946930218,0.015189646527890477,-0.004135444045153628,0.0005963584826062927,0.0031993411154315116,-0.001479946827394793,-0.009751166326537511,0.014991670068381443,-0.00850547456784318,-0.01117955323624601,0.014286125703757667,-0.004871208838705808,-0.0001830090839674855,0.00638040894664423,-0.0017310090373265146,-0.006154227633085406,0.010116942764219263,-0.006901436465047166,-0.004714473260303498,0.011702073832305687,-0.0027796367432247372
0.0225,-0.0057238390700875596,0.011009992357877744,-0.010827682985238656,-0.011185930319530222,0.016237443654003578,-0.007145637059097258,-0.015992771765380383,0.018207213478777844,-0.005255139864583265,-0.004496661373552941,0.008011196578197318,-0.002272303276109151,-0.009030617238308966,0.012955105344485312,-0.00783528611523084,-0.015782885608955924,0.02340759676970982,-0.007505703910972467,-0.0057238390700875596,0.011009992357877744,-0.010827682985238656,-0.008943161231118468,0.011724844403248613,-0.006433235785333696,-0.008478838181990451,0.01842975813277701,-0.003981547806636898,-0.00017330022662351703,0.00649960137383794,-0.0016786931946070642,-0.007429106761423941,0.010455251693307405,-0.00591187623655604,-0.008920882291490038,0.015476364564861088,-0.0040076226614257394,0.0006524565950300456,0.003270409057629355,-0.0014700889662671306,-0.010016051922801625,0.015386464258762713,-0.00844512194708487,-0.011452081431118748,0.014571693403214429,-0.004778661245591396,-0.00017330022662351703,0.00649960137383794,-0.0016786931946070642,-0.006342225335895456,0.01046172317693748,-0.006834305909829601,-0.004830397256201451,0.01191355325553708,-0.0026723503150170684
0.023,-0.005907345505790099,0.011789327770674755,-0.010491392071425947,-0.011477349281365597,0.0166517014264466,-0.007025943810793547,-0.016327377221918328,0.0186007149092302,-0.005075686936810726,-0.0046642976726707225,0.007978967236409106,-0.0024121754914651627,-0.009283773162861341,0.013357203752499484,-0.007754351965504766,-0.01612605599083996,0.02389713458644785,-0.007328263431506742,-0.005907345505790099,0.011789327770674755,-0.010491392071425947,-0.009182186314920763,0.011978278320038513,-0.006442225311837786,-0.008674926453626434,0.018762335635126196,-0.0038086088290333227,-0.00016359136927954855,0.00661879380103165,-0.0016275750132525024,-0.007642101160535958,0.010761851758715864,-0.0058488472969352966,-0.00913596663604986,0.015763082601831697,-0.003882551299963892,0.0007085547074537986,0.0033414769998271984,-0.0014617523212010959,-0.010280937519065739,0.015781258449143982,-0.008392241988002612,-0.011724609625991485,0.014857261102671191,-0.004690214393884253,-0.00016359136927954855,0.00661879380103165,-0.0016275750132525024,-0.0065302230387055075,0.010806503589655694,-0.0067736275051958825,-0.004946321252099404,0.012125032678768471,-0.002566595328800816
0.0235,-0.006090851941492637,0.012568663183471763,-0.010163109263651889,-0.011768768243200972,0.017065959198889626,-0.006912434789006685,-0.016661982678456276,0.018994216339682554,-0.004899883939626322,-0.004831933971788503,0.007946737894620895,-0.0025562423090122535,-0.009536929087413716,0.013759302160513659,-0.007680399123588158,-0.016469226372723998,0.024386672403185875,-0.00715719926969564,-0.006090851941492637,0.012568663183471763,-0.010163109263651889,-0.00942121139872306,0.012231712236828413,-0.006457433957785922,-0.008871014725262416,0.019094913137475383,-0.003637961160222032,-0.00015388251193558007,0.00673798622822536,-0.0015776476121107334,-0.007855095559647975,0.011068451824124324,-0.005791177695777073,-0.00935105098060968,0.01604980063880231,-0.003760204581014632,0.0007646528198775515,0.0034125449420250417,-0.0014549529650216713,-0.010545823115329854,0.016176052639525252,-0.008346873740201485,-0.011997137820864222,0.015142828802127951,-0.0046058853265334675,-0.00015388251193558007,0.00673798622822536,-0.0015776476121107334,-0.006718220741515558,0.011151284002373911,-0.006719449905829705,-0.005062245247997356,0.012336512101999863,-0.002462341146140504
0.024,-0.006274358377195175,0.013347998596268774,-0.009842804179046882,-0.012060187205036347,0.017480216971332646,-0.006805128695716017,-0.016996588134994224,0.019387717770134913,-0.00472770094489821,-0.004999570270906284,0.007914508552832683,-0.002704602293210767,-0.009790085011966092,0.014161400568527832,-0.007613455097601586,-0.016812396754608036,0.0248762102199239,-0.006992531513519258,-0.006274358377195175,0.013347998596268774,-0.009842804179046882,-0.009660236482525356,0.012485146153618315,-0.006478909377292452,-0.009067102996898398,0.01942749063982457,-0.0034695595458954717,-0.0001441736545916116,0.00685717865541907,-0.001528903210807885,-0.008068089958759992,0.011375051889532785,-0.005738892773693584,-0.009566135325169502,0.016336518675772918,-0.003640554355436896,0.0008207509323013044,0.0034836128842228855,-0.0014497064970344599,-0.010810708711593968,0.016570846829906522,-0.008309052521946362,-0.012269666015736959,0.015428396501584713,-0.004525689179081008,-0.0001441736545916116,0.00685717865541907,-0.001528903210807885,-0.006906218444325607,0.011496064415092128,-0.00667181887709033,-0.005178169243895309,0.012547991525231254,-0.0023595551771336144
0.0245,-0.006457864812897714,0.014127334009065781,-0.009530441145435161,-0.012351606166871722,0.01789447474377567,-0.006704040701694905,-0.01733119359153217,0.019781219200587268,-0.00455910487537016,-0.005167206570024065,0.00788227921104447,-0.0028573534374101307,-0.010043240936518467,0.014563498976542005,-0.007553543376132586,-0.017155567136492075,0.02536574803666193,-0.006834277348782669,-0.006457864812897714,0.014127334009065781,-0.009530441145435161,-0.009899261566327651,0.012738580070408215,-0.006506696269785074,-0.00926319126853438,0.019760068142173758,-0.0033033560286263343,-0.0001344647972476431,0.00697637108261278,-0.001481333138820963,-0.008281084357872009,0.011681651954941245,-0.005692014870992239,-0.009781219669729323,0.01662323671274353,-0.003523569689670488,0.0008768490447250573,0.003554680826420729,-0.0014460280314709667,-0.011075594307858082,0.016965641020287792,-0.008278809863110352,-0.012542194210609698,0.015713964201041476,-0.004449639160863942,-0.0001344647972476431,0.00697637108261278,-0.001481333138820963,-0.007094216147135657,0.011840844827810343,-0.006630777201598189,-0.005294093239793261,0.012759470948462645,-0.002258202893712957
