step,optimizer_phase,optimizer_iteration,optimizer_evaluation,learning_rate,evaluation_success,objective,gradient_rms,gradient_inf,activation_update_rms,forward_converged,forward_iterations,forward_failure,line_search_failures,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv,inverted_cell_fraction,inverted_rest_measure_fraction,negative_det_f_mean,top_target_mae,top_target_rms,top_target_max,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_neighbor_jump_rms,activation_rms,detF/min,detG/min,detAinv/min,target/rms,target/mae,target/max,activation/rms,activation/neighbor_jump_rms
0,adam,0,1,0.03,1,0.0014813333333333334,0.006309976048086255,0.007884119255332828,0.0,1,1,,0,3.670949992239779e-18,1.0,1.0,1.0,0.0,0.0,0.0,0.03666666666666667,0.038488093396962825,0.05,0.038488093396962825,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.038488093396962825,0.03666666666666667,0.05,0.0,0.0
1,adam,1,2,0.029699999999999997,1,0.0010353910685537196,0.005595968090836428,0.006969340610574493,0.02999774553761979,1,5,,0,4.131646367408666e-11,1.0000000000000018,0.9400004764838071,0.9400004764838054,0.0,0.0,0.0,0.03056552070484876,0.03217749319872074,0.04210430733301712,0.032150959811777235,0.0010911248421410248,0.14246244297572205,5.330193155990047,0.0,0.029997745537619788,1.0000000000000018,0.9400004764838071,0.9400004764838054,0.03217749319872074,0.03056552070484876,0.04210430733301712,0.029997745537619788,0.0
2,adam,2,3,0.029403,1,0.0006540575213561978,0.004586965534772782,0.005689886747971295,0.02788750686776466,1,5,,0,5.178840642843842e-10,1.0000000000000018,0.8815023878972879,0.8815023878972863,0.0,0.0,0.0,0.024211534794316373,0.02557454831187049,0.03374963705183667,0.025407253668883186,0.002284191463693677,0.2977301056762914,11.09540230566213,0.0,0.05782642606060165,1.0000000000000018,0.8815023878972879,0.8815023878972863,0.02557454831187049,0.024211534794316373,0.03374963705183667,0.05782642606060165,0.0
3,adam,3,4,0.029108969999999998,1,0.000360463830325562,0.003310521654243212,0.00409007504989129,0.027967742354938565,1,6,,0,7.06143376352084e-11,1.0000000000000018,0.8245731084073478,0.8245731084073462,0.0,0.0,0.0,0.017957913797218793,0.01898588502876708,0.025149824489394384,0.018343815525193638,0.003616088704181592,0.47007994646293316,17.402596936636677,0.0,0.08579413015078699,1.0000000000000018,0.8245731084073478,0.8245731084073462,0.01898588502876708,0.017957913797218793,0.025149824489394384,0.08579413015078699,0.0
4,adam,4,5,0.028817880299999998,1,0.00017464129515180058,0.0018365494199676022,0.0022713561360733947,0.027451627178268826,1,9,,0,5.948338460603133e-11,1.0000000000000018,0.7698877503515409,0.7698877503515396,0.0,0.0,0.0,0.012480361127803583,0.013215191831819944,0.017104136766691404,0.01117259738154258,0.005068557799702836,0.656114397937059,23.999526526196284,0.0,0.11323263287915296,1.0000000000000018,0.7698877503515409,0.7698877503515396,0.013215191831819944,0.012480361127803583,0.017104136766691404,0.11323263287915296,0.0
5,adam,5,6,0.028529701496999998,1,0.00010664480812206107,0.0002774964744179609,0.0003386717170135612,0.02585214867536508,1,11,,0,4.339547950541951e-10,1.0000000000000018,0.7190000955817913,0.7190000955817901,0.0,0.0,0.0,0.0095617777727845,0.01032689731342677,0.0146180489237756,0.004607704665412906,0.0065462358462858375,0.8416683127107734,30.275147973241026,0.0,0.13905566664398777,1.0000000000000018,0.7190000955817913,0.7190000955817901,0.01032689731342677,0.0095617777727845,0.0146180489237756,0.13905566664398777,0.0
6,adam,6,7,0.02824440448203,1,0.00014215487102433585,0.0013390174999425904,0.0015772436016083572,0.02112229604653849,1,10,,0,3.0436553185736967e-09,0.9967478926531056,0.6738425416569145,0.6760410998846519,0.0,0.0,0.0,0.011448425164757352,0.011922871760793867,0.016693609034429974,0.004153816472475442,0.007867595839676984,1.0029218924303875,35.58241738533491,0.0,0.160157879628184,0.9967478926531056,0.6738425416569145,0.6760410998846519,0.011922871760793867,0.011448425164757352,0.016693609034429974,0.160157879628184,0.0
7,adam,7,8,0.027961960437209697,1,0.0002227227812366979,0.0026049829297629707,0.0031194715000834625,0.01417874670297852,1,8,,0,5.274492341420375e-09,0.9583322058840655,0.6197375307964329,0.6466834016339064,0.0,0.0,0.0,0.014630125791803058,0.014923899665861396,0.01973970923910651,0.008149013842903712,0.008854306758407485,1.116626268507264,39.578625185503036,0.0,0.1728385051784192,0.9583322058840655,0.6197375307964329,0.6466834016339064,0.014923899665861396,0.014630125791803058,0.01973970923910651,0.1728385051784192,0.0
8,adam,8,9,0.0276823408328376,1,0.00028695558665711306,0.003185322568388244,0.003821663761973323,0.010657716145377433,1,8,,0,1.3795228272673727e-10,0.9362749639872678,0.5905889140076863,0.6307857592310002,0.0,0.0,0.0,0.01667470558360895,0.0169397634770121,0.021465811087342433,0.010659991226726222,0.009445615999012327,1.1829860758387563,42.14242089598682,0.0,0.1783846241067303,0.9362749639872678,0.5905889140076863,0.6307857592310002,0.0169397634770121,0.01667470558360895,0.021465811087342433,0.1783846241067303,0.0
9,adam,9,10,0.027405517424509224,1,0.0003102168152355024,0.0033975369840884184,0.004100703966452235,0.009788036319686886,1,4,,0,1.0799904531177087e-10,0.9313911027748656,0.582456984135696,0.62536240941147,0.0,0.0,0.0,0.01734291056958831,0.01761297292439588,0.021953640636450517,0.011572795079567237,0.009675884565530406,1.2099825121096568,43.08156289466497,0.0,0.17887590221778282,0.9313911027748656,0.582456984135696,0.62536240941147,0.01761297292439588,0.01734291056958831,0.021953640636450517,0.17887590221778282,0.0
10,adam,10,11,0.02713146225026413,1,0.00029408673286926445,0.003278146194196069,0.003981546626070901,0.010514726044600645,1,3,,0,2.789619676956671e-09,0.9419739354296474,0.591390904150939,0.627820879015296,0.0,0.0,0.0,0.01687293469888438,0.0171489571948053,0.02155092398218757,0.011214919998166754,0.009637103304692115,1.2060981621030997,42.79546880967753,0.0,0.17562675044331122,0.9419739354296474,0.591390904150939,0.627820879015296,0.0171489571948053,0.01687293469888438,0.02155092398218757,0.17562675044331122,0.0
11,adam,11,12,0.02686014762776149,1,0.00025178813894120486,0.0029369781386770636,0.0035916318379721215,0.011793471568905072,1,4,,0,1.1472542064853583e-09,0.9618364379075252,0.6116002370515069,0.6358671941999233,0.0,0.0,0.0,0.015583355358426436,0.015867833467149976,0.020431027442562838,0.009944929071589864,0.009404510962315345,1.1801606909775033,41.67091191089083,0.0,0.16975544899945225,0.9618364379075252,0.6116002370515069,0.6358671941999233,0.015867833467149976,0.015583355358426436,0.020431027442562838,0.16975544899945225,0.0
12,adam,12,13,0.026591546151483875,1,0.00019867940965132922,0.002442642069709481,0.0030048963777558543,0.012919119957842272,1,5,,0,2.5608158163066808e-11,0.985025876360936,0.6379063952808764,0.6476036930497173,0.0,0.0,0.0,0.013785832753791869,0.01409536837586479,0.018658360424811348,0.008099212700055371,0.009049548832851383,1.1402911646684348,40.10123252855708,0.0,0.16224555413501676,0.985025876360936,0.6379063952808764,0.6476036930497173,0.01409536837586479,0.013785832753791869,0.018658360424811348,0.16224555413501676,0.0
13,adam,13,14,0.026325630689969032,1,0.00014848126043219212,0.0018472751815528478,0.0022794848323553717,0.01359150530507552,1,9,,0,4.711466313065564e-12,1.0000000000000018,0.6614784806898588,0.6614784806898576,0.0,0.0,0.0,0.011799156952589249,0.012185288688914683,0.016732164938904132,0.005976022124071767,0.008631414547419022,1.0908389080548253,38.38372587516534,0.0,0.1539661984283279,1.0000000000000018,0.6614784806898588,0.6614784806898576,0.012185288688914683,0.011799156952589249,0.016732164938904132,0.1539661984283279,0.0
14,adam,14,15,0.026062374383069346,1,0.00010879392257664712,0.0012628015532529866,0.001566192812613195,0.013742244642545176,1,4,,0,7.668949453144548e-10,1.0000000000000018,0.676205668311893,0.6762056683118918,0.0,0.0,0.0,0.009896077282552021,0.010430432521072513,0.01502893971464089,0.0038548519400465244,0.008175366718134762,1.0363742222303605,36.57344192034088,0.0,0.14567437293794672,1.0000000000000018,0.676205668311893,0.6762056683118918,0.010430432521072513,0.009896077282552021,0.01502893971464089,0.14567437293794672,0.0
15,adam,15,16,0.025801750639238653,1,8.236491905494296e-05,0.0007140148592824521,0.000891275095614423,0.013454013295995123,1,4,,0,1.7240988298897133e-09,1.0000000000000018,0.6907873218669666,0.6907873218669655,0.0,0.0,0.0,0.008353486905445948,0.009075512054696581,0.013885676915363897,0.0022354961859551298,0.007715593262037871,0.981304400338867,34.78612298174834,0.0,0.13796759143861811,1.0000000000000018,0.6907873218669666,0.6907873218669655,0.009075512054696581,0.008353486905445948,0.013885676915363897,0.13796759143861811,0.0
16,adam,16,17,0.025543733132846264,1,6.859708312019452e-05,0.0002434442170223311,0.0002842412513218512,0.01283790971568857,1,4,,0,7.237476425393195e-10,1.0000000000000018,0.7044198791200363,0.7044198791200352,0.0,0.0,0.0,0.007457872722774216,0.00828233560779775,0.012889744263479181,0.002275097214861636,0.007282975723004943,0.9291782110295834,33.11889621556006,0.0,0.13131039213839435,1.0000000000000018,0.7044198791200363,0.7044198791200352,0.00828233560779775,0.007457872722774216,0.012889744263479181,0.13131039213839435,0.0
17,adam,17,18,0.025288295801517802,1,6.473618360149232e-05,0.0002645722698749867,0.0003182520365592671,0.012016948552626458,1,4,,0,1.9284062548625266e-10,1.0000000000000018,0.7164511587618628,0.7164511587618615,0.0,0.0,0.0,0.0072855623309357525,0.008045879914682565,0.012090191572916038,0.003552178467680907,0.006901961373738566,0.8829062497675632,31.647173641338206,0.0,0.12604688548761203,1.0000000000000018,0.7164511587618628,0.7164511587618615,0.008045879914682565,0.0072855623309357525,0.012090191572916038,0.12604688548761203,0.0
18,adam,18,19,0.025035412843502625,1,6.703120058579495e-05,0.0005903147866168293,0.0007422425970301923,0.01111353524725117,1,4,,0,3.6378034827438664e-11,1.0000000000000018,0.7263657913133532,0.7263657913133519,0.0,0.0,0.0,0.00754808491791799,0.008187258429156548,0.011494038710064455,0.004873214678972581,0.006590415251346087,0.8447839225069235,30.43596086298725,0.0,0.12240784428194984,1.0000000000000018,0.7263657913133532,0.7263657913133519,0.008187258429156548,0.00754808491791799,0.011494038710064455,0.12240784428194984,0.0
19,adam,19,20,0.024785058715067598,1,7.167262213249084e-05,0.0008464849493073639,0.0010603306152792208,0.010243856024198108,1,4,,0,4.268441911062854e-12,1.0000000000000018,0.7337900123448532,0.7337900123448519,0.0,0.0,0.0,0.00792226865210125,0.008465968469849794,0.011067564689521501,0.005919924052232823,0.006360273580624999,0.8164641479738222,29.540836048551792,0.0,0.1205133625204948,1.0000000000000018,0.7337900123448532,0.7337900123448519,0.008465968469849794,0.00792226865210125,0.011067564689521501,0.1205133625204948,0.0
20,adam,20,21,0.02453720812791692,1,7.550272519313799e-05,0.0010171934113106552,0.0012695382989182517,0.009509516980270553,1,3,,0,3.3060814676727823e-09,1.0000000000000018,0.7385019871333267,0.7385019871333254,0.0,0.0,0.0,0.00820619428308457,0.00868923041431967,0.010756443393063978,0.00660880368307897,0.006218240843003175,0.7989432157212736,29.00183586080524,0.0,0.1203769679469724,1.0000000000000018,0.7385019871333267,0.7385019871333254,0.00868923041431967,0.00820619428308457,0.010756443393063978,0.1203769679469724,0.0
