case_id,path_kind,alpha,target/error_rms_m,target/error_rms_mm,target/error_rms_fraction_of_target,target/face_rest_area_weighted_error_rms_m,target/face_target_area_weighted_error_rms_m,bumpiness/contraction_target_relative_dihedral_rms_rad,bumpiness/contraction_target_relative_dihedral_rms_deg,bumpiness/residual_normal_laplacian_rms_m,bumpiness/displacement_laplacian_rms_m,bumpiness/residual_laplacian_rms_m,quality/inverted_tets,quality/inverted_tet_fraction,quality/detF_min,quality/detF_q001,quality/skin_folded_triangles,quality/skin_folded_triangle_fraction,quality/skin_folded_rest_area_fraction,quality/skin_signed_normal_ratio_q001,quality/skin_signed_normal_ratio_q999,quality/skin_area_ratio_q001,quality/skin_area_ratio_q999,fixed/displacement_exact_zero,fixed/displacement_max_abs_m,material/rho_sha256_le_f8,material/activation_sha256_le_f8,material/rho_min,material/rho_area_weighted_mean,material/activation_diag_max,delta_vs_baseline/full_rms_m,delta_vs_baseline/loss_mask_rms_m,delta_vs_baseline/loss_mask_fraction_of_target,delta_vs_baseline/isface_rms_m,delta_vs_baseline/isface_fraction_of_target
c020-continuation-alpha-000,continuation,0.0,0.0027209710373898364,2.7209710373898366,0.5124105047846714,0.0026232536260395365,0.0026592530149085187,0.2326340633715055,13.328950002166199,0.0002170600627219152,0.0001784185501063704,0.00019319644743604806,47,4.099372272718154e-05,-1.2139917034207488,0.3522077642445671,25,0.0008361483661660926,0.00015550920309218068,0.1817498534454332,1.1056663451963638,0.8867648794788575,1.1663209702780077,True,0.0,aa74d25a4afece1f232101f98e5fda8177935c3e833ae578be636d9ff42294c2,051fe4599913dc590cb39aa79f7bb51578efc3323cd9c0a337be804d12d8f224,1.0,0.9999999999999999,0.0,8.072585557501384e-07,9.25026297471199e-07,0.0001742000137131203,9.251169307692158e-07,0.00017420016666276023
c020-continuation-alpha-025,continuation,0.25,0.002747151152392865,2.747151152392865,0.517340717477009,0.002649880807346454,0.0026863230723400654,0.18652420120633623,10.687049506172045,0.0002019204752796618,0.00015346331764959448,0.00016998995140879168,49,4.2738136460253094e-05,-1.2193821961183051,0.351472000033979,22,0.0007358105622261614,5.402877288368894e-05,0.2537197374238624,1.0992303864524573,0.8401317574635107,1.1598018055739805,True,0.0,91450614bbdd5cb1ee8b8b4588cfc870558886c5ee30eaf35837687318cb8842,14b62c9f14ecd3a553a27583b1c035d8ae4f0fd7c785afdd4095d2c776225e20,0.8324449805019047,0.9804565880991659,0.09602946731353534,0.00011387321158147287,0.00020179771179089693,0.03800234031978431,0.000201814512414798,0.03800181417973824
c020-continuation-alpha-050,continuation,0.5,0.0027617081995628817,2.761708199562882,0.520082085828992,0.0026612449160683736,0.002698259350101338,0.1505449377222952,8.625589558547336,0.00019247584937712783,0.00013575101706170327,0.00015385035620236638,48,4.186592959371732e-05,-1.2356086497888261,0.3507615488452399,22,0.0007358105622261614,5.402877288368894e-05,0.30514790335896885,1.0949665226191225,0.7612551040226441,1.1489708114220296,True,0.0,6c8ec3bc8ed846086c6951478ee913b98dc53c4a3daee0e8e4a5606b9193a4d4,8db4f5203811b445be947a117d748a3a461dc6077b87f5969c435a1464ea147d,0.6929646455628166,0.9617449097287849,0.20128059321959224,0.00020193572598383233,0.000410351671874729,0.07727701046251098,0.00041038598407670503,0.07727596852300712
c020-continuation-alpha-075,continuation,0.75,0.002760560326564686,2.760560326564686,0.5198659195507216,0.0026546556597352748,0.0026931297065658348,0.12933633827903943,7.410426321065272,0.0001857310350900254,0.00012419035826720552,0.00014328874308295667,49,4.2738136460253094e-05,-1.261331722633055,0.3502752843509936,22,0.0007358105622261614,5.402877288368894e-05,0.3261878854692412,1.0934615680055209,0.6649719696821199,1.1446722280936275,True,0.0,062d9dfce22c8c7a409fb5b3f2dd32cb9e51b767f36a7aeb32fc40a4d6ed461a,5ca3cefaae0f83c9ff5749d306aea799329f2c8413acee5d13dc861c18f4459e,0.5768549408640481,0.9438003158697353,0.31663892868055754,0.0002794035508152037,0.0005849636418921258,0.11015975947695457,0.0005850115012246173,0.11015807583180276
c020-continuation-alpha-100,continuation,1.0,0.0027787849736445134,2.7787849736445134,0.5232979665961965,0.0026674867821647142,0.0027057277055325423,0.11147217499600873,6.386885160415044,0.00018037899729882016,0.00011449655232846405,0.00013436951250592332,46,4.012151586064576e-05,-1.2828422853385315,0.35051310280887193,16,0.0005351349543462992,4.208513572695069e-05,0.33446529153403204,1.0931769217015657,0.5785790911380168,1.1243548294693604,True,0.0,d631449a1db997e6ce2eac9d3276ff8a23451461350f917026f19e9d50cc89f1,1366a17e86a2b182dd9b15512b9dc0664c869e416af7b5e591fbfb347fd53d55,0.48019999999999996,0.9265646717354555,0.44307506364601545,0.0003722117595294531,0.0008076716527254783,0.1520999060946778,0.0008077369860767538,0.15209744078216186
c020-direct-alpha-100,direct,1.0,0.0027786507442843023,2.7786507442843025,0.5232726886592844,0.0026674078393213205,0.002707360278802338,0.11304287233017603,6.47687948855528,0.00018011222443989743,0.00011462911137141947,0.000134564188004634,46,4.012151586064576e-05,-1.2907293828343458,0.3501101937063386,18,0.0006020268236395866,4.046911956557869e-05,0.34487534398929603,1.0942629342483878,0.5786282183791116,1.1278619365490319,True,0.0,d631449a1db997e6ce2eac9d3276ff8a23451461350f917026f19e9d50cc89f1,1366a17e86a2b182dd9b15512b9dc0664c869e416af7b5e591fbfb347fd53d55,0.48019999999999996,0.9265646717354555,0.44307506364601545,0.0003708551875802377,0.0007971780804406795,0.15012376720986031,0.0007972423758943172,0.15012129832704424
