activation_neighbor_jump_rms,activation_rms,adjoint/absolute_residual,adjoint/best_solver,adjoint/relative_residual,adjoint/result,adjoint/success,elapsed_s,error_mae,error_max,error_rms,evaluation_success,forward/grad_norm,forward/result,forward/steps,forward/success,grad_norm,learning_rate,loss,min_det_ainv,min_det_f,min_det_g,step,top_curvature_rms,top_highpass_rms,top_laplacian_rms,top_slope_rms
0.0,0.0,5.409359014663345e-07,0,0.00048704524020998935,success,True,0.41102887198212557,0.02312,0.05,0.02721088,True,0.0,primary_success,1,True,1.91458347127761e-05,0.02,0.0007404319903744001,1.0,0.9999999999999998,0.9999999999999998,0,0.0,0.0,0.0,0.0
0.008537313079870325,0.013321321134370498,5.228286553033377e-07,0,0.0004910890113241942,success,True,0.36982174302102067,0.022395638660715447,0.04794095699477376,0.02608346299664129,True,2.7750560006126947e-07,primary_success,123,True,1.6734852272342353e-05,0.0198,0.0006803470418971555,0.9428062481793904,0.9742476470218084,0.9540188957379827,1,0.3905495853587061,8.781760939528117e-05,0.3858092758791908,0.012852373620558412
0.015145426992550478,0.026008731990860824,5.096120150430634e-07,0,0.0004982079248026404,success,True,0.3539266469888389,0.02170323678629619,0.04608490181415202,0.02506081045077925,True,2.928661404354306e-07,primary_success,118,True,1.5144888434302393e-05,0.019602,0.0006280442204498864,0.8887444283934726,0.9516443141759138,0.9102780951531707,2,0.7479673294927496,0.00016635010046830087,0.7395951320085675,0.02415629154442461
0.020484286624042978,0.0381419990722047,4.6188843587776876e-07,0,0.00046933609283523206,success,True,0.36827529600122944,0.021024291357909494,0.044349630209276576,0.024111221897818304,True,2.770309317633873e-07,primary_success,118,True,1.4097854155529181e-05,0.01940598,0.000581351021405833,0.8377890042788297,0.9295843005015673,0.8692656828088502,3,1.080059354723722,0.0002381613931876739,1.0689206918464895,0.034240756504565935
0.0249082966063033,0.049747242252286834,4.4628337164170136e-07,0,0.000470963384569243,success,True,0.3480728130089119,0.020345876602469573,0.04274906631479325,0.023216120325834224,True,2.881417089146094e-07,primary_success,117,True,1.339345135635857e-05,0.0192119202,0.000538988242983613,0.7905762559864272,0.909437241911664,0.8319868227817662,4,1.3837780234963204,0.00030285247348489663,1.3706680264340854,0.04316201413833689
0.02862802338324475,0.06085400078714442,4.509731974638779e-07,0,0.0004941162006575184,success,True,0.34789480100153014,0.019657789928612543,0.041274362715177426,0.02236081982975331,True,2.862988422487671e-07,primary_success,116,True,1.2873105717454907e-05,0.019019800998,0.0005000062634586892,0.7464084030157083,0.8912937225654941,0.7990759511230553,5,1.658933992055122,0.00036059802338614453,1.6445274932437368,0.05101216555753074
0.03179315667292714,0.07150330298863554,4.3892914646174063e-07,0,0.0004993682265951758,success,True,0.35518713798956014,0.01895312747796604,0.03992522002088744,0.021534738326534394,True,2.8885776030431303e-07,primary_success,114,True,1.242138889111227e-05,0.01882960298802,0.0004637449547923094,0.7045557440839844,0.8751979266543023,0.7706072658878553,6,1.903990104516598,0.0004112913947308932,1.8888694003951074,0.057848488854950836
0.03452526317834359,0.08174382979545976,3.8712357247098714e-07,0,0.0004575105643720209,success,True,0.3437968860089313,0.018228225695091572,0.03870158438494948,0.020730729001979767,True,2.7528296941375604e-07,primary_success,106,True,1.1974367557949877e-05,0.0186413069581398,0.0004297631249535249,0.6655103739274725,0.8610609905047576,0.7461741848609863,7,2.117407742430042,0.0004547799795935462,2.1021166153408424,0.0637263219607435
0.036925861718855243,0.09162469265353913,3.974137877676851e-07,0,0.00048811589060270114,success,True,0.3396704359911382,0.017491070799165558,0.03755361917756379,0.0199473895190873,True,2.599268472525473e-07,primary_success,106,True,1.1515115001905826e-05,0.0184548938885584,0.000397898348626194,0.6283104117756447,0.8489782494976054,0.725119712996799,8,2.3016981376604817,0.0004916922921722344,2.2864803381510317,0.06876716440428567
0.039076255466875744,0.1011875351792168,3.897729873854009e-07,0,0.0004977852387913146,success,True,0.3342842650017701,0.016743645435954538,0.03650220070354049,0.019183851682965856,True,2.59650744564087e-07,primary_success,106,True,1.103569106069115e-05,0.018270344949672817,0.000368020165394032,0.5914779479061989,0.8387436862122004,0.7066849130617164,9,2.455220238782826,0.0005220027089118457,2.440307272498568,0.07299804013900942
0.04104241786357628,0.11046760488556764,3.348402267977489e-07,0,0.00044486149035119434,success,True,0.34038308600429446,0.015992080978036775,0.03553910098938972,0.018440763551074192,True,2.651334871273609e-07,primary_success,106,True,1.0548748600883895e-05,0.01808764150017609,0.00034006176034662644,0.5563297526774336,0.8301848850984666,0.6901603020661127,10,2.578489734557293,0.0005460511395053689,2.5640170172988612,0.0764925992241244
0.04287683292251041,0.11949275285099664,3.472913425921471e-07,0,0.0004801938120164082,success,True,0.3381600579887163,0.015244135759042895,0.03465266204207926,0.017719174384564673,True,2.569835401451617e-07,primary_success,106,True,1.0066436912341543e-05,0.017906765085174327,0.0003139691408706128,0.5229265556577687,0.8231155423430441,0.6749539873892509,11,2.6724298630184014,0.0005642849302479476,2.6584546241181672,0.07932921138820584
0.04462215872697861,0.1282839201997589,3.2194594727934655e-07,0,0.00046344687386365587,success,True,0.33078102199942805,0.014510167992499105,0.033819444154636405,0.017019589845511638,True,2.578053102397442e-07,primary_success,102,True,9.604082694497303e-06,0.017727697434322585,0.00028966643850944284,0.49125881461036724,0.8170874666540311,0.659786778435012,12,2.7398029569068862,0.00057755154010506,2.7263232118514438,0.08162164151646385
0.04631392588790794,0.1368550830879451,3.1835093250025145e-07,0,0.0004772337535912241,success,True,0.29885866498807445,0.013799685068542683,0.03301304283548307,0.016343349118882584,True,2.4670752854930886e-07,primary_success,85,True,9.171575341460596e-06,0.01755042045997936,0.0002671050604216801,0.46115659042535856,0.8117791406024859,0.6443768939278057,13,2.784218225319344,0.0005870137871750045,2.7711919452742335,0.08351603600353102
0.04798380061320845,0.1452134203875673,3.1914767086089815e-07,0,0.0004984579148133618,success,True,0.3076562920177821,0.013104417236338744,0.03225620299687263,0.015686616068720117,True,2.3571568918110017e-07,primary_success,89,True,8.749777013710317e-06,0.017374916255379565,0.0002460699236874282,0.43260763905658417,0.8071186564773507,0.6289979216318561,14,2.8013011390761315,0.000591231192380177,2.788783446930487,0.08490309291191088
