step,evaluation_success,objective,gradient_rms,forward_converged,forward_iterations,forward_failure,line_search_failures,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv,inverted_cell_fraction,inverted_rest_measure_fraction,negative_det_f_mean,top_target_mae,top_target_rms,top_target_max,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_neighbor_jump_rms,activation_rms
0,1,0.0014813333333333334,3.276314871748799e-05,1,1,,0,3.670949992239779e-18,1.0,1.0,1.0,0.0,0.0,0.0,0.03666666666666667,0.038488093396962825,0.05,0.038488093396962825,0.0,0.0,0.0,0.0,0.0
1,1,0.0010164572567635038,2.9507624639249142e-05,1,5,,0,1.1384753262541235e-10,1.0000000000000018,0.9710351162126346,0.9400120979569416,0.0,0.0,0.0,0.03037434929855938,0.0318819268044374,0.041061606592514836,0.031869913769388324,0.0012986827604889143,0.16354876777069013,5.83372201176207,0.007664808533852368,0.02976782282321143
2,1,0.0006131909481791203,2.4934898756562424e-05,1,5,,0,1.980711239637534e-09,1.0000000000000018,0.9411387492446378,0.8805877922626443,0.0,0.0,0.0,0.02362992122299399,0.02476269266818777,0.031301160017008466,0.024676057947172036,0.0027762887423114844,0.3496823339017998,12.488457343311872,0.01494208519866065,0.05873573750093958
3,1,0.0003002995418670698,1.93743321168785e-05,1,6,,0,9.94873694080048e-10,1.0000000000000018,0.9105300095690371,0.8217088946110426,0.0,0.0,0.0,0.0166497479676295,0.017329152947189015,0.02173745729266273,0.016987907856272067,0.004463429151969956,0.562657222127441,20.128490153180607,0.022542967288527803,0.08711163183009622
