step,objective,mae,rmse,linf,grad_norm,learning_rate,worst_point_index,worst_point_ties,control_0,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8
0,0.02859779083015571,0.02859779083015571,0.03350258023678287,0.09746248381992707,0.024540453326367215,0.08,479,1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
1,0.022727002928358987,0.022727002928358987,0.027332104685703403,0.0880277550101873,0.024540453326367215,0.07999945511683522,479,1,0.12999989351609037,0.12999990537248884,0.12999989351609037,0.12999990537248882,0.1299999159375662,0.12999990537248882,0.12999989351609037,0.12999990537248882,0.12999989351609037
2,0.01685711949534317,0.01685711949534317,0.021291169680454906,0.07859309046075873,0.0244819009302169,0.07999782048227912,479,1,0.20999924214974064,0.20999926586245682,0.20999924214974067,0.20999926586245676,0.20999928699253964,0.20999926586245682,0.20999924214974067,0.20999926586245682,0.20999924214974064
3,0.011199223108559775,0.011199223108559775,0.015531985383541327,0.06915899978818923,0.022694381975930558,0.07999509614114603,479,1,0.28999694812537513,0.2899969913580259,0.28999695614932425,0.28999441576273594,0.2899969201534685,0.2899969913580259,0.2899255573280276,0.28999441576273605,0.2899969481253752
4,0.006715511806684057,0.006715511806684057,0.010536992752277525,0.05975309534025532,0.01641479722422827,0.07999128216812512,479,1,0.36998987595479743,0.369933421686542,0.368865131966259,0.3698026620894738,0.3699699577618735,0.3699428581402408,0.36579206099990297,0.3697540950037897,0.3699441833996714
5,0.004955895005994446,0.004955895005994446,0.007760013494406917,0.05052971252153111,0.010006172484197932,0.07998637866777841,479,1,0.4452920117660345,0.4489444194898205,0.4409264024642854,0.4481836988796827,0.44967589879591296,0.44918632626994476,0.42809102786971603,0.44752328065873337,0.44506464278520685
6,0.006808254231314865,0.006808254231314865,0.00839211174850928,0.042325265128678076,0.01801902179328701,0.07998038577453784,479,1,0.501283382869689,0.5193019638955109,0.49517005655681534,0.5178679160826527,0.5258717605256181,0.5241687707782133,0.463611002652884,0.504611350859098,0.49998856806394804
7,0.008934834860630484,0.008934834860630484,0.009985775881362161,0.03659459796896668,0.021200048515747454,0.07997330365270158,479,1,0.5297686789206163,0.5636720527373269,0.5227748537784006,0.5613787921652915,0.5856757997563712,0.5803261914943119,0.47390348195852916,0.5371704673752826,0.5294376560314048
8,0.009923546109162254,0.009923546109162254,0.010848084194782429,0.03321873391578439,0.021633140165403374,0.07996513249642961,479,1,0.5376295332208338,0.586230172013319,0.5284091040632305,0.5833341684414883,0.6272878135385601,0.6116458870629025,0.46599066334176725,0.5498495876698506,0.5375318398594039
9,0.009891128882365248,0.009891128882365248,0.01077649665522489,0.031762805812322006,0.02198481428890623,0.0799558725297383,479,1,0.5300089637158447,0.5917875234904738,0.5179066331811643,0.5884975472898768,0.6529613509535188,0.623773763587033,0.44461983760415846,0.5469953032571034,0.5296813723488819
10,0.009021337928767007,0.009021337928767007,0.009891817390831299,0.03189145257283835,0.02180868324273629,0.0799455240064943,479,1,0.5103356794404345,0.5837866342149043,0.4951506404202946,0.5802012548231781,0.6647923176151326,0.6208749598527751,0.4129508379359217,0.5318313634001283,0.5095848004055654
11,0.007502750186767198,0.007502750186767198,0.008408726686153164,0.033281738449071396,0.021546634685487575,0.07993408721040762,479,1,0.48119631101248084,0.5650708452812162,0.46286497950590094,0.5612901294076289,0.6654740978523483,0.6061036322720995,0.37328239388273443,0.5069559589194932,0.47987782919503513
12,0.005492495434863776,0.005492495434863776,0.006637900966335487,0.035681520976517694,0.020632805740956064,0.0799215624550238,479,1,0.4444802741424247,0.5377429172400102,0.42300995429106814,0.5339168500774244,0.6572327163118632,0.5818294725126066,0.3272697729378866,0.47428816589016465,0.44248244429907035
13,0.0033838498924418157,0.0033838498924418157,0.005218895654141083,0.03887112924061267,0.015182831362099823,0.07990795008371532,479,1,0.4015795834711549,0.503465527358538,0.37732689923838314,0.49960409551946094,0.6420602516674663,0.5511662028623956,0.27611781604745883,0.435348925265289,0.3991721392488282
14,0.0025429946266942415,0.0025429946266942415,0.0052478858819894345,0.04240360217322502,0.01125942762262927,0.07989325046967222,479,1,0.3545550853425904,0.46406798610075956,0.32787503066366097,0.46385927371072033,0.6237793546663183,0.5194044101642044,0.22235692454436465,0.39371479395868936,0.35260163630209834
15,0.003833353036465147,0.003833353036465147,0.006360346399504723,0.044834749352395606,0.02154970909865774,0.07987746401589185,479,1,0.30968073421860587,0.42942675426610855,0.2792818241813755,0.4400682926401071,0.6151377726655515,0.4960091578837939,0.17971833044002036,0.3654428801808631,0.31184983723920734
16,0.004980625064623444,0.004980625064623444,0.0071729096422950426,0.0455620258197049,0.024153996481629487,0.07986059115516782,479,1,0.2781914458688303,0.4097785149564334,0.2409761997498509,0.4311099393745657,0.6207956204362849,0.48647909441327497,0.15422625218264208,0.35208056404064325,0.2833156293426602
17,0.005292146342095947,0.005292146342095947,0.007254297471913748,0.044801210413858476,0.024540453326367215,0.07984263235007812,479,1,0.2617914580243771,0.4039141692655415,0.21764895424865993,0.43478914726613765,0.6382487078213226,0.48955803845019946,0.1431124310022336,0.35160883428986084,0.26910598040127465
18,0.004758892804639844,0.004758892804639844,0.006626832413359541,0.04279082742820886,0.024540453326367215,0.07982358809297245,479,1,0.2581600772300103,0.40974888891776784,0.20844344542568966,0.44909067336255315,0.6654422978074971,0.5033248848802652,0.14415477193813878,0.36204123398752147,0.2675419547918678
19,0.003547860136841065,0.003547860136841065,0.005473128259500538,0.03972728299294287,0.022432367175094628,0.07980345890595877,479,1,0.265410477376585,0.42551788754962644,0.21120434888887227,0.47239181147803205,0.7007618801188208,0.5261485721616737,0.15554902532311568,0.3817456927734256,0.27673377662221404
20,0.002250686196196207,0.002250686196196207,0.004245775426598368,0.03589680101926607,0.012915561858156245,0.07978224534088889,479,1,0.2819463723067001,0.44922473596771584,0.22359564321568823,0.5032400977618425,0.7412397218384271,0.5549815515938437,0.17575345820035093,0.40867132840594605,0.2941437176335637
