activation_neighbor_jump_rms,activation_rms,adjoint/absolute_residual,adjoint/best_solver,adjoint/relative_residual,adjoint/result,adjoint/success,elapsed_s,error_mae,error_max,error_rms,evaluation_success,forward/grad_norm,forward/result,forward/steps,forward/success,grad_norm,learning_rate,loss,min_det_ainv,min_det_f,min_det_g,step,top_curvature_rms,top_highpass_rms,top_laplacian_rms,top_slope_rms
0.0,0.0,2.7126690623935136e-07,0,0.0004985038077447661,success,True,1.1596748380106874,0.022668888888888888,0.05,0.026936026666666668,True,0.0,primary_success,1,True,6.251153088118623e-06,0.02,0.0007255495325873778,1.0,0.9999999999999998,0.9999999999999998,0,0.0,0.0,0.0,0.0
0.003598069064028946,0.006554122263440058,2.644125190814088e-07,0,0.0004972296897733428,success,True,2.2138348380103707,0.02222458809431548,0.04908172797731582,0.026322683387019718,True,7.227202218236152e-08,primary_success,264,True,5.976560849605411e-06,0.0198,0.0006928836606932839,0.9522710999301282,0.9778965324565915,0.966277487972418,1,0.34949457960012476,4.8494036667304745e-05,0.3447937911440282,0.008561362221734151
0.006861767431758758,0.013001631831643582,2.508107729405723e-07,0,0.0004825969237344942,success,True,2.2274377360008657,0.02177742296577341,0.04816384014582741,0.025725678407740215,True,6.970162740029736e-08,primary_success,266,True,5.7814733262289425e-06,0.019602,0.000661810529538471,0.9069394053318884,0.9541228315851802,0.9334398165005369,2,0.6461924324487199,8.94133280834197e-05,0.6372662373315418,0.015852915046874874
0.009807234288868805,0.01934359928954509,2.4673181736230126e-07,0,0.00048581809113950003,success,True,2.217281310004182,0.021322775700859557,0.04726659769903732,0.02513950217618996,True,7.43290194522745e-08,primary_success,264,True,5.656679330611927e-06,0.01940598,0.0006319945696666597,0.8639000975722604,0.9302010290767435,0.901795188679446,3,0.9175050362152749,0.00012603645469758118,0.9049934343897407,0.022290053588536904
0.012455663980542797,0.025582893300991994,2.4163581762633524e-07,0,0.0004870379400997454,success,True,2.1877127879997715,0.020857419352245887,0.046383243132259534,0.024558606194117,True,7.311555008759004e-08,primary_success,260,True,5.585957445800645e-06,0.0192119202,0.000603125138197722,0.8230048086459004,0.9076073100362592,0.87131570543692,4,1.179496077604193,0.00016034660106058784,1.1639542022392733,0.028177068513161225
0.014829126376911075,0.03172305845320708,2.4212350922250896e-07,0,0.0004998213398385162,success,True,2.171641611988889,0.02037950510922072,0.045507474790091894,0.023978795523989394,True,7.194768174835314e-08,primary_success,256,True,5.554502760031208e-06,0.019019800998,0.0005749826347812939,0.7840771746644222,0.8872069642161902,0.8419479646210193,5,1.4407755214551845,0.000193268082033766,1.422675504881594,0.03369524603786348
0.016948320453309296,0.03776757227826317,2.360533004718182e-07,0,0.000499416499281722,success,True,2.141791206988273,0.019887423037758534,0.044634697594961095,0.02339658058986888,True,7.004819177330429e-08,primary_success,254,True,5.552160812403906e-06,0.01882960298802,0.0005473999832982291,0.7469334099358491,0.8690867968791846,0.8133367218898265,6,1.7090912940815919,0.00022530366310321022,1.6887054669461932,0.038967504373941315
0.018831057144370923,0.04371936313777062,2.2856394069834518e-07,0,0.0004960302790159284,success,True,2.135345326998504,0.019379942810660692,0.04376250959804391,0.02280892022763953,True,6.826621210991106e-08,primary_success,251,True,5.574798526652393e-06,0.0186413069581398,0.0005202468419508237,0.7113756715778763,0.8528180723684412,0.7852854432922802,7,2.001966798308234,0.00025736530129675877,1.9794707431510339,0.04417534291676126
0.020492110132964883,0.04958061466705232,2.232072398020172e-07,0,0.0004973681442069528,success,True,3.6988312210014556,0.01885984860244864,0.0428497847793388,0.022214447183417745,True,6.72040480139155e-08,primary_success,556,True,5.658757586958159e-06,0.0184548938885584,0.0004934816636648565,0.6771747838497447,0.8024600440784359,0.7580001865535466,8,2.7062070162206813,0.0003218862317452758,2.674419464037716,0.05182320880809858
0.021933805938049878,0.055349321078358965,2.1473343829785693e-07,0,0.0004919627957284589,success,True,2.8625647650042083,0.01831535983622108,0.0419773657560447,0.021605912658506827,True,6.545323802621804e-08,primary_success,394,True,5.760242102028498e-06,0.018270344949672817,0.0004668154618070256,0.6439610422691671,0.729164720363949,0.7181697986966668,9,3.2619418302289622,0.00036996845544472786,3.2076002393269776,0.058880482273682484
0.02319637677717875,0.06103332404560177,2.1121687498717015e-07,0,0.0004983071101019087,success,True,2.1691683199896943,0.017754586121811623,0.04110174826438568,0.02098150939433058,True,6.2973264045525e-08,primary_success,254,True,5.673009366786929e-06,0.01808764150017609,0.0004402237364643825,0.6112955474325252,0.6876935464532237,0.6824572661136645,10,3.9770545016512475,0.00042899235916562454,3.912024806842534,0.06793312295930827
0.02432745918196132,0.06664693546071154,2.0535880653212086e-07,0,0.0004996055984256013,success,True,2.1535494060080964,0.017175252306586217,0.040196867528212596,0.020346571286177735,True,6.225731108435329e-08,primary_success,252,True,5.625936625924904e-06,0.017906765085174327,0.0004139829631035122,0.5803988040335885,0.6626289399341561,0.64921101427896,11,4.628534567020569,0.0004808909315365586,4.556645492311272,0.07601821808563138
0.025349399922179824,0.07219520852885822,1.9513728029098572e-07,0,0.000490261174812177,success,True,2.057162594021065,0.01657454940459714,0.03929018772087196,0.01970234615887001,True,6.107117024421626e-08,primary_success,237,True,5.616870377998437e-06,0.017727697434322585,0.0003881824441639398,0.5516916981674288,0.6503030559707521,0.5819213564215252,12,5.150113259565155,0.0005220999864198517,5.07449102635858,0.08252284172523944
