candidate,display_name,origin,young_min_scale,prestrain_gain,step,target/error_rms_fraction_of_target,target/error_rms_m,target/error_rms_mm,bumpiness/contraction_target_relative_dihedral_rms_rad,bumpiness/contraction_target_relative_dihedral_rms_deg,bumpiness/displacement_laplacian_rms_m,bumpiness/displacement_laplacian_rms_mm,warning/inverted_tets,warning/inverted_tet_fraction,warning/detF_min,warning/skin_folded_triangles,warning/skin_folded_triangle_fraction,warning/skin_signed_normal_ratio_min,warning/has_inversion_or_fold,warning/text,warning/policy
e100-p000,baseline,reused-2026-08-17,1.0,0.0,10,0.8123460628454596,0.004313670560421114,4.313670560421114,0.0845554966484237,4.844673092587255,8.40652003770299e-05,0.0840652003770299,6,5.233241199214665e-06,-0.44510401981593795,6,4.681209624566988e-05,-0.5674892103694597,True,6 inverted tets; 6 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,11,0.7985972169185444,0.00424066227660306,4.24066227660306,0.0887683599579938,5.086052379891139,8.820976257762657e-05,0.08820976257762657,8,6.97765493228622e-06,-0.4531474193556528,18,0.00014043628873700964,-0.548701722610586,True,8 inverted tets; 18 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,12,0.7853399473131041,0.004170264331411772,4.170264331411772,0.09315612308508986,5.3374526885768665,9.24965503096724e-05,0.0924965503096724,7,6.105448065750443e-06,-0.4550310673928224,25,0.00019505040102362452,-0.446276042175206,True,7 inverted tets; 25 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,13,0.7731086155454551,0.004105314258808431,4.105314258808431,0.0976563593349627,5.595297232506361,9.586580645407765e-05,0.09586580645407765,7,6.105448065750443e-06,-0.3749574721020681,32,0.00024966451331023934,-0.36855015404308517,True,7 inverted tets; 32 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,14,0.76142597669865,0.00404327782191727,4.04327782191727,0.10174335167836904,5.829464644685826,9.796731487628294e-05,0.09796731487628295,6,5.233241199214665e-06,-0.32743909006373023,37,0.0002886745935149643,-0.29264418817439697,True,6 inverted tets; 37 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,15,0.7506484661062429,0.00398604774192618,3.9860477419261797,0.10519108080353835,6.02700497246236,9.990037453696212e-05,0.09990037453696211,6,5.233241199214665e-06,-0.21969696019382726,39,0.0003042786255968542,-0.3224930444420201,True,6 inverted tets; 39 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,16,0.7401665411819378,0.003930387262937533,3.930387262937533,0.10849305019905425,6.216193882906785,0.00010117225595640219,0.1011722559564022,3,2.6166205996073323e-06,-0.17743641690863537,41,0.0003198826576787442,-0.3584066254170572,True,3 inverted tets; 41 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,17,0.7311431347990605,0.003882471720228811,3.8824717202288106,0.11054563984988829,6.333798606971806,0.00010200996800397441,0.10200996800397441,2,1.744413733071555e-06,-0.18468680288328795,41,0.0003198826576787442,-0.3906706570613956,True,2 inverted tets; 41 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,18,0.7221566671793442,0.003834752327489264,3.834752327489264,0.11291722502339727,6.469680428169672,0.0001032166059295911,0.1032166059295911,3,2.6166205996073323e-06,-0.17004329147883193,45,0.0003510907218425241,-0.4146774638621526,True,3 inverted tets; 45 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,19,0.713354757133083,0.0037880129611297633,3.7880129611297635,0.11505881571400468,6.592384536185984,0.00010383592875937758,0.10383592875937758,4,3.48882746614311e-06,-0.16003038234502684,46,0.0003588927378834691,-0.4397515563987784,True,4 inverted tets; 46 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,20,0.7076415551072539,0.0037576750638815973,3.757675063881597,0.11626590065084486,6.661545408580741,0.000103586483352865,0.103586483352865,7,6.105448065750443e-06,-0.20243190403513886,46,0.0003588927378834691,-0.5008404278719238,True,7 inverted tets; 46 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,21,0.6993314993886031,0.0037135475124001017,3.7135475124001016,0.11831596066424696,6.7790051950972146,0.00010483160163614595,0.10483160163614595,10,8.722068665357775e-06,-0.18248059650684437,45,0.0003510907218425241,-0.5143385864116625,True,10 inverted tets; 45 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,22,0.6915738484838958,0.0036723533072993307,3.6723533072993306,0.1204547595602764,6.901549345066941,0.0001055477668266682,0.10554776682666821,10,8.722068665357775e-06,-0.2195398278979604,48,0.00037449676996535904,-0.5096779893244353,True,10 inverted tets; 48 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,23,0.6850921007996378,0.003637934325729181,3.637934325729181,0.12187531401879309,6.98294112010844,0.00010642753408251866,0.10642753408251866,11,9.594275531893552e-06,-0.26756250624247796,46,0.0003588927378834691,-0.4996003760238252,True,11 inverted tets; 46 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,24,0.6802960580526854,0.00361246667179413,3.6124666717941296,0.12377990385000541,7.09206607914044,0.00010682060184447676,0.10682060184447675,13,1.1338689264965108e-05,-0.30884465924974236,45,0.0003510907218425241,-0.48914032696977017,True,13 inverted tets; 45 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,25,0.6728558984576833,0.0035729583896989647,3.5729583896989645,0.12592392821174378,7.214909626241278,0.00010781783487119914,0.10781783487119914,13,1.1338689264965108e-05,-0.3439541188815612,47,0.0003666947539244141,-0.4948699254278384,True,13 inverted tets; 47 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,26,0.6659335317974151,0.0035361996600927125,3.5361996600927124,0.12792841715395095,7.329758382710392,0.00010881461689335354,0.10881461689335355,15,1.3083102998036662e-05,-0.41376446518913246,47,0.0003666947539244141,-0.5032895101333162,True,15 inverted tets; 47 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,27,0.6593232282547579,0.0035010980290371896,3.5010980290371894,0.1294925552165741,7.419376892274468,0.00010954086736086702,0.10954086736086702,15,1.3083102998036662e-05,-0.48042925648959156,46,0.0003588927378834691,-0.5109953862053196,True,15 inverted tets; 46 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,28,0.6536202069380518,0.00347081419277022,3.47081419277022,0.13115118256370945,7.514409239050303,0.000110251344249737,0.11025134424973701,14,1.2210896131500885e-05,-0.5383750492528656,47,0.0003666947539244141,-0.5158211651099903,True,14 inverted tets; 47 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,29,0.647849597127659,0.003440171452202763,3.440171452202763,0.13255908082276568,7.595075867278042,0.00011089489414396831,0.11089489414396832,17,1.4827516731108217e-05,-0.5876304651078715,47,0.0003666947539244141,-0.5182466972146386,True,17 inverted tets; 47 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,30,0.6417295384982127,0.0034076730898109754,3.4076730898109755,0.13442919959980962,7.702225780390826,0.00011178273848879637,0.11178273848879637,20,1.744413733071555e-05,-0.6197185189256933,46,0.0003588927378834691,-0.5218033021507676,True,20 inverted tets; 46 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,31,0.6376541488016064,0.0033860322037889325,3.3860322037889325,0.1360638839391366,7.795886293870393,0.0001124459864420875,0.1124459864420875,20,1.744413733071555e-05,-0.6551259492256197,46,0.0003588927378834691,-0.5258344156223146,True,20 inverted tets; 46 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,32,0.632631533992492,0.003359361420696168,3.359361420696168,0.13749440451447273,7.87784908534378,0.00011319991815994614,0.11319991815994614,21,1.8316344197251327e-05,-0.678437609952095,47,0.0003666947539244141,-0.5275335379915831,True,21 inverted tets; 47 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,33,0.6273457290972169,0.0033312930616460727,3.3312930616460728,0.1388432396790579,7.955131647533344,0.00011400568821147638,0.11400568821147637,21,1.8316344197251327e-05,-0.6970395884019023,49,0.00038229878600630403,-0.5335388515852295,True,21 inverted tets; 49 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,34,0.6223301692589499,0.003304659741429589,3.304659741429589,0.14027569425697514,8.037205249192196,0.00011483108747007122,0.11483108747007123,25,2.1805171663394436e-05,-0.7173887075044845,47,0.0003666947539244141,-0.539571812010148,True,25 inverted tets; 47 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,35,0.6226856645231247,0.003306547470718346,3.306547470718346,0.14294052251583533,8.18988866155208,0.00011807953701417611,0.1180795370141761,20,1.744413733071555e-05,-0.725291139293633,46,0.0003588927378834691,-0.5458449676279061,True,20 inverted tets; 46 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,36,0.6177985093435711,0.0032805959970958775,3.2805959970958773,0.14562087770581317,8.343461701533796,0.00011860502381896341,0.11860502381896341,22,1.9188551063787104e-05,-0.7538802109520628,48,0.00037449676996535904,-0.5405005274576093,True,22 inverted tets; 48 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,37,0.6129836395703651,0.00325502836903329,3.25502836903329,0.14702947133656918,8.424168171625125,0.00011885166330300163,0.11885166330300162,22,1.9188551063787104e-05,-0.7705222030391369,49,0.00038229878600630403,-0.5352144761271841,True,22 inverted tets; 49 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,38,0.6090998831893724,0.0032344050825661246,3.234405082566125,0.14811068466248486,8.486117131953396,0.00011894999258228908,0.11894999258228908,24,2.093296479685866e-05,-0.7792236416501747,50,0.00039010080204724903,-0.518687381637024,True,24 inverted tets; 50 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,39,0.6070375524668159,0.0032234538196368964,3.2234538196368963,0.1478891417513253,8.473423658162913,0.00011872557347698237,0.11872557347698237,26,2.2677378529930216e-05,-0.7914587831265609,48,0.00037449676996535904,-0.5036849173796886,True,26 inverted tets; 48 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,40,0.6024609227330279,0.003199151279313826,3.199151279313826,0.14912759845102108,8.54438200016518,0.00011908355387273735,0.11908355387273735,29,2.5293999129537548e-05,-0.8050498660599399,49,0.00038229878600630403,-0.48995304764796516,True,29 inverted tets; 49 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,0,0.8869659662655323,0.004709912624397079,4.709912624397079,0.06652606063780658,3.8116625021777106,4.66285833796305e-05,0.0466285833796305,0,0.0,0.03507989554202075,1,7.80201604094498e-06,-0.020307687712686998,True,1 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,1,0.868134750679487,0.004609916250923032,4.609916250923032,0.06623002426146052,3.794700867230735,4.689756142496256e-05,0.046897561424962556,1,8.722068665357775e-07,-0.057942454213009344,0,0.0,0.04548854337993761,True,1 inverted tets,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,2,0.8504632988410586,0.0045160783842282445,4.516078384228244,0.06596866826391809,3.779726271621122,4.744993372751337e-05,0.04744993372751337,0,0.0,0.11022202835382479,0,0.0,0.028075861446918083,False,none,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,3,0.8331808629700586,0.004424306246417956,4.424306246417956,0.06573520746977911,3.766349953435186,4.825681882731942e-05,0.04825681882731942,0,0.0,0.14901208417701708,0,0.0,0.11064091303187747,False,none,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,4,0.8165319889149808,0.004335898409954778,4.335898409954778,0.06561667782165245,3.759558704850358,4.9316691388384546e-05,0.04931669138838454,0,0.0,0.16152227685390783,0,0.0,0.0950979067202488,False,none,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,5,0.8004224116220244,0.004250354314294312,4.250354314294312,0.06569224234317048,3.7638882330142662,5.069089439806506e-05,0.05069089439806506,0,0.0,0.10011302747079702,0,0.0,0.008449902778724974,False,none,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,6,0.7851086443510061,0.00416903608051751,4.16903608051751,0.06584519705236877,3.7726518923079793,5.230346914090254e-05,0.052303469140902545,0,0.0,0.053361494634529466,0,0.0,0.014360273486071799,False,none,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,7,0.7709148588192244,0.00409366510552329,4.09366510552329,0.06584995561193614,3.7729245376877514,5.434339056918232e-05,0.05434339056918232,0,0.0,0.019365059602892955,4,3.120806416377992e-05,-0.052770098953646954,True,4 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,8,0.7572395299105799,0.0040210472072956995,4.021047207295699,0.06604406541011006,3.7840462098852528,5.629822381650109e-05,0.05629822381650109,1,8.722068665357775e-07,-0.007704894548033965,9,7.021814436850482e-05,-0.15654233311571386,True,1 inverted tets; 9 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,9,0.7444258229879324,0.003953004641632888,3.9530046416328877,0.06622401705649855,3.794356679739744,5.861362969936925e-05,0.05861362969936925,1,8.722068665357775e-07,-0.02401985150496546,12,9.362419249133976e-05,-0.2656657734718337,True,1 inverted tets; 12 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,10,0.7326291735813423,0.003890362792814698,3.890362792814698,0.06640298160739237,3.804610593188414,6.12484150561906e-05,0.061248415056190594,1,8.722068665357775e-07,-0.011354679416356877,16,0.00012483225665511967,-0.3613279763935895,True,1 inverted tets; 16 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,11,0.7218170664972957,0.0038329490006419344,3.8329490006419342,0.06661328045146794,3.8166598293904244,6.37057759719491e-05,0.06370577597194911,1,8.722068665357775e-07,-0.010540922771449962,24,0.00018724838498267952,-0.43734316561067493,True,1 inverted tets; 24 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,12,0.712729647509378,0.003784693542098707,3.784693542098707,0.06684405985729504,3.8298825153428537,6.478516405722075e-05,0.06478516405722075,0,0.0,0.002106151491392752,27,0.00021065443310551446,-0.5006523407793261,True,27 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,13,0.7041577534511605,0.0037391755926222715,3.7391755926222716,0.06705300576422583,3.8418542339565214,6.685747160973885e-05,0.06685747160973884,0,0.0,0.020179885571636743,31,0.0002418624972692944,-0.548981368923598,True,31 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,14,0.6954788131894085,0.0036930892129189755,3.6930892129189754,0.06726682266103699,3.854105039732385,6.893686213351762e-05,0.06893686213351762,0,0.0,0.025447077775003064,39,0.0003042786255968542,-0.5918565245165249,True,39 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,15,0.6876212850239664,0.0036513646456745406,3.6513646456745406,0.06749388198711938,3.8671145808159904,7.011632187183342e-05,0.07011632187183342,1,8.722068665357775e-07,-0.019746821576129978,48,0.00037449676996535904,-0.6238386551090174,True,1 inverted tets; 48 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,16,0.6805525579012215,0.003613828721659315,3.6138287216593152,0.06767396832874205,3.8774327681389207,7.14677854993058e-05,0.0714677854993058,2,1.744413733071555e-06,-0.07919568796776866,50,0.00039010080204724903,-0.6427641981010173,True,2 inverted tets; 50 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,17,0.6735096517544114,0.0035764299106170274,3.5764299106170276,0.06788023776727768,3.8892511364095457,7.256499853822954e-05,0.07256499853822954,2,1.744413733071555e-06,-0.14999714492438485,61,0.0004759229784976438,-0.6603665160563934,True,2 inverted tets; 61 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,18,0.6668758178209004,0.003541203329913881,3.541203329913881,0.0681994853289342,3.9075426743123067,7.350683016999653e-05,0.07350683016999653,3,2.6166205996073323e-06,-0.24612688730252633,73,0.0005695471709889836,-0.674093660243244,True,3 inverted tets; 73 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,19,0.6605989810178795,0.0035078724536184787,3.5078724536184787,0.06874026131557624,3.9385268560089184,7.428229559647216e-05,0.07428229559647216,3,2.6166205996073323e-06,-0.4169499718261807,80,0.0006241612832755984,-0.6844480561048782,True,3 inverted tets; 80 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,20,0.6550471223996123,0.003478391312301252,3.478391312301252,0.06898595571832669,3.952604108336507,7.496250198475885e-05,0.07496250198475884,4,3.48882746614311e-06,-0.5429311572829664,88,0.0006865774116031583,-0.6908524454847833,True,4 inverted tets; 88 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,21,0.6497576152570164,0.0034503032938030397,3.4503032938030396,0.06932736666801328,3.972165514833102,7.462120164675028e-05,0.07462120164675029,6,5.233241199214665e-06,-0.6368292024629403,88,0.0006865774116031583,-0.6707210893791339,True,6 inverted tets; 88 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,22,0.6450004371043814,0.003425042016268414,3.4250420162684136,0.0696820909818438,3.992489720906265,7.508022225404444e-05,0.07508022225404444,6,5.233241199214665e-06,-0.6921045713861222,91,0.0007099834597259932,-0.6657552721739513,True,6 inverted tets; 91 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,23,0.6401026011992057,0.003399033826507606,3.399033826507606,0.06989602442979945,4.004747204570805,7.532747205462189e-05,0.0753274720546219,7,6.105448065750443e-06,-0.7227119575150973,99,0.000772399588053553,-0.6617924451707617,True,7 inverted tets; 99 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,24,0.6356392703226392,0.0033753329188719815,3.3753329188719814,0.06989019431480806,4.0044131635877225,7.504317659077882e-05,0.07504317659077882,9,7.849861798821998e-06,-0.7382575479470125,102,0.000795805636176388,-0.6501496272572264,True,9 inverted tets; 102 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,25,0.6309861218654889,0.0033506240534869874,3.3506240534869876,0.07005829897281472,4.014044851007994,7.529240467549961e-05,0.07529240467549961,9,7.849861798821998e-06,-0.7381322265764494,106,0.0008270137003401679,-0.6455413748073894,True,9 inverted tets; 106 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,26,0.6266594814081774,0.003327648990986091,3.327648990986091,0.07040449471150913,4.0338804057205975,7.5709526868793e-05,0.075709526868793,12,1.046648239842933e-05,-0.7342523165399937,106,0.0008270137003401679,-0.6417402987769352,True,12 inverted tets; 106 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,27,0.6238496086950162,0.0033127281761318435,3.3127281761318437,0.07017333633013002,4.020636006068499,7.56056235059795e-05,0.0756056235059795,11,9.594275531893552e-06,-0.7237649819761126,104,0.000811409668258278,-0.6389260269576021,True,11 inverted tets; 104 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,28,0.6197934443861767,0.0032911893795923683,3.2911893795923683,0.0703759064721384,4.032242420260945,7.602054095009485e-05,0.07602054095009485,12,1.046648239842933e-05,-0.7476226850377431,105,0.0008192116842992229,-0.6362310555542052,True,12 inverted tets; 105 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,29,0.6160437762211558,0.003271278120198629,3.271278120198629,0.07062677870311575,4.046616340292978,7.582851918206701e-05,0.07582851918206701,14,1.2210896131500885e-05,-0.7662356453137046,108,0.0008426177324220578,-0.6422317522219234,True,14 inverted tets; 108 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,30,0.6122387811691787,0.003251073067341268,3.251073067341268,0.07109810199399859,4.073621175646782,7.623798874101636e-05,0.07623798874101635,18,1.5699723597643995e-05,-0.7507012289115381,106,0.0008270137003401679,-0.6445545510102771,True,18 inverted tets; 106 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,31,0.6099307113915771,0.003238816895856712,3.238816895856712,0.07136551152476796,4.08894261316144,7.675317745770851e-05,0.07675317745770852,16,1.395530986457244e-05,-0.748733578680023,104,0.000811409668258278,-0.6140116686551739,True,16 inverted tets; 104 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,32,0.6068232922328136,0.003222316067998824,3.2223160679988236,0.07175857665485526,4.1114635861892035,7.67596867904492e-05,0.0767596867904492,17,1.4827516731108217e-05,-0.7323989360999723,104,0.000811409668258278,-0.6138704523215313,True,17 inverted tets; 104 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,33,0.6032821370288254,0.0032035120414244597,3.2035120414244598,0.07200672739508183,4.125681576287233,7.672376007597889e-05,0.07672376007597889,16,1.395530986457244e-05,-0.8124236361092719,103,0.000803607652217333,-0.6190604666263438,True,16 inverted tets; 103 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,34,0.6004704547079934,0.003188581617301832,3.188581617301832,0.07223145157611656,4.138557323415057,7.681014201774495e-05,0.07681014201774496,18,1.5699723597643995e-05,-0.7875768391771489,108,0.0008426177324220578,-0.65953762784925,True,18 inverted tets; 108 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,35,0.5973619840608182,0.0031720752058942542,3.172075205894254,0.07244986468820534,4.151071472928062,7.682417158130066e-05,0.07682417158130066,17,1.4827516731108217e-05,-0.7746774841140845,111,0.0008660237805448928,-0.6416789675399266,True,17 inverted tets; 111 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,36,0.5946068941446577,0.0031574452953103023,3.1574452953103025,0.07263689766319008,4.161787673024463,7.61663737190119e-05,0.0761663737190119,17,1.4827516731108217e-05,-0.7608923360081665,112,0.0008738257965858378,-0.6347604447545202,True,17 inverted tets; 112 folded triangles,visual-review-only; not an eligibility gate
e100-p200,prestrain only,new-2026-08-18,1.0,2.0,37,0.5917236609427592,0.003142134926059181,3.1421349260591813,0.0728215846962121,4.172369460547419,7.63480655047557e-05,0.07634806550475569,21,1.8316344197251327e-05,-0.7462204843812356,115,0.0008972318447086728,-0.6559080854740927,True,21 inverted tets; 115 folded triangles,visual-review-only; not an eligibility gate
