step,learning_rate,objective_total,data_mse,error_mae,error_rms,error_max,error_rms_fraction_of_target,top_y_mean,top_y_std,top_y_min,top_y_max,top_y_range,top_y_near_muscle_mean,top_y_far_mean,top_y_highpass_rms,top_y_highpass_peak_to_valley,top_y_first_difference_rms,top_y_second_difference_rms,activation_rms,activation_max_abs,activation_neighbor_jump_rms,activation_bound_hits,activation_smooth_mse
0.0,0.05,0.005000000000000002,0.005000000000000002,0.049999999999999996,0.07071067811865477,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.04999950751430866,0.004969788091760908,0.004969671622375228,0.050271192645166156,0.07049589791168864,0.09994873357259317,0.9969625491837921,0.00030976435883678507,0.0002271882538219798,5.126642740683816e-05,0.0009411571388616518,0.0008898907114548136,0.000585935394618359,0.00014262083874343182,1.9614295276487762e-05,0.00016803842960506416,3.517113460397962e-05,3.110473841914601e-05,0.04622908210461214,0.04991671779926465,0.010792098298291525,0.0,0.00011646938567998682
2.0,0.05,0.004941029756319984,0.004940724327656212,0.0505449372206733,0.07029028615432016,0.09989713409358701,0.9940547598252534,0.0006187609573345574,0.000457637307169228,0.00010286590641299479,0.0019147074789394609,0.0018118415725264661,0.001167031518782738,0.00028615186351307485,4.0983100185465606e-05,0.0003524882452136626,6.967948753438311e-05,4.067281066895723e-05,0.09091647566025256,0.09979352193846322,0.01747651749552851,0.0,0.00030542866377151416
3.0,0.04999950751430866,0.004913431442533143,0.004913202892347148,0.05082190707345381,0.07009424293297666,0.09984562742444009,0.9912822900009004,0.00092673275713899,0.0006851205402923388,0.00015437257555991457,0.0028999638915225452,0.0027455913159626305,0.0017455729126887773,0.00042942119613809967,6.535225116952342e-05,0.0005481456757504138,0.00010707963243559057,5.913845670628802e-05,0.1340133099421805,0.1496726339734878,0.015117876371886217,0.0,0.00022855018599563556
4.0,0.049998030076755136,0.004887311774380942,0.004887108842084356,0.051095895169107466,0.06990785965887066,0.09979461989167986,0.9886464324604983,0.0012332158246715433,0.000912633370781856,0.0002053801083201474,0.0038831786798828177,0.0036777985715626704,0.0023238295722038615,0.0005713056118524807,8.866093411752963e-05,0.0007193157393213347,0.0001440509169154557,8.170830323991553e-05,0.17696565145334608,0.19953102099035547,0.014245430726620486,0.0,0.0002029322965869431
5.0,0.04999556774590014,0.004862641535149198,0.004862405031186517,0.051363196234299864,0.06973094744219754,0.09974435391896547,0.9861445158988124,0.001537740619050337,0.0011421740406189044,0.0002556460810345377,0.0048632589095022796,0.004607612828467742,0.002901846217271576,0.0007111306005298137,0.0001114808371433763,0.0008738266545979599,0.0001809493168618313,0.00010530050622438564,0.21992669234102175,0.24936220755290026,0.015378685336561448,0.0,0.00023650396268097012
6.0,0.04999212061934227,0.004839303496985693,0.004839061198373445,0.051622494698699284,0.06956336103419274,0.09969498722125773,0.9837744861881144,0.001839711953028088,0.0013741610713945342,0.0003050127787422686,0.005837533978825185,0.005532521200082916,0.003478798761607898,0.0008484550982778207,0.0001343670637365787,0.0010532633214561985,0.0002181091082613423,0.00012824662101551925,0.26275002004374576,0.2991598144224735,0.015565943988339563,0.0,0.0002422986122481246
7.0,0.04998768883371418,0.00481727439411461,0.004817032657421459,0.05187228085810737,0.06940484606582929,0.09964674839126467,0.9815327460071271,0.002138487505694877,0.0016090095693846438,0.0003532516087353415,0.006805804432383835,0.0064525528236484934,0.004054509960176621,0.0009826430988291765,0.00015730231741716837,0.0012276554366854914,0.00025548436381626183,0.00014941030344637967,0.30541552156924673,0.3489172832925245,0.01554788388014037,0.0,0.0002417366931503288
8.0,0.04998227256467711,0.004796535967530032,0.0047962621698016536,0.05211097392921186,0.06925505158327191,0.09959988415006776,0.9794143321191141,0.002433363217398986,0.0018470079723527837,0.00040011584993224344,0.007770623177574906,0.007370507327642663,0.004628936481428771,0.0011130083147198996,0.00018023482097620814,0.0013954981323678279,0.000293091986056028,0.000168824364298528,0.3478807641302619,0.3986278575358291,0.01654683439147318,0.0,0.00027379772837883966
9.0,0.049975872026913955,0.0047769895407339695,0.004776673721816741,0.0523366985861365,0.06911348437039433,0.09955466636449112,0.9774122693947257,0.002723582583620503,0.002088760409347629,0.0004453336355088889,0.008739750922911103,0.008294417287402213,0.0052019864095098215,0.0012387943506870927,0.00020335072866555374,0.0015600748978865848,0.00033126326299996836,0.00018741493766698603,0.3901328765492899,0.4482847061361896,0.017771294753850603,0.0,0.00031581891722823796
