label,top_fat_thickness,n_points,n_tets,n_active_tets,top_layers,activation/pattern_rms,surface/uniform_y_rms,surface/bumpy_y_rms,transfer/induced_y_rms,transfer/modal_amplitude_abs,transfer/modal_gain,source/interface_modal_amplitude_abs,surface/top_modal_amplitude_abs,transfer/modal_transmission,surface/top_modal_energy_fraction,transfer/modal_correlation,transfer/highpass_rms,transfer/laplacian_rms,branch/direct_minus_continuation_top_y_rms,branch/difference_over_induced_signal
thin,0.04,26411,138240,27648,4,0.1,0.001910343670729282,0.0019570116346192493,0.0005089010502533788,0.00048011543654955934,1.2328619882139817,0.000389431616141472,0.00048011543654955934,1.2328619882139817,0.8900709866737565,0.9434357353173328,0.00044984791168805677,0.6189225174751884,9.459745605145719e-09,1.8588575520596328e-05
medium,0.08,36015,193536,27648,8,0.1,0.0016302024171158066,0.0016502491743137471,0.00035702076402118827,0.00033140012849859195,0.9388520586820497,0.0003529843977376029,0.00033140012849859195,0.9388520586820497,0.8616252050885581,0.9282376878195359,0.0003145950289084977,0.4285068495446182,1.7295486357719318e-08,4.844392287696991e-05
thick,0.12,45619,248832,27648,12,0.1,0.001341963129111319,0.001344122887469351,0.0002215138631853214,0.00020363087483835302,0.6060709537164782,0.00033598520699543725,0.00020363087483835302,0.6060709537164782,0.8450558872925816,0.9192692137195619,0.0001945529696104662,0.26352004002363294,3.3727394119267667e-08,0.00015225861548471523
