step,evaluation_success,objective,gradient_rms,forward_converged,forward_iterations,forward_failure,line_search_failures,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv,min_singular_ainv,top_target_mae,top_target_rms,top_target_max,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_neighbor_jump_rms,activation_rms
0,1,0.0013400335000000002,7.889102619888023e-07,1,1,,0,4.800886920765453e-18,0.9999999999999716,0.9999999999999716,1.0,1.0,0.0335,0.03660646800771689,0.05,0.03660646800771689,0.0,0.0,0.0,0.0,0.0
1,1,0.0012511191416647476,8.021848868695408e-07,1,18,,0,1.8193832816549538e-09,0.9646088877450871,0.9352264997265325,0.9401697261241649,0.9403802609822888,0.03233879077447012,0.035371162571574424,0.04826326964185072,0.03536271066905629,6.747038942441923e-05,0.011254690475056757,0.49859127281660887,0.008492364486982313,0.0284011793298314
2,1,0.0011588293366052722,8.291679199687065e-07,1,10,,0,2.5199795604918115e-10,0.9128271404091801,0.8712060052727718,0.881376559243495,0.8817665318586113,0.031059712714026452,0.03404158246329439,0.04648881230681013,0.03400719814399667,0.00012416854424174956,0.021146791390742225,0.8797475633427109,0.015106522968677002,0.05643518552740212
3,1,0.0010625872843414179,8.668642426382491e-07,1,23,,0,3.2561819702423817e-10,0.867213788861712,0.8072758244514382,0.8235395953340717,0.8242788375373574,0.029648290619426025,0.03259735087919596,0.044743188219039325,0.032517923142456606,0.00017806705159948314,0.03071683767971446,1.236754688589474,0.020831148345275313,0.0842075810061868
4,1,0.0009619200611590463,9.126713608784452e-07,1,17,,0,6.469251138904357e-10,0.8292533348317455,0.7418498944727389,0.7663370262076243,0.767739034925064,0.028085566864023897,0.031014836145932582,0.042962060951626004,0.030868217317482138,0.00023361183921425077,0.04062444150474299,1.624577066975736,0.02589179755474863,0.11168809483813237
5,1,0.000856577155905205,9.652740313412599e-07,1,16,,0,2.77415477320278e-10,0.7962235359287112,0.6747367932439887,0.7092609126633536,0.7113034609615911,0.02634987213703005,0.02926733940598641,0.04114900034209449,0.029025693704703835,0.00029750055842463923,0.051701253661260015,2.1157220848955,0.030580576986670677,0.13883925128355937
6,1,0.0007468653930153488,1.036479151556675e-06,1,29,,0,1.7810911016333908e-09,0.7622320899416761,0.6053125095764731,0.6526664457603434,0.6554057671444545,0.02441874727093765,0.027328838120479048,0.03939596315401661,0.026951354701349114,0.00038593211873277146,0.06597080230133118,2.8499239164374512,0.03524576155557287,0.16563498798728934
7,1,0.0006355804327702497,1.2413351535887855e-06,1,41,,0,2.3538952143973412e-09,0.7114570521768754,0.568590354203141,0.5966083151889232,0.5992166311288336,0.02228012278038279,0.025210720592046744,0.03782786631984026,0.024636234501928412,0.0005262845341566835,0.0872426396303686,3.8266579238477854,0.04040777737032192,0.19194677883864225
8,1,0.0005697370775476532,1.7122470379601577e-06,1,39,,0,2.0073688040330073e-10,0.5233015115054142,0.5020643971556351,0.5412698907492818,0.5440420927340028,0.021441233106322094,0.02386916583267319,0.03474764512506214,0.023195398750825814,0.0010283762305538062,0.1522716935939545,6.963025169800077,0.04597776429028603,0.21674961207583274
9,1,0.00045362010769310336,3.7358028832527574e-06,1,30,,0,3.341020680231369e-10,0.4311113154407287,0.4311113154407287,0.4867653037546299,0.4910947658512869,0.018345820995633352,0.021298359272326668,0.03148558109368939,0.020347087184264298,0.0010682305369885076,0.15389929231608498,7.226460733894782,0.05270913883435237,0.2381982881971582
