step,objective,mae,rmse,linf,grad_norm,learning_rate,worst_point_index,worst_point_ties,bump_highpass_rms,bump_laplacian_rms,bump_peak_to_valley,control_0,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8
0,0.02457338355764635,0.020129600341337307,0.02457338355764635,0.04,0.012807817721880539,0.06,80,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02263719427527665,0.01800657884155789,0.02263719427527665,0.03746502588645904,0.012753261253737574,0.059999410786555685,74,2,0.0005032291774083331,0.40673112828023805,0.001720593574140371,0.059998977162527826,0.05999972774991376,0.059999860116375765,0.05999990032004676,0.05999990993442577,0.05999990032004676,0.059999860116375765,0.05999972774991376,0.05999897716252785
2,0.020783029967817855,0.016399459154826098,0.020783029967817855,0.03557502530528338,0.012684825745484303,0.05999764316948391,73,2,0.0009772834779457759,0.8021685253095306,0.00326851036283714,0.11303580928344156,0.11967274905666812,0.11996308141280584,0.1200133572733083,0.12002371293294382,0.12001335727330828,0.11996308141280587,0.11967274905666812,0.11303580928344159
3,0.018998115955206892,0.01481856055903662,0.018998115955206892,0.03373666826037077,0.012602348192761818,0.05999469721856714,73,2,0.0013673823881459415,1.1628776139724801,0.004219918068902242,0.1418075367744812,0.17858096434646056,0.1798431316595106,0.18004407642224243,0.18008440140200696,0.18004407642224243,0.17984313165951063,0.17858096434646056,0.1418075367744812
4,0.01725469165426294,0.013111703759933502,0.01725469165426294,0.03192235628674465,0.01250153228782946,0.0599905730501065,72,2,0.0017113863069274434,1.4925303111998127,0.0056957933976605705,0.14090440224900774,0.23601368970446684,0.23957062942151824,0.24009213057030693,0.24019378374392986,0.24009213057030693,0.2395706294215183,0.23601368970446684,0.14090440224900772
5,0.015565153619631447,0.011590302926275704,0.015565153619631447,0.03014512403738808,0.01237030713979235,0.05998527082691709,88,2,0.0020919236799004865,1.814354043091255,0.00742109912512948,0.12186833780695125,0.2908318684829778,0.2990476495875216,0.300156077404652,0.3003651548401116,0.300156077404652,0.29904764958752167,0.2908318684829778,0.12186833780695122
6,0.013959284731386553,0.010268598111656927,0.013959284731386553,0.02836660866294569,0.012193239281478165,0.05997879075832159,88,2,0.002522366142205752,2.1359318101342093,0.00912215687375216,0.09346874583661703,0.34117480078917767,0.35812914119444694,0.3602289423394362,0.3606106586376483,0.3602289423394362,0.358129141194447,0.34117480078917767,0.09346874583661702
7,0.012463739114213557,0.009066799049487257,0.012463739114213557,0.026587021769524384,0.011952785899061298,0.05997113310014203,88,2,0.0029717979454048932,2.4540116459003043,0.010670554091769726,0.06208797771545232,0.3841940612804946,0.4165904689734912,0.42028986297506066,0.42093534845590236,0.42028986297506066,0.4165904689734913,0.3841940612804946,0.06208797771545233
8,0.011087635674662965,0.008032128335211565,0.011087635674662965,0.024807159927429157,0.011629978871348588,0.059962298154689626,88,2,0.0033892282482968893,2.7604357216462763,0.011922746276765352,0.03525212188877046,0.4163051482530594,0.4740784373988175,0.48029258122302665,0.48132948681820953,0.48029258122302665,0.47407843739881755,0.4163051482530595,0.03525212188877051
9,0.009813310275756744,0.007119145724471088,0.009813310275756744,0.023028708957341628,0.011200190646678407,0.05995228627075291,88,2,0.0037255977848184587,3.046725679367295,0.012742333505796106,0.021541904183489967,0.4345209851582336,0.5300424034988401,0.5401521478251423,0.5417609275153877,0.5401521478251423,0.5300424034988402,0.43452098515823373,0.02154190418349006
