x,ux,uy,target_uy,smooth_uy,highpass_uy
0.01,-0.003484236805976048,0.0059394070969718505,0.1,0.011705761835342299,-0.0057663547383704486
0.02,-0.00776483761554709,0.010944613304414447,0.1,0.01705982018105739,-0.006115206876642944
0.03,-0.012827956106594594,0.018986581464697908,0.1,0.02499118391237041,-0.006004602447672501
0.04,-0.018451834177749014,0.030211321794649262,0.1,0.03543653510882662,-0.005225213314177357
0.05,-0.02429990417380028,0.04419679499887253,0.1,0.04773411538801667,-0.003537320389144137
0.06,-0.030488911052679448,0.06177731170377183,0.1,0.06058685383525906,0.0011904578685127676
0.07,-0.03679142236302168,0.0828016846478306,0.1,0.0722740914015145,0.010527593246316094
0.08,-0.020544245506944673,0.08900214405551787,0.1,0.08114465338203772,0.007857490673480155
0.09,-0.008057280127297709,0.09744755718992561,0.1,0.08619070369056042,0.011256853499365185
0.1,0.0040283416280747,0.09638783187599417,0.1,0.08744282775786857,0.008945004118125599
0.11,0.0066528527920965775,0.0873534020694167,0.1,0.08603274085322153,0.0013206612161951736
0.12,0.009492690983173124,0.07899520256748624,0.1,0.08385118733932245,-0.004855984771836214
0.13,0.01158388843284987,0.07449115619991725,0.1,0.08285780802492668,-0.008366651825009425
0.14,0.011792232598593903,0.07581438369496893,0.1,0.08433601024046167,-0.008521626545492739
0.15,0.009286735732693459,0.08397620531871225,0.1,0.08842806652980459,-0.0044518612110923395
0.16,0.006152380965807051,0.09257819432135236,0.1,0.09409177737805,-0.0015135830566976316
0.17,0.0035363835704556516,0.10457486627467871,0.1,0.09945124763984031,0.0051236186348384005
0.18,0.0015895095140775399,0.11892510045524399,0.1,0.10246101768607004,0.01646408276917395
0.19,0.01679148950198017,0.1069821519399704,0.1,0.101664787169085,0.005317364770885402
0.2,0.02596383786214327,0.10959550393339247,0.1,0.09667784743483032,0.01291765649856215
0.21,0.035509745810935966,0.09122634141905749,0.1,0.08816337306221327,0.00306296835684422
0.22,0.044184084873490445,0.07657943679004557,0.1,0.07739125526014541,-0.0008118184700998399
0.23,0.05292717542677768,0.06442072375042404,0.1,0.0656718290874227,-0.0012511053369986536
0.24,0.06110225681937179,0.05398604835244157,0.1,0.053991436083836906,-5.387731395335715e-06
0.25,0.04965918688176555,0.04030199726090394,0.1,0.042993445973279275,-0.0026914487123753314
