cycles_per_unit_length,wavenumber,power
1.0101010101010102,6.346651825433926,0.00028363824118464865
2.0202020202020203,12.693303650867852,0.00017563098084538513
3.0303030303030303,19.039955476301778,7.020911674072537e-05
4.040404040404041,25.386607301735705,1.1858967041791251e-05
5.050505050505051,31.73325912716963,2.03645948947642e-07
6.0606060606060606,38.079910952603555,5.0128429187858625e-06
7.070707070707071,44.42656277803748,8.18840042746512e-06
8.080808080808081,50.77321460347141,7.147654442612595e-06
9.090909090909092,57.11986642890533,4.594310998575925e-06
10.101010101010102,63.46651825433926,2.4626796514215367e-06
11.111111111111112,69.81317007977319,1.1775455277429053e-06
12.121212121212121,76.15982190520711,5.235968955600187e-07
13.131313131313131,82.50647373064103,2.1737777925225673e-07
14.141414141414142,88.85312555607496,7.520954380098418e-08
15.151515151515152,95.19977738150888,1.4152385005780557e-08
16.161616161616163,101.54642920694282,3.3368642032140166e-09
17.171717171717173,107.89308103237674,1.6424585648348376e-08
18.181818181818183,114.23973285781067,2.32017888657529e-08
19.191919191919194,120.5863846832446,1.3417305770359604e-08
20.202020202020204,126.93303650867853,2.006898295118582e-09
21.212121212121215,133.27968833411245,2.0868959649522113e-09
22.222222222222225,139.62634015954637,7.669422707281523e-09
23.232323232323235,145.9729919849803,7.757558369903074e-09
24.242424242424242,152.31964381041422,3.6081364865385297e-09
25.252525252525253,158.66629563584814,3.809440852773106e-09
26.262626262626263,165.01294746128207,1.0246278296335787e-08
27.272727272727273,171.359599286716,1.7466601914438958e-08
28.282828282828284,177.7062511121499,2.1926283544836177e-08
29.292929292929294,184.05290293758384,2.3921806235304722e-08
30.303030303030305,190.39955476301776,2.2150275125598365e-08
31.313131313131315,196.7462065884517,1.4496097045386564e-08
32.323232323232325,203.09285841388564,5.6002369399246985e-09
33.333333333333336,209.43951023931956,6.579923113120533e-09
34.343434343434346,215.78616206475348,2.275969626675833e-08
35.35353535353536,222.1328138901874,4.519149047041312e-08
36.36363636363637,228.47946571562133,5.820139126387369e-08
37.37373737373738,234.82611754105525,5.386012028549982e-08
38.38383838383839,241.1727693664892,3.7350266139308914e-08
39.3939393939394,247.51942119192313,2.0372294521859106e-08
40.40404040404041,253.86607301735705,1.137701205637259e-08
41.41414141414142,260.212724842791,1.097204427419213e-08
42.42424242424243,266.5593766682249,1.4863782063022347e-08
43.43434343434344,272.9060284936588,2.0391281809602903e-08
44.44444444444445,279.25268031909275,2.888599560617372e-08
45.45454545454546,285.59933214452667,4.042066628861497e-08
46.46464646464647,291.9459839699606,4.832518792387627e-08
47.47474747474748,298.2926357953945,4.364264986558445e-08
48.484848484848484,304.63928762082844,2.6806671188777354e-08
49.494949494949495,310.98593944626236,1.1243344335268228e-08
