case_id,display_name,step,target/error_rms_m,target/error_rms_mm,target/error_rms_fraction_of_target,bumpiness/contraction_target_relative_dihedral_rms_deg,bumpiness/residual_normal_laplacian_rms_m,area/deformed_to_target_ratio_rms_error,area/deformed_to_target_log_ratio_rms,area/deformed_to_target_ratio_mean,activation/rms,activation/max_abs,activation/I_plus_Ainv_min_eigenvalue,activation/I_plus_Ainv_min_determinant,activation/I_plus_Ainv_max_condition_number,quality/I_plus_Ainv_non_spd_active_tets,quality/I_plus_Ainv_nonpositive_det_active_tets,quality/inverted_tets,quality/detF_min,quality/detF_q001,quality/skin_folded_triangles,quality/skin_signed_ratio_q001,fixed/displacement_exact_zero,fixed/displacement_max_abs_m
H0P0,"homogeneous E, no prestrain",0,0.005310139062299789,5.310139062299788,1.0,3.013746997614455,0.00024283826596097218,0.13466345539047533,0.12134309545478644,1.0191268671117752,0.0,0.0,1.0,1.0,1.0,0,0,0,1.0,1.0,0,0.9999999999999996,True,0.0
H0P0,"homogeneous E, no prestrain",1,0.005139928199783005,5.139928199783005,0.9679460630842562,3.0086212504481833,0.00023133671866910834,0.13450933625848466,0.12132617938409508,1.0189824083135572,0.0031449984237826487,0.08545155499370954,0.9215329571115459,0.8105553836993942,1.085831141075236,0,0,0,0.7427828480536082,0.9610163865839243,0,0.9818698183421125,True,0.0
H0P0,"homogeneous E, no prestrain",2,0.004977308937991066,4.977308937991066,0.9373217687137978,3.075120522980203,0.00022131278320231129,0.13440517656144088,0.12133096235477696,1.0189524073407685,0.006202449799588831,0.17305001945448398,0.8457993794523067,0.6661055500559488,1.1699368285664744,0,0,0,0.34405504663584474,0.9213639077188223,0,0.9289881611819246,True,0.0
H0P0,"homogeneous E, no prestrain",3,0.004824972501326972,4.824972501326972,0.9086339255374051,3.2584862187304973,0.0002142419415173142,0.13435128433254173,0.12133538982491719,1.0190728080929132,0.009161400481473684,0.2592333870751719,0.7662362269840824,0.5582647448313189,1.2699337540730549,0,0,1,-0.15598875175036583,0.8807113698580294,0,0.824070710852203,True,0.0
H0P0,"homogeneous E, no prestrain",4,0.004691988210054421,4.69198821005442,0.883590458744474,3.6213442982451562,0.0002096409618996882,0.13431803669663425,0.12127909117026471,1.0193803924239535,0.011991462712649049,0.3383677400747543,0.6927071237171134,0.45521306990483684,1.4092746670384428,0,0,4,-0.4898057150537723,0.8414483816230499,0,0.6816154229113353,True,0.0
H0P0,"homogeneous E, no prestrain",5,0.00457933859305806,4.5793385930580595,0.8623763971775865,3.981042661356445,0.0002079578736469255,0.13432053067387317,0.12121242506083825,1.019793147712331,0.014642535764913332,0.4238606088361904,0.6330069334633187,0.37421564466336144,1.5765695830364364,0,0,6,-1.0856528570118629,0.8035157973405763,3,0.580244722904255,True,0.0
H0P0,"homogeneous E, no prestrain",6,0.0044772594522021515,4.477259452202152,0.8431529569515789,4.404073317147948,0.00020735681178745799,0.1343814225404375,0.1211824878565519,1.0202391304678777,0.017106143568476694,0.5070906932834519,0.5503696086800943,0.3114808683693283,1.7630208405212975,0,0,6,-1.485174451787616,0.7703237055135159,3,0.4973705676668229,True,0.0
H0P0,"homogeneous E, no prestrain",7,0.004381888239809114,4.381888239809114,0.8251927470071462,4.847251667198754,0.00020686048152091443,0.13452722098736178,0.12116800638936032,1.0207635939189885,0.019403422657183634,0.6058910130952704,0.4667708559750548,0.24908440808552787,1.9609765633707545,0,0,8,-1.637652383067022,0.7419153517670425,3,0.40710067102876135,True,0.0
H0P0,"homogeneous E, no prestrain",8,0.004287935950052692,4.287935950052693,0.8074997471338563,5.322642103409303,0.00020682920730898536,0.13471688231928586,0.12120163965465436,1.021320570554166,0.021565735012092795,0.7035595905349206,0.39438363229439505,0.1891578524322937,2.1617216416855114,0,0,10,-0.9111614987112631,0.715626581414905,6,0.32307682165389484,True,0.0
H0P0,"homogeneous E, no prestrain",9,0.00419747016117932,4.197470161179321,0.7904633215691005,5.776742033300491,0.00020732245113212598,0.13489914736540343,0.121220448435623,1.021872874467759,0.02362066531052329,0.7989341164575613,0.33261281315355257,0.14495858821335125,2.517763709793424,0,0,12,-1.0391078522762491,0.6907036852108641,7,0.27537576554394755,True,0.0
