step,objective,mae,rmse,linf,grad_norm,learning_rate,worst_point_index,worst_point_ties,control_0,control_1,control_2
0,0.02660714019288468,0.02660714019288468,0.031720111042745316,0.08046000830605209,0.030487167906397255,0.08,50,1,0.05,0.05,0.05
1,0.022383940315416014,0.022383940315416014,0.027910631159460773,0.0750977236677108,0.030487167906397255,0.07999945511683522,50,1,0.12999995374957618,0.12999995603376377,0.12999995374957618
2,0.018160769202328817,0.018160769202328817,0.024311359577158905,0.06973547555210236,0.030487167906397255,0.07999782048227912,50,1,0.20999936261630203,0.20999936718466164,0.20999936261630203
3,0.014511012238110162,0.014511012238110162,0.021030525941078657,0.064373337003691,0.021753810982546026,0.07999509614114603,50,1,0.2899971368494173,0.2899971437019023,0.2899971368494173
4,0.0120263511505104,0.0120263511505104,0.018307627873530304,0.05918944733606735,0.015348075308141612,0.07999128216812512,50,1,0.36931789263008374,0.3670427914800265,0.36803125538727566
5,0.010435592798881914,0.010435592798881914,0.016378847361832677,0.05432883855471202,0.00976543718922604,0.07998637866777841,50,1,0.4468386419840148,0.4387473144390984,0.44295723923855934
6,0.009732156007548795,0.009732156007548795,0.015399963011141044,0.04990906778187631,0.005320154042546424,0.07998038577453784,50,1,0.5212987426580944,0.5033085958336257,0.5129695868542702
7,0.01012809170915378,0.01012809170915378,0.015296563069661293,0.0460369729942741,0.015297624583474825,0.07997330365270158,50,1,0.5911896359609796,0.5596623193450013,0.5715458976079877
8,0.010975880502872347,0.010975880502872347,0.015632160785455068,0.04288654568155306,0.018542508012110902,0.07996513249642961,50,1,0.6517153541714552,0.606953569677867,0.6023705885015845
9,0.011890206496449882,0.011890206496449882,0.0160030005434195,0.04042376634995971,0.0223409496757249,0.0799558725297383,50,1,0.6925820113213422,0.6461174343657793,0.6128427235626339
10,0.012231915129861876,0.012231915129861876,0.01616608353734068,0.03870371719166009,0.0223409496757249,0.0799455240064943,50,1,0.7116561920479618,0.6758880490542265,0.60751334833232
11,0.012088106461383065,0.012088106461383065,0.0160781552834538,0.037606260709702,0.0223409496757249,0.07993408721040762,50,1,0.7139757944851504,0.69751598401727,0.5898835721327997
12,0.011556835314951453,0.011556835314951453,0.015771809307687158,0.03703937603884687,0.0223409496757249,0.0799215624550238,50,1,0.7030786996257574,0.7120133994821478,0.56245978634992
13,0.010900855203912214,0.010900855203912214,0.015313696197819247,0.03693044666706784,0.017334582839708915,0.07990795008371532,50,1,0.6815465985637468,0.7202153394578148,0.5270979073042111
14,0.01032297900124721,0.01032297900124721,0.014819094996849483,0.03718033340374503,0.01240011620525991,0.07989325046967222,50,1,0.6513212838565624,0.7229849833787909,0.4904463927598063
15,0.01003130064365544,0.01003130064365544,0.01438176447520674,0.037703059554119574,0.005774817617510815,0.07987746401589185,50,1,0.6161277144501626,0.7211539815255638,0.45547033008062093
16,0.009965662080707975,0.009965662080707975,0.01407215807573165,0.03840050025578889,0.003933986407908314,0.07986059115516782,50,1,0.5809871526579258,0.7157065819557865,0.4244628970264434
17,0.010028403920463298,0.010028403920463298,0.013899939847217662,0.03921801183752059,0.005000185806852207,0.07984263235007812,50,1,0.5481255242019862,0.7073407288841043,0.39790118334959057
18,0.01015164262464583,0.01015164262464583,0.013849093991943425,0.04009268844700057,0.005695969876592114,0.07982358809297245,50,1,0.5189599327919645,0.6968984183839623,0.37712752117707643
19,0.010305051756832308,0.010305051756832308,0.013888318298793374,0.04099309181726247,0.007234497479386054,0.07980345890595877,50,1,0.49486080197579774,0.6848609468372417,0.36159734665559135
20,0.01044315095005651,0.01044315095005651,0.013967661794698927,0.04176229473063069,0.007956574804340337,0.07978224534088889,50,1,0.4765124002726005,0.6739331119976165,0.3519837137321683
21,0.010538216074853541,0.010538216074853541,0.014052077608683709,0.04239452955898758,0.007956574804340337,0.07975994797934342,50,1,0.4642387076083058,0.6642448508884665,0.34773337079122657
22,0.010574632705909977,0.010574632705909977,0.014121636200987685,0.042902331029028906,0.007956574804340337,0.07973656743261578,50,1,0.4574783725270458,0.6556835008083055,0.3483538008975799
23,0.010557714204201683,0.010557714204201683,0.014168107933394463,0.04329690765700748,0.007956574804340337,0.0797121043416955,50,1,0.45573027311429976,0.648148149425586,0.35340531152443433
24,0.0104922187913039,0.0104922187913039,0.01419169746275701,0.04358831368616409,0.007956574804340337,0.07968655937725054,50,1,0.45854566287082477,0.6415481211036502,0.36249414293366206
25,0.010382419062654531,0.010382419062654531,0.01419866366915608,0.0437855924769871,0.007956574804340337,0.079659933239609,50,1,0.46552161403138714,0.6358017159955418,0.37526671411367235
