step,objective,mae,rmse,linf,grad_norm,learning_rate,worst_point_index,worst_point_ties,bump_highpass_rms,bump_laplacian_rms,bump_peak_to_valley,control_0,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8,control_9,control_10,control_11,control_12,control_13,control_14,control_15,control_16,control_17,control_18,control_19,control_20,control_21,control_22,control_23,control_24
0,0.009257309147691838,0.009257309147691838,0.013489176650069538,0.035,0.0036754170561818975,0.06,840,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.008359781062004622,0.008359781062004622,0.01271114513005386,0.032620832560874335,0.0030731744417309705,0.059999410786555685,880,4,0.0005630210883118233,0.13957415305074167,0.0023903166649788185,0.059999152046836784,0.059999183137798714,0.05999916817127314,0.05999918313779873,0.059999152046836784,0.05999918313779873,0.05999921312266097,0.05999919870635109,0.05999921312266097,0.059999183137798735,0.05999916817127313,0.05999919870635109,0.05999918402479698,0.059999198706351085,0.05999916817127313,0.059999183137798735,0.05999921312266097,0.059999198706351085,0.05999921312266097,0.05999918313779873,0.059999152046836784,0.059999183137798714,0.05999916817127314,0.05999918313779872,0.05999915204683678
2,0.007779478474972698,0.007779478474972698,0.011997780327226164,0.031173435357158785,0.002531221065312395,0.05999764316948391,756,4,0.00104539070054314,0.26376926181874155,0.004500774415356975,0.07154983088524539,0.11803554999684843,0.1198436842162405,0.11803554999684845,0.07154983088524537,0.11803554999684845,0.11999770779171849,0.11999780584665207,0.11999770779171848,0.11803554999684845,0.1198436842162405,0.11999780584665207,0.11999777884416069,0.11999780584665207,0.11984368421624052,0.11803554999684845,0.11999770779171848,0.11999780584665207,0.11999770779171849,0.11803554999684844,0.07154983088524544,0.11803554999684844,0.11984368421624053,0.11803554999684845,0.07154983088524547
3,0.007362977226365042,0.007362977226365042,0.011348461426957826,0.030103657523674082,0.002543829242808868,0.05999469721856714,756,4,0.0014798249122338334,0.37424738968902826,0.006579371322360132,0.0594338689032826,0.16226318745079613,0.17489720063222924,0.16226318745079615,0.05943386890328259,0.16226318745079615,0.17999110540749325,0.17999435728949487,0.17999110540749325,0.16226318745079618,0.17489720063222924,0.17999435728949487,0.17999460607019302,0.17999435728949487,0.17489720063222927,0.16226318745079615,0.17999110540749322,0.17999435728949487,0.17999110540749325,0.16226318745079615,0.05943386890328271,0.16226318745079618,0.1748972006322293,0.16226318745079618,0.05943386890328278
4,0.006975056527546494,0.006975056527546494,0.010749863933012463,0.02935033986934025,0.002511547425649882,0.0599905730501065,755,8,0.0018580534932682894,0.46972054321851164,0.008471406977203035,0.03459176004659835,0.1886806920429019,0.2201249780155862,0.18868069204290192,0.034591760046598335,0.1886806920429019,0.23996862838858876,0.23998640345822841,0.2399686283885888,0.188680692042902,0.22012497801558617,0.23998640345822841,0.239988487382733,0.23998640345822841,0.22012497801558625,0.18868069204290194,0.23996862838858873,0.23998640345822841,0.23996862838858876,0.18868069204290197,0.034591760046598495,0.188680692042902,0.22012497801558628,0.188680692042902,0.03459176004659861
5,0.006618520504790563,0.006618520504790563,0.010189250440070399,0.028767942718657416,0.0027213600974548176,0.05998527082691709,720,4,0.002201493255944548,0.5548225577960674,0.010767280320061759,0.0033090064080282602,0.20173607198371415,0.2534360776732374,0.2017360719837142,0.0033090064080282533,0.20173607198371415,0.29993447075968954,0.2999706947163745,0.2999344707596896,0.20173607198371432,0.25343607767323734,0.2999706947163745,0.2999782445737447,0.2999706947163745,0.2534360776732375,0.20173607198371424,0.2999344707596895,0.2999706947163745,0.2999344707596895,0.20173607198371432,0.0033090064080284545,0.20173607198371435,0.2534360776732375,0.20173607198371435,0.003309006408028614
6,0.006245871104382878,0.006245871104382878,0.00965246863771593,0.028261614940046573,0.0027301378177057157,0.05997879075832159,720,4,0.0024887755586651314,0.6312626890551235,0.013094912285329385,0.0,0.20331067395766897,0.2740918587289463,0.20331067395766902,0.0,0.20331067395766894,0.3598874985138005,0.35994338920846586,0.35988749851380053,0.2033106739576692,0.2740918587289462,0.3599433892084659,0.35996269959516713,0.3599433892084659,0.2740918587289464,0.20331067395766908,0.3598874985138004,0.3599433892084659,0.3598874985138004,0.20331067395766922,0.0,0.20331067395766925,0.2740918587289465,0.20331067395766922,0.0
7,0.005838067471183888,0.005838067471183888,0.009137859315336882,0.02775535570027248,0.002491090681024725,0.05997113310014203,720,4,0.0027593920396882963,0.7024649887831438,0.015456419708784738,0.005390581644273814,0.1960815195166004,0.2847925573109389,0.1960815195166005,0.005390581644273842,0.19608151951660036,0.4198291084339226,0.4199053718442036,0.4198291084339227,0.1960815195166007,0.2847925573109388,0.41990537184420373,0.4199406746236444,0.41990537184420373,0.28479255731093905,0.19608151951660058,0.41982910843392257,0.41990537184420373,0.41982910843392257,0.19608151951660077,0.005390581644273864,0.1960815195166008,0.2847925573109391,0.19608151951660074,0.0053905816442738974
8,0.005473865504974696,0.005473865504974696,0.008652081940416235,0.02724942705659387,0.002045990480027188,0.059962298154689626,720,4,0.0030331022105014654,0.7714197090421672,0.017816964590651588,0.020128824035886544,0.18248010710835094,0.28760615779552895,0.18248010710835105,0.0201288240358866,0.18248010710835086,0.4790814734701765,0.4798559920867863,0.47908147347017654,0.18248010710835127,0.28760615779552884,0.4798559920867864,0.4799109903142792,0.4798559920867864,0.28760615779552917,0.18248010710835116,0.47908147347017643,0.4798559920867864,0.47908147347017643,0.1824801071083514,0.020128824035886637,0.1824801071083514,0.2876061577955292,0.18248010710835139,0.020128824035886703
9,0.005144774005541569,0.005144774005541569,0.008206335547686768,0.026744384028805197,0.0020413105835784375,0.05995228627075291,960,4,0.0033246843981036113,0.839080710228565,0.020129638313859784,0.029747950680486822,0.1643413031711507,0.28387929728029493,0.16434130317115084,0.02974795068048691,0.1643413031711506,0.5362132390921701,0.5397908556144424,0.5362132390921702,0.1643413031711511,0.2838792972802948,0.5397908556144425,0.5398724566927229,0.5397908556144425,0.2838792972802952,0.16434130317115098,0.5362132390921701,0.5397908556144425,0.5362132390921701,0.16434130317115128,0.02974795068048697,0.16434130317115125,0.28387929728029526,0.16434130317115125,0.02974795068048707
