cycles_per_unit_length,wavenumber,power
1.0101010101010102,6.346651825433926,0.00012158989949483104
2.0202020202020203,12.693303650867852,8.164238466990737e-05
3.0303030303030303,19.039955476301778,4.360253245468452e-05
4.040404040404041,25.386607301735705,1.4067034049588416e-05
5.050505050505051,31.73325912716963,1.2778226454516062e-06
6.0606060606060606,38.079910952603555,9.870963274599287e-07
7.070707070707071,44.42656277803748,4.136441933624235e-06
8.080808080808081,50.77321460347141,5.482647595277676e-06
9.090909090909092,57.11986642890533,4.611981594644464e-06
10.101010101010102,63.46651825433926,2.9733936136899115e-06
11.111111111111112,69.81317007977319,1.6178736657716213e-06
12.121212121212121,76.15982190520711,7.956892375575208e-07
13.131313131313131,82.50647373064103,3.734229283875883e-07
14.141414141414142,88.85312555607496,1.8380410770574906e-07
15.151515151515152,95.19977738150888,1.2823996974482737e-07
16.161616161616163,101.54642920694282,1.4264448255888826e-07
17.171717171717173,107.89308103237674,1.6234751513169169e-07
18.181818181818183,114.23973285781067,1.465156237929813e-07
19.191919191919194,120.5863846832446,1.0781209365752348e-07
20.202020202020204,126.93303650867853,8.390559135375413e-08
21.212121212121215,133.27968833411245,8.611407017350066e-08
22.222222222222225,139.62634015954637,9.380535637685631e-08
23.232323232323235,145.9729919849803,8.829423552978089e-08
24.242424242424242,152.31964381041422,7.153626075710326e-08
25.252525252525253,158.66629563584814,5.377533727813931e-08
26.262626262626263,165.01294746128207,3.8750753443232514e-08
27.272727272727273,171.359599286716,2.5573635748563833e-08
28.282828282828284,177.7062511121499,1.735108429441059e-08
29.292929292929294,184.05290293758384,2.1422891003119895e-08
30.303030303030305,190.39955476301776,4.0672247053163445e-08
31.313131313131315,196.7462065884517,6.680166693834678e-08
32.323232323232325,203.09285841388564,8.428298085730331e-08
33.333333333333336,209.43951023931956,8.227851470796298e-08
34.343434343434346,215.78616206475348,6.339683851258897e-08
35.35353535353536,222.1328138901874,4.153836751259713e-08
36.36363636363637,228.47946571562133,3.1922499337090926e-08
37.37373737373738,234.82611754105525,4.2590362432083414e-08
38.38383838383839,241.1727693664892,7.288734639328451e-08
39.3939393939394,247.51942119192313,1.1650288428802157e-07
40.40404040404041,253.86607301735705,1.6378975897729109e-07
41.41414141414142,260.212724842791,2.0266638105225503e-07
42.42424242424243,266.5593766682249,2.219755031041157e-07
43.43434343434344,272.9060284936588,2.180098291847808e-07
44.44444444444445,279.25268031909275,1.9813024964725127e-07
45.45454545454546,285.59933214452667,1.7610869201139577e-07
46.46464646464647,291.9459839699606,1.6268088798892723e-07
47.47474747474748,298.2926357953945,1.5995981937485977e-07
48.484848484848484,304.63928762082844,1.6332527870924244e-07
49.494949494949495,310.98593944626236,1.6679541396386518e-07
