step,objective_total,objective_data,objective_regularizer,gradient_rms,equilibrium_residual_rms,forward_iterations,forward_converged,numerically_equilibrated,min_det_f,min_det_g,min_det_ainv,min_singular_ainv,orientation_preserving,verified_admissible,top_uy_mean,top_uy_range,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_l2_rms,activation_max_abs,activation_neighbor_jump_rms,activation_physical_h1_squared
0,0.003333333333333335,0.003333333333333335,0.0,2.6534244074812612e-06,2.0171483355801316e-17,1,1,1,0.9999999999999929,0.9999999999999929,1.0,1.0,1,1,0.0,0.0,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0033112003783607475,0.0033112003783607475,0.0,2.9493763475749756e-06,1.2052155193530045e-10,5,1,1,0.9880621318872934,0.9813484572290058,0.9005648994208871,0.9029688035630864,1,1,0.0003397622064479662,0.0015971996653731226,0.09966745273700058,5.884223726196256e-05,0.007829359929897724,0.4334399967727414,0.045626984367817404,0.04986795416990239,0.014478839666516303,0.08937882777769018
2,0.003285754853380683,0.003285754853380683,0.0,3.336531245994136e-06,3.108436331523309e-10,5,1,1,0.9716333810906084,0.960569463214984,0.8020914883010078,0.8087832964584799,1,1,0.000748281505571807,0.003654631186640389,0.09928375778616585,0.00013529086783335375,0.017805770015438708,1.0040699331969776,0.09185815234053878,0.09981063594089178,0.03455559738731897,0.5320160985178561
3,0.003255887611083138,0.003255887611083138,0.0,3.849779675853542e-06,3.830307331191157e-11,6,1,1,0.9515341738941561,0.936719646635121,0.7045178356174581,0.714583350595721,1,1,0.0012506276968468496,0.006381392806024963,0.09883148705371893,0.0002430830126751235,0.03137139899862702,1.8058632055521893,0.13882400807751621,0.14987234208977726,0.056694007936097746,1.4547951975364537
4,0.0032202408104540317,0.0032202408104540317,0.0,4.530890229155645e-06,7.159170369781223e-13,7,1,1,0.9278452103445942,0.9089959156014624,0.6076626779202212,0.6193730889224631,1,1,0.0018824107280671824,0.010051177971046507,0.09828897410880884,0.0003965582389073977,0.050172314468748785,2.9234476747494607,0.18628535783267194,0.2000955157104421,0.0800355295751094,2.92285382893368
5,0.003177092574597949,0.003177092574597949,0.0,5.464728932045776e-06,1.2643106919572067e-11,8,1,1,0.9003674848586232,0.8765320880488269,0.5113708817739583,0.5232712149312801,1,1,0.0026978312453187574,0.015363141210528376,0.0976282629354525,0.0006192896248474208,0.07693536413686862,4.491925198938222,0.23413779154637598,0.25052340305525234,0.10417360692777987,4.97542661672803
6,0.0031236577718721094,0.0031236577718721094,0.0,6.854946451942102e-06,8.432530165286391e-10,9,1,1,0.8617943017814392,0.8386915511339327,0.41585660269557456,0.42890550359816265,1,1,0.0037933742618181253,0.02305572305642522,0.09680378771316919,0.0009555319473009425,0.11655342662076282,6.8045184936769685,0.2822760294824366,0.3011844527959794,0.12888735398183998,7.639809068455271
7,0.0030557860440412776,0.0030557860440412776,0.0,9.016045069820278e-06,1.638092076649466e-11,14,1,1,0.7936934149124473,0.7936934149124473,0.31980883797843357,0.33053836831705485,1,1,0.005352667197517707,0.0348398994266014,0.0957463217681172,0.001487356757339094,0.17881344953554448,10.374764983532222,0.3305538247909743,0.3520703608066121,0.15399754047117004,10.933843677684454
8,0.002989754427408014,0.002989754427408014,0.0,1.659199850944026e-05,1.0965724524807327e-11,38,1,1,0.7421976853864827,0.732917628623169,0.2278268973152006,0.238505710727749,1,1,0.007021820309466187,0.06430630165994827,0.09470619452931282,0.002941916015393716,0.34924039940874596,19.82119100166255,0.378274316851516,0.40333531606186174,0.17836196566544757,14.692791167737642
9,0.0028413819453271716,0.0028413819453271716,0.0,6.048278082268018e-05,9.063485592619547e-12,63,1,1,0.5589079101008717,0.5589079101008717,0.1384858984615357,0.14545641648180516,1,1,0.0105690061694724,0.08175020748584093,0.09232630088973301,0.0036127455214753973,0.42133794229982313,24.06933119761139,0.4209045890158771,0.45466714836154287,0.20126945768386328,18.84472278543448
10,0.0027044141423798423,0.0027044141423798423,0.0,3.134110248251829e-05,1.032766698518383e-10,48,1,1,-0.1646599433975696,-0.1646599433975696,0.05677197669383367,0.06094648949143917,0,0,0.015871194703998982,0.09972850849551389,0.09007353899530943,0.00420089902358562,0.49202908222076364,25.220258218693736,0.452080579144654,0.5049834609460975,0.22347440664332882,23.366268309475092
11,0.0027383597572759946,0.0027383597572759946,0.0,0.00031696444437283235,5.70363829005743e-10,69,1,1,-62.81748683068078,-0.15565297610562712,-0.0222651082690728,0.0004780097657344212,0,0,0.017053057058970006,0.09522468542927713,0.09063707448846738,0.003337266329741716,0.46856896218972244,23.967363518469345,0.481322299089045,0.5540878594000374,0.24790916374938377,28.90272742377396
12,0.0032562857696574465,0.0032562857696574465,0.0,0.001121283932533726,3.669991472228341e-05,80,0,0,-23.39013543960073,-0.22931594011940387,-0.10461044986282714,0.0002676313202123377,0,0,0.002366129955999809,0.06339761284302955,0.09883752986073832,0.005435214370202203,0.545008997836503,43.72476172061584,0.49616819253078037,0.6023062662878034,0.2602794894650445,31.799670036407008
13,0.003249127817348708,0.003249127817348708,0.0,0.00023957876728860933,5.079993981509929e-05,80,0,0,-21.12435235337066,-0.8927591926536973,-0.18976239717916701,0.0003204086786788361,0,0,0.0023529468899202593,0.06676345958504085,0.09872883799602893,0.004068598654313779,0.4405186083002062,29.35554270458672,0.5028103100574799,0.6527078136913456,0.2674553166712258,33.41815834907893
14,0.003191291979873077,0.003191291979873077,0.0,0.00015286686250366287,1.0727864541133978e-12,72,1,1,-22.914646733296124,-0.6544195473280796,-0.19417801153271075,0.0067716464092721276,0,0,0.002847766485878573,0.06197730117609918,0.09784618510508844,0.0038858490517122883,0.41374397677883984,27.741641897058756,0.5093724058198102,0.6817477663568365,0.2747690740801125,35.134810069455796
15,0.003317919136323093,0.003317919136323093,0.0,0.0001984362906535713,4.1859084406360056e-07,80,0,0,-18.22368923158977,-0.788688555567507,-0.2302453066765541,0.004395314126992218,0,0,0.0013260565174012808,0.045499690453763925,0.09976851912787561,0.0032448077155834594,0.32908674221224016,26.721783000041516,0.5169849908078086,0.7186795314091882,0.2839552693784592,37.41817017334223
16,0.0032842569384462996,0.0032842569384462996,0.0,0.0003030716515195851,3.08950649183812e-11,68,1,1,-20.74352425828443,-0.6571096035450744,-0.28690729322096586,0.0006520563230704118,0,0,0.00123476182986332,0.03363759466148053,0.09926112439086564,0.003384893771824017,0.32504468674135667,27.05050206542599,0.5246400762467819,0.7514057775336367,0.2926279376395996,39.79744014000323
17,0.0032450613218364234,0.0032450613218364234,0.0,0.00010857906023116373,8.54833083963417e-11,35,1,1,-18.27700583768945,-0.8389362983375073,-0.33839359335077157,0.004663634278781524,0,0,0.0018148072662421868,0.05112755903982685,0.0986670358605612,0.0038917768265965148,0.37848302910878034,29.991343623084298,0.5329244147113259,0.7788915129845382,0.3011613230490821,42.32052220352948
18,0.00326955384668363,0.00326955384668363,0.0,0.00014035966438990648,5.727522766992777e-14,31,1,1,-14.634309878299351,-0.6667793097346219,-0.3830708493903505,0.0019437546363721024,0,0,0.001340335202351797,0.060055339848831116,0.09903868708767745,0.0037529722759416418,0.36657061285973963,27.853331079847607,0.5416482639569499,0.811600722289062,0.31040913305067236,45.12525727178623
19,0.003219760526130352,0.003219760526130352,0.0,0.00011150224773630843,6.675879955523825e-12,22,1,1,-16.30685315963796,-0.6545086035628418,-0.4247601090327939,0.010449321215116334,0,0,0.0020199018429599143,0.05841991773797399,0.09828164415795583,0.0035161913438177092,0.3472210051752581,25.578120303083118,0.549780967861005,0.8451258373377708,0.3194564256752469,47.89411480473513
20,0.003153739536474315,0.003153739536474315,0.0,5.445573650267886e-05,9.075465280155877e-10,46,1,1,-11.586132985087698,-0.2559928808898722,-0.47436395821424304,0.04139308333239863,0,0,0.0031416054429294965,0.05830097161756122,0.09726879566141933,0.003424787461025167,0.33909135379907424,23.640960595736317,0.5589065420090541,0.8764935533056357,0.3289743890844933,50.882226606345824
21,0.0031392271639638417,0.0031392271639638417,0.0,0.00011824279951289188,5.209718028790445e-10,26,1,1,-8.797025334680082,-0.22992128551846117,-0.5253248083961237,0.017171624445855446,0,0,0.0033725426338111508,0.056117029336681126,0.09704473964049533,0.0033253992923204943,0.32630419039083075,22.428689305004674,0.5687506766888791,0.9057000128573578,0.3390099625127751,54.11453984491692
22,0.0031323573908808066,0.0031323573908808066,0.0,7.994286436010236e-05,2.990048603351048e-11,26,1,1,-8.590546326073927,-0.100625272133712,-0.5745878448306524,0.005011449011792035,0,0,0.003455340162661961,0.05465334929106646,0.09693849685569929,0.003305031355929509,0.3203071705253421,23.68900023753257,0.5781548476757292,0.932388321592342,0.34898950370378745,57.36535409968374
23,0.0031141189985156663,0.0031141189985156663,0.0,8.403679606998507e-05,3.453351712286633e-10,6,1,1,-12.559373580547884,-0.01358525254194997,-0.6237238620748933,0.022345412051768043,0,0,0.0037777937671578184,0.04995730822208205,0.09665586891413784,0.0031863384537432187,0.30695667452918873,22.7305394122117,0.587192499626148,0.956819599808406,0.3588259539295836,60.57823039982946
24,0.0030940016760452656,0.0030940016760452656,0.0,5.6607354745853144e-05,5.52008673687345e-10,6,1,1,-8.065606025819848,-0.09482558593054825,-0.672134107978922,0.016225204707845275,0,0,0.004165545649674297,0.05401065583205154,0.09634316285100773,0.003293034963937422,0.32085055819049685,23.94032945255829,0.5958624322406457,0.9791068582663655,0.3680949510331616,63.69482720121624
25,0.0030835583016834388,0.0030835583016834388,0.0,8.367302049648535e-05,3.447914671736095e-13,17,1,1,-5.895782340661667,0.0028357219326825655,-0.7191813070636656,0.005117300698535292,0,0,0.004373097919492539,0.0545076883177445,0.0961804289086419,0.0034143545063802278,0.3369373183527427,24.513313735881194,0.6043534590833137,0.9993685292446837,0.3767046085607513,66.67943304257955
26,0.0030653532882181627,0.0030653532882181627,0.0,7.467073822326568e-05,2.970696676796777e-10,5,1,1,-5.41759429342665,-0.0005757948285884911,-0.7649814177527315,0.00799043414295313,0,0,0.004747871453178367,0.055277528103119485,0.09589608889133326,0.0035165303788503095,0.35087860733023113,25.523597300769342,0.6120945993694888,1.0177047932232977,0.3842681833858065,69.35216443345423
27,0.0030446160500818345,0.0030446160500818345,0.0,7.222544079503924e-05,3.8649013876226326e-10,17,1,1,-5.288715508437743,0.01308060495390689,-0.8097034256710932,0.01923061493099512,0,0,0.005170831585315917,0.05332985786202247,0.095571167986195,0.0034977350995690454,0.3549495890312105,25.60888756828946,0.6192243335857291,1.0342730755639982,0.39084894735110526,71.72996563167014
28,0.0030634851348266354,0.0030634851348266354,0.0,0.0002929822754303206,7.400116890049707e-12,10,1,1,-5.162832787739324,0.02618748160910583,-0.8527861628186444,0.0057804734527266005,0,0,0.004723197779975581,0.03629165048599953,0.09586686291143517,0.0029501678906461715,0.2884923646797819,21.751425446712926,0.6258037441122145,1.0489311850090626,0.3964120192593537,73.79407225102932
29,0.0030063540580993952,0.0030063540580993952,0.0,7.674088590279058e-05,1.1015025191270216e-12,10,1,1,-4.973197507487625,0.012328026482140335,-0.8943436859605272,0.022570610969057197,0,0,0.005945549217448248,0.053457110226809594,0.09496874314372168,0.003514213365301139,0.359226324069741,25.73588323878692,0.631146855097849,1.066125433457782,0.4010429148847999,75.46067737686515
30,0.0030046795793875146,0.0030046795793875146,0.0,6.273471520687777e-05,4.6610862341041146e-11,6,1,1,-4.809113289103861,0.0037579212184676953,-0.9357407561737229,0.010641599319067142,0,0,0.0059258225090562215,0.050093067723047266,0.09494229162055519,0.0033664876859596567,0.34345540993439544,24.586618491276216,0.6362751598197279,1.084920473751248,0.40534766109120324,77.00495051701427
