name,jaw_filtered,score,disp_rms,disp_max,area_total_ratio,area_ratio_q001,area_ratio_q01,area_ratio_q05,area_ratio_median,area_ratio_q95,area_ratio_q99,area_ratio_q999,frac_abs_log_gt_10pct,frac_abs_log_gt_25pct,frac_abs_log_gt_2x,frac_stretch_gt_10pct,frac_shrink_gt_10pct
NeckCompression,False,0.05962468343574891,0.00032519024957712713,0.0035713337681463264,0.999100322219395,0.8082574458775523,0.9329535140523277,0.9986177424104421,0.9999999657365272,1.0000121860204578,1.0337416794935865,1.1737817901763061,0.011906752734205158,0.0002341215425265059,0.0,0.004715876785176762,0.007190875949028396
EyesUp,False,0.08407526997785983,0.0008323830224450682,0.0035132580829912233,0.9974884431564978,0.798496558251666,0.9309393865830661,0.9536363806622545,0.9999944518115115,1.0502659492044153,1.12803744063778,1.5497136100419138,0.02087026321950567,0.006287835713569016,0.0,0.015518913676042677,0.005351349543462992
EyesRight,False,0.12451062520398447,0.0003188960843063831,0.0018424180053937006,1.0007871883018613,0.6462503018287388,0.8985961685427415,0.9671739352545758,0.99999962482381,1.0448185370589544,1.135111188569158,1.3819793531553308,0.026188166828322017,0.007057092210441821,0.0001003378039399311,0.014548981571290009,0.011639185257032008
EyesLeft,False,0.1270112510357575,0.00032084651840632607,0.0019186839051658394,1.0008434906736206,0.6425994653026283,0.9013312565016481,0.9668991268791507,0.9999995927589709,1.0438961141292,1.1311110053892977,1.4989016151068153,0.025452356266095856,0.007993578380547844,6.68918692932874e-05,0.01428141409411686,0.011170942171978997
EyesUpMax,False,0.22574544704103913,0.0007555656464978405,0.006218663802586761,1.0012766423132278,0.575253581747936,0.8961856665606882,0.9585257892861555,1.0000000430071323,1.0546264209253702,1.2768773725791438,2.3551922201017277,0.04190775611224456,0.016321616107562126,0.002341215425265059,0.028897287534700156,0.0130104685775444
EyeClosedLeft,False,0.22667233451576158,0.0006549779771397538,0.007277066034645893,1.0019915271554782,0.4821504801885342,0.8272899365143546,0.9869854013883254,1.0000004638931472,1.0336191240552413,1.1511553230682858,2.4289115318963215,0.033479380581290345,0.015920264891802403,0.0030435800528445765,0.01528479213351617,0.018194588447774173
EyeClosedRight,False,0.27341811693252666,0.0006844732308315664,0.0077116034112785685,1.0024187717054158,0.4830303040027577,0.8137459282772578,0.9878490339410833,1.0000004356941863,1.0345121192407947,1.1809122422830451,2.962781007538263,0.03572025820261547,0.017759791297367804,0.004749322719823405,0.016589183584735274,0.019131074617880196
LipsCornersDown,False,0.3111803583754781,0.002301194080980361,0.008505555025299014,0.9974285923561914,0.7051412461494756,0.849148256372007,0.9147482051402529,0.9994805198496616,1.1202571381330777,1.2568789062759722,1.9268916991453433,0.10572259941804074,0.01555235961068932,0.0009699321047526673,0.0661226127964146,0.03959998662162614
LowerLipFront,False,0.4123712883546875,0.003468445348268129,0.0129619934771311,1.0051804061736602,0.42837001021479854,0.6889359254329042,0.877904143991666,0.999702374283154,1.082030128124989,1.187657693086362,1.9465618468969423,0.09649152145556708,0.032275326934011174,0.0026422288370848523,0.025184788788922708,0.07130673266664438
Puff,False,0.42812297662394394,0.003250073614597395,0.012466913982575508,1.012839643630904,0.5799967025200051,0.7403517492645978,0.8879081378756819,1.000001288756237,1.134778459238861,1.2693371149118045,1.7050386588824558,0.13050603699120372,0.027258436737014616,0.0009030402354593799,0.06909930097996589,0.061406736011237834
