case,cell_volume_rel_change/max,cell_volume_rel_change/min,cell_volume_rel_change/p01,cell_volume_rel_change/p05,cell_volume_rel_change/p50,cell_volume_rel_change/p95,cell_volume_rel_change/p99,deformed_mask_area_all,deformed_mask_area_any,deformed_surface_area,deformed_volume,displacement_max,displacement_mean,displacement_rms,mask_area_all_rel_change,mask_area_any_rel_change,mask_displacement_max,mask_displacement_mean,mask_displacement_rms,mask_error_max,mask_error_mean,mask_error_rms,mask_error_rms_fraction_of_target,mask_target_displacement_max,mask_target_displacement_rms,n_mask_points,n_points,n_tets,rest_mask_area_all,rest_mask_area_any,rest_surface_area,rest_volume,state,surface_area_rel_change,volume_ratio_weighted_mean,volume_ratio_weighted_std,volume_rel_change
3152k-expression001,74.1413779198088,-0.9999999999999946,-0.7035279239605075,-0.10272315410214528,0.0,0.0,3.22822148302089,434.59754329366393,450.76959014247467,1382.5400727221715,777.4621285764215,1.2535219973603913,0.025595070919731355,0.13718588825029593,-0.0036656161630566064,-0.0044742678982020445,1.2517458639978156,0.16500357670025043,0.29726125528214753,,,,,,,17582,225052,1127541,436.1964721321799,452.7955185957775,1373.8430906477215,778.4024852705625,target,0.006330404202382178,0.9987919402726289,0.2876035799823435,-0.0012080597273711469
3152k-expression001,1.4849501725627885,-0.9997674741466196,-0.21734994855008835,-0.09300220777907287,-0.0012306284684567848,0.057131768872697775,0.1710625881457673,439.7412676915622,456.16317052573913,1383.367766563451,772.7217725487562,1.1660740246676267,0.08672420136131015,0.18940888250202112,0.008126603000833343,0.007437467447569901,1.1660740246676267,0.1611294152315422,0.29318184160722316,,,,,,,17582,225052,1127541,436.1964721321799,452.7955185957775,1373.8430906477215,778.4024852705625,inverse,0.006932870267767566,0.9927020881493824,0.06313442023312875,-0.007297911850617567
3152k-expression001,,,,,,,,,,,,,,,,,,,,0.16802884701296472,0.03269684849807445,0.05506470541986396,0.18524010257441362,1.2517458639978156,0.29726125528214753,17582,225052,,,,,,inverse-minus-target,,,,
515k-nosmas,0.18909308166170358,-0.6835025173861629,-0.018469777460321413,-0.0023917600142630835,-1.1174774253719377e-06,0.0026994855503194026,0.014668682009458589,430.37840741566345,459.9727364072998,1383.3738301477615,788.4137850676796,0.7899782937244939,0.015849776982750932,0.04596247746077857,0.00047443028723481717,0.0004745971528645754,0.5994234990558969,0.03498505975492759,0.07100623487960422,,,,,,,6787,58651,253876,430.17431968961205,459.75453821244764,1383.1171663419732,789.3602375680567,target,0.0001855690985796965,0.9988009878692483,0.02284284939093904,-0.0011990121307516866
515k-nosmas,0.19538346900546655,-0.7056874437500597,-0.017262453551112583,-0.0021697055554375233,-1.5307485301541135e-07,0.002358324762942121,0.013444497686088075,430.41357449309317,460.0036959762861,1383.2825411652504,788.3678079856004,0.7077250846973626,0.015499812815100227,0.04315095965474925,0.0005561810469154604,0.0005419364968255458,0.5239769383976943,0.035088677925066925,0.06739142864770821,,,,,,,6787,58651,253876,430.17431968961205,459.75453821244764,1383.1171663419732,789.3602375680567,inverse,0.00011956674915292176,0.9987427418620504,0.02400283984732925,-0.001257258137949635
515k-nosmas,,,,,,,,,,,,,,,,,,,,0.07649831090476618,0.008857655495454116,0.016720828214470684,0.23548394366807304,0.5994234990558969,0.07100623487960422,6787,58651,,,,,,inverse-minus-target,,,,
