activation_inv/max_abs,activation_inv/rms,area_surface_path,best/data_loss,best/error_max,best/error_mean,best/error_rms,best/error_rms_fraction_of_target,best/loss,best/reg_loss,best/step,case,convergence/best_in_last_window,convergence/converged,convergence/final_loss_over_best_loss,convergence/last_window_rel_improvement,convergence/status,elapsed_s,final_step/error_max,final_step/error_rms,final_step/loss,final_step/step,initial/error_max,initial/error_rms,initial/loss,input_path,inverse/surface_area/deformed,inverse/surface_area/rel_change,inverse/surface_area/rest,inverse/target_area/deformed,inverse/target_area/rel_change,inverse/target_area/rest,inverse/top_y/edge_max,inverse/top_y/edge_rms,inverse/top_y/max,inverse/top_y/mean,inverse/top_y/min,inverse/top_y/range,inverse/top_y/std,inverse/volume/abs_rel_change,inverse/volume/deformed,inverse/volume/inverted_fraction,inverse/volume/inverted_tets,inverse/volume/rel_change,inverse/volume/rest,inverse/volume/signed_deformed,inverse/volume/signed_rest,inverse_lr,inverse_max_steps,kind,lr,mode,n_active_tets,n_evaluations,n_points,n_target_points,n_tets,resolution,series_frames,target/displacement_max,target/displacement_rms,target/surface_area/deformed,target/surface_area/rel_change,target/surface_area/rest,target/target_area/deformed,target/target_area/rel_change,target/target_area/rest,target/volume/abs_rel_change,target/volume/deformed,target/volume/inverted_fraction,target/volume/inverted_tets,target/volume/rel_change,target/volume/rest,target/volume/signed_deformed,target/volume/signed_rest,target_path,target_y,x_segments,z_segments
,,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/50-toy-tetwild-area-surfaces/50-toy-tetwild-stretch-lr001-area-change.vtp,,,,,,,,,50-toy-tetwild-stretch-lr001,,,,,,,,,,,,,,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/50-toy-tetwild-lr001-input.vtu,,,,,,,,,,,,,,,,,,,,,,,,target,0.01,stretch,9363,,69952,5857,369071,lr001,,,,2.449464444736636,0.02071740975217451,2.399747884511301,0.9518315236917614,0.0,0.9518315236917614,0.19545641176192263,0.11954826368430455,0.0,0.0,0.19545641176192263,0.1000021937295969,0.11954826368430455,0.1000021937295969,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/50-toy-tetwild-stretch-lr001-target.vtu,0.02,,
,,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/50-toy-tetwild-area-surfaces/50-toy-tetwild-squash-lr001-area-change.vtp,,,,,,,,,50-toy-tetwild-squash-lr001,,,,,,,,,,,,,,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/50-toy-tetwild-lr001-input.vtu,,,,,,,,,,,,,,,,,,,,,,,,target,0.01,squash,9363,,69952,5857,369071,lr001,,,,2.4429403823254914,0.01799876482565832,2.399747884511301,0.9518315236917614,0.0,0.9518315236917614,-0.030895051883696234,0.09691262076583756,0.10686832614862724,39442.0,-0.19545641176192274,0.1000021937295969,0.08045612377488924,0.1000021937295969,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/50-toy-tetwild-squash-lr001-target.vtu,-0.02,,
0.8,0.21483239942371093,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/50-toy-tetwild-area-surfaces/50-toy-tetwild-stretch-lr001-area-change.vtp,9.814563799625677e-05,0.020436168886431728,0.016142073166279747,0.017159164140154677,0.857958207007734,9.860716759467826e-05,4.6152959842148884e-07,72.0,50-toy-tetwild-stretch-lr001,True,False,1.00722894963213,0.020529293377406808,not_converged_best_in_last_window,942.8862249519443,0.020464276150554583,0.017219422513359336,9.93199938425872e-05,80.0,0.02,0.02,0.00013333333333333337,,2.4098264113420504,0.004199827363448927,2.399747884511301,0.9595155568977025,0.00807289211869966,0.9518315236917614,0.014231980440132805,0.0011860665352686332,0.026396097972926254,0.0049189136333226855,-0.00023749021584152792,0.026633588188767782,0.006920029630904752,0.052038800060556945,0.10520618789470848,0.0015417087769020053,569.0,0.04947662864106683,0.1000021937295969,0.10494996513204818,0.1000021937295969,0.04,80,inverse,0.01,stretch,9363,81,69952,5857,369071,lr001,9,0.02,0.02,2.449464444736636,0.02071740975217451,2.399747884511301,0.9518315236917614,0.0,0.9518315236917614,0.19545641176192263,0.11954826368430455,0.0,0.0,0.19545641176192263,0.1000021937295969,0.11954826368430455,0.1000021937295969,,0.02,0,0
0.8,0.22009745750689172,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/50-toy-tetwild-area-surfaces/50-toy-tetwild-squash-lr001-area-change.vtp,0.00011001352971097455,0.020387120785151935,0.017688273432541177,0.01816701926934971,0.9083509634674855,0.00011049795861898454,4.844289080099801e-07,73.0,50-toy-tetwild-squash-lr001,True,False,1.0186719934261608,0.008724622411672269,not_converged_best_in_last_window,934.8896757239709,0.021964210052589635,0.018333219986888857,0.0001125611757759224,80.0,0.02,0.02,0.00013333333333333337,,2.40679393469622,0.0029361626820867404,2.399747884511301,0.9573496973847319,0.005797426913922488,0.9518315236917614,0.010848183456272944,0.0011485239654308748,0.00016677653729970957,-0.0026485520475628866,-0.02255290817484994,0.02271968471214965,0.004414089466668696,-0.02242252689810853,0.09775989185082515,0.002555063930788385,943.0,-0.02431716373140347,0.1000021937295969,0.09757042401117476,0.1000021937295969,0.04,80,inverse,0.01,squash,9363,81,69952,5857,369071,lr001,9,0.02,0.02,2.4429403823254914,0.01799876482565832,2.399747884511301,0.9518315236917614,0.0,0.9518315236917614,-0.030895051883696234,0.09691262076583756,0.10686832614862724,39442.0,-0.19545641176192274,0.1000021937295969,0.08045612377488924,0.1000021937295969,,-0.02,0,0
