case,deformed_mask_area,deformed_surface_area,mask_area_rel_change,mask_triangle_area_rel_change/max,mask_triangle_area_rel_change/min,mask_triangle_area_rel_change/p05,mask_triangle_area_rel_change/p50,mask_triangle_area_rel_change/p95,n_mask_triangles,n_triangles,physical,rest_mask_area,rest_surface_area,state,surface_area_rel_change,surface_path,triangle_area_rel_change/max,triangle_area_rel_change/min,triangle_area_rel_change/p05,triangle_area_rel_change/p50,triangle_area_rel_change/p95
3152k-expression001,434.59754329366393,1382.5400727221715,-0.0036656161630566064,4.321233282762022,-0.9442965263257839,-0.21020455933900273,-0.00294710927244779,0.09478777838329339,34372,126402,False,436.1964721321799,1373.8430906477215,target-raw,0.006330404202382178,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/3152k-expression001-area-change.vtp,58.74353073728827,-0.9442965263257839,-0.1300027032404412,0.0,0.03799179893025791
3152k-expression001,434.59754329366393,1378.0427468593793,-0.0036656161630566064,4.321233282762022,-0.9442965263257839,-0.21020455933900273,-0.00294710927244779,0.09478777838329339,34372,126402,False,436.1964721321799,1373.8430906477215,target-masked-diagnostic,0.003056867440136779,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/3152k-expression001-area-change.vtp,27.796950110100827,-0.9502758698415674,-0.04884827179629339,0.0,0.03248232757301568
3152k-expression001,439.7412676915622,1383.367766563451,0.008126603000833343,1.9923027923220884,-0.5749332413631159,-0.12951080170761065,-0.001436414696747601,0.14610396256471078,34372,126402,True,436.1964721321799,1373.8430906477215,solution,0.006932870267767566,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/3152k-expression001-area-change.vtp,6.130212462743491,-0.6464260195957515,-0.09044280346173164,0.0,0.1144947852277597
515k-nosmas,430.37840741566345,1383.3738301477615,0.00047443028723481717,0.32521437473005044,-0.23328293239032027,-0.011957742507768784,-1.4560298476462563e-05,0.03524387922462469,13079,59068,True,430.17431968961205,1383.1171663419732,target-raw,0.0001855690985796965,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/515k-nosmas-area-change.vtp,0.32521437473005044,-0.23348202258159745,-0.0037531388401008327,0.0,0.018842343514061968
515k-nosmas,430.37840741566345,1383.1992078954174,0.00047443028723481717,0.32521437473005044,-0.23328293239032027,-0.011957742507768784,-1.4560298476462563e-05,0.03524387922462469,13079,59068,False,430.17431968961205,1383.1171663419732,target-masked-diagnostic,5.931641616530037e-05,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/515k-nosmas-area-change.vtp,3.605146729588986,-0.965811548925399,-0.0017213185404609964,0.0,0.006437773561441873
515k-nosmas,430.41357449309317,1383.2825411652504,0.0005561810469154604,0.30183472601229555,-0.22632222677198144,-0.0108559786420782,-9.949992099800298e-06,0.030200257391834136,13079,59068,True,430.17431968961205,1383.1171663419732,solution,0.00011956674915292176,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/515k-nosmas-area-change.vtp,0.30183472601229555,-0.22632222677198144,-0.003441070269432732,0.0,0.013950779392609034
20-toy-squash-coarse,0.5625,2.405562146310566,0.0,0.0,0.0,0.0,0.0,0.0,72,640,True,0.5625,2.4000000000000004,target-raw,0.0023175609627357208,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/20-toy-squash-coarse-area-change.vtp,0.025280449438103814,0.0,0.0,0.0,0.012719112093773077
20-toy-squash-coarse,0.5625,2.405562146310566,0.0,0.0,0.0,0.0,0.0,0.0,72,640,False,0.5625,2.4000000000000004,target-masked-diagnostic,0.0023175609627357208,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/20-toy-squash-coarse-area-change.vtp,0.025280449438103814,0.0,0.0,0.0,0.012719112093773077
20-toy-squash-coarse,0.5635425213863392,2.4009728116666365,0.0018533713534918395,0.06400510365587353,-0.06728391429524527,-0.04253865805585901,0.006297832725122854,0.029239096305512007,72,640,True,0.5625,2.4000000000000004,solution,0.0004053381944317813,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/20-toy-squash-coarse-area-change.vtp,0.06400510365587353,-0.0783181872358023,-0.0029827356933990563,0.0,0.010500946629618143
20-toy-squash-fine,0.8100000000000002,2.414623379187246,0.0,0.0,0.0,0.0,0.0,0.0,648,3200,True,0.8100000000000002,2.4000000000000004,target-raw,0.006093074661352338,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/20-toy-squash-fine-area-change.vtp,0.1489125293076059,0.0,0.0,0.0,0.0
20-toy-squash-fine,0.8100000000000002,2.414623379187246,0.0,0.0,0.0,0.0,0.0,0.0,648,3200,False,0.8100000000000002,2.4000000000000004,target-masked-diagnostic,0.006093074661352338,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/20-toy-squash-fine-area-change.vtp,0.1489125293076059,0.0,0.0,0.0,0.0
20-toy-squash-fine,0.8132476878726337,2.4046570654799906,0.0040094912007822,0.24900375719695123,-0.0995252611152373,-0.047934113501987334,0.004883677991735613,0.03214349218110931,648,3200,True,0.8100000000000002,2.4000000000000004,solution,0.0019404439499959292,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/20-toy-squash-fine-area-change.vtp,0.24900375719695123,-0.0995252611152373,-0.0010395391909592973,0.0,0.0151738084456508
20-toy-squash-medium,0.7346938775510203,2.4101967669171867,0.0,0.0,0.0,0.0,0.0,0.0,288,1904,True,0.7346938775510203,2.4000000000000004,target-raw,0.00424865288216103,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/20-toy-squash-medium-area-change.vtp,0.07554637277990017,0.0,0.0,0.0,0.03846039885977356
20-toy-squash-medium,0.7346938775510203,2.4101967669171867,0.0,0.0,0.0,0.0,0.0,0.0,288,1904,False,0.7346938775510203,2.4000000000000004,target-masked-diagnostic,0.00424865288216103,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/20-toy-squash-medium-area-change.vtp,0.07554637277990017,0.0,0.0,0.0,0.03846039885977356
20-toy-squash-medium,0.7366413252851767,2.402861543172812,0.002650692749268435,0.1413806058767384,-0.08588089420713974,-0.03541661564336572,0.004549775815983259,0.027630045908531287,288,1904,True,0.7346938775510203,2.4000000000000004,solution,0.0011923096553383417,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/20-toy-squash-medium-area-change.vtp,0.1413806058767384,-0.08588089420713974,-0.0002778388564327049,0.0,0.00978268157520617
20-toy-stretch-coarse,0.5625,2.405562146310566,0.0,0.0,0.0,0.0,0.0,0.0,72,640,True,0.5625,2.4000000000000004,target-raw,0.0023175609627357208,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/20-toy-stretch-coarse-area-change.vtp,0.025280449438103814,0.0,0.0,0.0,0.012719112093773077
20-toy-stretch-coarse,0.5625,2.405562146310566,0.0,0.0,0.0,0.0,0.0,0.0,72,640,False,0.5625,2.4000000000000004,target-masked-diagnostic,0.0023175609627357208,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/20-toy-stretch-coarse-area-change.vtp,0.025280449438103814,0.0,0.0,0.0,0.012719112093773077
20-toy-stretch-coarse,0.5682191953334792,2.4019057391063816,0.010167458370629712,0.05945313559255139,-0.025482620715715498,-0.018180365044101053,0.0062292514005063415,0.05299265372916369,72,640,True,0.5625,2.4000000000000004,solution,0.0007940579609921894,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/20-toy-stretch-coarse-area-change.vtp,0.05945313559255139,-0.04641333212047993,-0.011066301137234013,0.0,0.009790140737550428
20-toy-stretch-fine,0.8100000000000002,2.414623379187246,0.0,0.0,0.0,0.0,0.0,0.0,648,3200,True,0.8100000000000002,2.4000000000000004,target-raw,0.006093074661352338,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/20-toy-stretch-fine-area-change.vtp,0.1489125293076059,0.0,0.0,0.0,0.0
20-toy-stretch-fine,0.8100000000000002,2.414623379187246,0.0,0.0,0.0,0.0,0.0,0.0,648,3200,False,0.8100000000000002,2.4000000000000004,target-masked-diagnostic,0.006093074661352338,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/20-toy-stretch-fine-area-change.vtp,0.1489125293076059,0.0,0.0,0.0,0.0
20-toy-stretch-fine,0.818589459539098,2.4085107618893846,0.010604271035923318,0.2524483773326338,-0.10674986790960583,-0.03820210911773205,-0.009167195616976709,0.12269284750133762,648,3200,True,0.8100000000000002,2.4000000000000004,solution,0.0035461507872434073,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/20-toy-stretch-fine-area-change.vtp,0.2524483773326338,-0.10674986790960583,-0.023465411037015653,0.0,0.03444633591409103
20-toy-stretch-medium,0.7346938775510203,2.4101967669171867,0.0,0.0,0.0,0.0,0.0,0.0,288,1904,True,0.7346938775510203,2.4000000000000004,target-raw,0.00424865288216103,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/20-toy-stretch-medium-area-change.vtp,0.07554637277990017,0.0,0.0,0.0,0.03846039885977356
20-toy-stretch-medium,0.7346938775510203,2.4101967669171867,0.0,0.0,0.0,0.0,0.0,0.0,288,1904,False,0.7346938775510203,2.4000000000000004,target-masked-diagnostic,0.00424865288216103,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/20-toy-stretch-medium-area-change.vtp,0.07554637277990017,0.0,0.0,0.0,0.03846039885977356
20-toy-stretch-medium,0.740295863665555,2.4046798898907213,0.007624925544783334,0.12200614152815237,-0.03836550936848715,-0.02636441173258295,-0.00594278580046681,0.07936815379029684,288,1904,True,0.7346938775510203,2.4000000000000004,solution,0.0019499541211336346,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/20-toy-stretch-medium-area-change.vtp,0.12200614152815237,-0.03836550936848715,-0.015107554526039556,0.0,0.012461244811716067
40-toy-forward-activation-coarse,0.5625,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,72,640,True,0.5625,2.4000000000000004,target-raw,0.0,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/40-toy-forward-activation-coarse-area-change.vtp,0.0,0.0,0.0,0.0,0.0
40-toy-forward-activation-coarse,0.5625,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,72,640,False,0.5625,2.4000000000000004,target-masked-diagnostic,0.0,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/40-toy-forward-activation-coarse-area-change.vtp,0.0,0.0,0.0,0.0,0.0
40-toy-forward-activation-coarse,0.5576393065807868,2.402690309635018,-0.008641232745267957,0.1449822075602516,-0.3040991499030593,-0.24215417560248642,0.028038859620546086,0.13443835213986952,72,640,True,0.5625,2.4000000000000004,solution,0.001120962347924026,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/40-toy-forward-activation-coarse-area-change.vtp,0.1449822075602516,-0.3040991499030593,-0.030019329323418276,0.0,0.0671712509986368
40-toy-forward-activation-fine,0.8100000000000002,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,648,3200,True,0.8100000000000002,2.4000000000000004,target-raw,0.0,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/40-toy-forward-activation-fine-area-change.vtp,0.0,0.0,0.0,0.0,0.0
40-toy-forward-activation-fine,0.8100000000000002,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,648,3200,False,0.8100000000000002,2.4000000000000004,target-masked-diagnostic,0.0,/home/liblaf/github/liblaf/apple/exp/2026/06/10/unreachable-inverse-physics/data/41-area-change-surfaces/40-toy-forward-activation-fine-area-change.vtp,0.0,0.0,0.0,0.0,0.0
