activation_inv/max_abs,activation_inv/rms,best/data_loss,best/error_max,best/error_mean,best/error_rms,best/error_rms_fraction_of_target,best/loss,best/reg_loss,best/step,case,convergence/best_in_last_window,convergence/converged,convergence/final_loss_over_best_loss,convergence/last_window_rel_improvement,convergence/status,elapsed_s,final_step/error_max,final_step/error_rms,final_step/loss,final_step/step,initial/error_max,initial/error_rms,initial/loss,inverse/surface_area/deformed,inverse/surface_area/rel_change,inverse/surface_area/rest,inverse/target_area/deformed,inverse/target_area/rel_change,inverse/target_area/rest,inverse/top_y/edge_max,inverse/top_y/edge_rms,inverse/top_y/max,inverse/top_y/mean,inverse/top_y/min,inverse/top_y/range,inverse/top_y/std,inverse/volume/abs_rel_change,inverse/volume/abs_rel_change_fraction_of_target_signed,inverse/volume/deformed,inverse/volume/inverted_fraction,inverse/volume/inverted_tets,inverse/volume/rel_change,inverse/volume/rel_change_fraction_of_target,inverse/volume/rest,inverse/volume/signed_deformed,inverse/volume/signed_rest,inverse_lr,inverse_max_steps,mode,n_active_tets,n_evaluations,n_points,n_target_points,n_tets,nu,resolution,series_frames,target/displacement_max,target/displacement_rms,target/surface_area/deformed,target/surface_area/rel_change,target/surface_area/rest,target/target_area/deformed,target/target_area/rel_change,target/target_area/rest,target/volume/abs_rel_change,target/volume/deformed,target/volume/inverted_fraction,target/volume/inverted_tets,target/volume/rel_change,target/volume/rest,target/volume/signed_deformed,target/volume/signed_rest,target_magnitude,target_y,x_segments,z_segments
0.49952154882585703,0.13566257778510696,5.52120817042435e-06,0.005123792770050375,0.00381219658075771,0.004069843303036746,0.8139686606073492,5.705251520537352e-06,1.8404335011300195e-07,108.0,30-toy-stretch-coarse-dy-p0p005-nu-0p49,True,False,1.7341898708091905,0.20146970199152325,not_converged_best_in_last_window,111.57337045599706,0.01454432045440045,0.005393920725357148,9.89398939733461e-06,120.0,0.005,0.004999999999999999,8.333333333333332e-06,2.4001256998921376,5.237495505716616e-05,2.4000000000000004,0.5634484219718512,0.0016860835055132473,0.5625,0.004218366715358305,0.0013677480611750219,0.006111682868611415,0.0014707226173083243,-1.995796147862707e-05,0.006131640830090042,0.001743114295432438,0.01130468123832773,0.2953059588787648,0.10113046812383278,0.0,0.0,0.01130468123832773,0.2953059588787648,0.1,0.10113046812383278,0.1,0.04,120,stretch,96,121,567,49,2304,0.49,coarse,7,0.005,0.005,2.4003498501358322,0.00014577088992995257,2.4000000000000004,0.5625,0.0,0.5625,0.038281250000000044,0.10382812500000002,0.0,0.0,0.038281250000000044,0.1,0.10382812500000002,0.1,0.005,0.005,8,8
0.7232306748902521,0.12774338184735465,6.278384235252018e-06,0.005511894754681132,0.0042124358187406365,0.004339948468099138,0.8679896936198275,6.441567951310009e-06,1.631837160579906e-07,84.0,30-toy-squash-coarse-dy-m0p005-nu-0p49,False,False,1.6066750864056154,0.2093601280856464,drifted_after_best,126.62533101602457,0.010421575218981233,0.005510554629217118,1.0349506744758651e-05,120.0,0.005,0.004999999999999999,8.333333333333332e-06,2.4000518389512857,2.1599563035490377e-05,2.4000000000000004,0.5623888120135101,-0.0001976675315376042,0.5625,0.0029761826566920995,0.0009523054112505715,0.0003960035439056643,-0.0008599359540443968,-0.003473418716548807,0.0038694222604544713,0.0011176076460156265,-0.006564875131661818,0.17149061568422638,0.09934351248683382,0.0,0.0,-0.006564875131661818,0.17149061568422638,0.1,0.09934351248683382,0.1,0.04,120,squash,96,121,567,49,2304,0.49,coarse,7,0.005,0.005,2.4003498501358322,0.00014577088992995257,2.4000000000000004,0.5625,0.0,0.5625,-0.038281250000000155,0.09617187499999999,0.0,0.0,-0.038281250000000155,0.1,0.09617187499999999,0.1,0.005,-0.005,8,8
0.8,0.21613630535246395,2.035050268942271e-05,0.010167883913157217,0.007103812266846984,0.007813546446285971,0.781354644628597,2.0817651714336845e-05,4.6714902491413527e-07,90.0,30-toy-stretch-coarse-dy-p0p01-nu-0p49,False,False,1.1673556985920839,0.15964314981063646,drifted_after_best,130.22620408399962,0.013784702185263854,0.008435354321710324,2.430160436003638e-05,120.0,0.01,0.009999999999999998,3.333333333333333e-05,2.400567793213752,0.00023658050572983313,2.4000000000000004,0.5648144339031367,0.004114549161131853,0.5625,0.00889590603525744,0.003142256627407229,0.010635840959887306,0.003358963107098,-5.100910573557008e-05,0.010686850065622876,0.0036365761892994614,0.035182684135229625,0.459528935643815,0.10351826841352296,0.005208333333333333,12.0,0.02592673970492454,0.3386349675745242,0.1,0.10259267397049246,0.1,0.04,120,stretch,96,121,567,49,2304,0.49,coarse,7,0.01,0.01,2.4013976086612567,0.0005823369421902314,2.4000000000000004,0.5625,0.0,0.5625,0.07656250000000009,0.10765625000000001,0.0,0.0,0.07656250000000009,0.1,0.10765625000000001,0.1,0.01,0.01,8,8
0.8,0.25057733662876797,2.5885191325235034e-05,0.011056206753181733,0.00851803821800012,0.008812240008970766,0.8812240008970765,2.6513081341554703e-05,6.278900163196691e-07,119.0,30-toy-squash-coarse-dy-m0p01-nu-0p49,True,False,1.0001295137868706,0.00879623511436437,not_converged_best_in_last_window,142.67261308198795,0.010964731227102002,0.008812564676032163,2.651651515112086e-05,120.0,0.01,0.009999999999999998,3.333333333333333e-05,2.400272259383242,0.00011344140968416738,2.4000000000000004,0.5627499069378749,0.00044427900066645876,0.5625,0.00656773802376941,0.001987081997042619,0.0010335932939688796,-0.0016325001789998423,-0.00803554304354678,0.00906913633751566,0.002443314026975135,-0.01246514185045422,0.16281001600593273,0.09875348581495458,0.0,0.0,-0.01246514185045422,0.16281001600593273,0.1,0.09875348581495458,0.1,0.04,120,squash,96,121,567,49,2304,0.49,coarse,7,0.01,0.01,2.4013976086612567,0.0005823369421902314,2.4000000000000004,0.5625,0.0,0.5625,-0.07656249999999998,0.09234375,0.0,0.0,-0.07656249999999998,0.1,0.09234375,0.1,0.01,-0.01,8,8
0.8,0.2921173113882343,8.547586784066293e-05,0.020542834597456917,0.014751300450628925,0.01601335703473787,0.8006678517368935,8.632919307678983e-05,8.533252361269065e-07,87.0,30-toy-stretch-coarse-dy-p0p02-nu-0p49,False,False,1.1565706770621602,0.16040058296937962,drifted_after_best,143.04673953098245,0.02504331440743002,0.0172021333759174,9.984581328705277e-05,120.0,0.02,0.019999999999999997,0.0001333333333333333,2.4019141094708885,0.0007975456128699321,2.4000000000000004,0.5679143914090133,0.009625584727134928,0.5625,0.019201534795531557,0.005895445759166556,0.0207730750781569,0.0060732868469273995,-0.0003867501248115682,0.02115982520296847,0.006933276120895089,0.06586734264346727,0.43015407440631703,0.10658673426434673,0.008246527777777778,19.0,0.04729797154454318,0.308884712127629,0.1,0.10472979715445432,0.1,0.04,120,stretch,96,121,567,49,2304,0.49,coarse,7,0.02,0.02,2.405562146310566,0.0023175609627357208,2.4000000000000004,0.5625,0.0,0.5625,0.15312499999999996,0.11531250000000001,0.0,0.0,0.15312499999999996,0.1,0.11531250000000001,0.1,0.02,0.02,8,8
0.8,0.3948113417884331,0.00010407110203135574,0.02345905106619593,0.017177822533437623,0.017669558740785442,0.883477937039272,0.00010562986198740356,1.5587599560478292e-06,109.0,30-toy-squash-coarse-dy-m0p02-nu-0p49,True,False,1.0117024478037981,0.03068936180672328,not_converged_best_in_last_window,162.57468462898396,0.02282530134563864,0.017766809816980027,0.00010686598993383356,120.0,0.02,0.019999999999999997,0.0001333333333333333,2.401114121284418,0.0004642172018405333,2.4000000000000004,0.5637401945844994,0.002204790372443366,0.5625,0.012771754511312669,0.004049914254881991,0.002897769946852498,-0.0033807188479352155,-0.018544448088933404,0.0214422180357859,0.004918911321242676,-0.024880734224742684,0.16248642759015625,0.09751192657752573,0.0013020833333333333,3.0,-0.025598817519664196,0.16717595114882733,0.1,0.09744011824803359,0.1,0.04,120,squash,96,121,567,49,2304,0.49,coarse,7,0.02,0.02,2.405562146310566,0.0023175609627357208,2.4000000000000004,0.5625,0.0,0.5625,-0.15312500000000007,0.0846875,0.12760416666666666,294.0,-0.15312500000000007,0.1,0.0846875,0.1,0.02,-0.02,8,8
0.8,0.3859503417476249,0.00037356418898075325,0.0427826150126748,0.031528205258032384,0.033476746660066295,0.8369186665016574,0.00037505376564370434,1.4895766629510847e-06,119.0,30-toy-stretch-coarse-dy-p0p04-nu-0p49,True,False,1.0062666903545434,0.05016994010108536,not_converged_best_in_last_window,207.65189340698998,0.041908703786079304,0.033581377997550364,0.00037740411145929895,120.0,0.04,0.039999999999999994,0.0005333333333333333,2.4062622470270156,0.002609269594589625,2.4000000000000004,0.574771190234195,0.0218154493052356,0.5625,0.041213067308690385,0.010499979593673004,0.05044253670909705,0.010302910925479997,0.00034126004535825217,0.05010127666373879,0.013210527375084982,0.10607289425450572,0.34636047103512085,0.11060728942545059,0.009982638888888888,23.0,0.08138534147755494,0.2657480538042611,0.1,0.1081385341477555,0.1,0.04,120,stretch,96,121,567,49,2304,0.49,coarse,7,0.04,0.04,2.4218186827407324,0.00909111780863836,2.4000000000000004,0.5625,0.0,0.5625,0.3062499999999999,0.130625,0.0,0.0,0.3062499999999999,0.1,0.130625,0.1,0.04,0.04,8,8
0.8,0.4682379464849385,0.00041905681204434345,0.04708428762070057,0.03451183377950826,0.035456599331196874,0.8864149832799217,0.0004212492797896278,2.1924677452843214e-06,105.0,30-toy-squash-coarse-dy-m0p04-nu-0p49,True,False,1.1030104555229157,0.0021699986113387503,not_converged_best_in_last_window,220.56661013397388,0.04709473404929573,0.03724741823318539,0.0004646423599894575,120.0,0.04,0.039999999999999994,0.0005333333333333333,2.4045904652707533,0.0019126938628137857,2.4000000000000004,0.5663941513855335,0.006922935796503937,0.5625,0.027508412099862496,0.008500043304541847,0.006573814946572832,-0.006408427584606612,-0.03480895555505219,0.04138277050162502,0.009357046921762646,-0.03830910702487034,0.1250909617138623,0.09616908929751297,0.005208333333333333,12.0,-0.048249648303513526,0.15754987201147272,0.1,0.09517503516964865,0.1,0.04,120,squash,96,121,567,49,2304,0.49,coarse,7,0.04,0.04,2.4218186827407324,0.00909111780863836,2.4000000000000004,0.5625,0.0,0.5625,0.0,0.1,0.12760416666666666,294.0,-0.30625,0.1,0.069375,0.1,0.04,-0.04,8,8
0.7994711004128193,0.2150503489305363,2.6130713179426423e-06,0.0050316977489954515,0.002293055334067926,0.0027998596310936604,0.559971926218732,3.0755378436940963e-06,4.62466525751454e-07,119.0,30-toy-stretch-coarse-dy-p0p005-nu-0p3,True,False,1.0012849962848098,0.043963318744726476,not_converged_best_in_last_window,64.94603874802124,0.00502673874665692,0.002801642523368561,3.079489898397035e-06,120.0,0.005,0.004999999999999999,8.333333333333332e-06,2.4001558900840023,6.495420166752197e-05,2.4000000000000004,0.5639693753541303,0.0026122228517870827,0.5625,0.003849059823473949,0.001600425501893961,0.005637882306076614,0.0030082289105480657,-3.1654713535069895e-05,0.005669537019611684,0.0018510759844290684,0.026225118493134802,0.6850643198206634,0.10262251184931348,0.005208333333333333,12.0,0.02308208646088694,0.6029606259170459,0.1,0.10230820864608871,0.1,0.04,120,stretch,96,121,567,49,2304,0.3,coarse,7,0.005,0.005,2.4003498501358322,0.00014577088992995257,2.4000000000000004,0.5625,0.0,0.5625,0.038281250000000044,0.10382812500000002,0.0,0.0,0.038281250000000044,0.1,0.10382812500000002,0.1,0.005,0.005,8,8
0.8,0.23981129272971458,2.7380581309217193e-06,0.005017012897660835,0.002423463066905347,0.002866038100368723,0.5732076200737446,3.313152692128688e-06,5.750945612069686e-07,67.0,30-toy-squash-coarse-dy-m0p005-nu-0p3,False,False,1.0745480934875407,0.09052303378440696,drifted_after_best,69.0962409269996,0.005016080120497911,0.0029718262605685814,3.5601419087599944e-06,120.0,0.005,0.004999999999999999,8.333333333333332e-06,2.400149497719161,6.229071631680405e-05,2.4000000000000004,0.561481885712333,-0.001809980955852386,0.5625,0.003715290642761748,0.0013793690073871968,1.6719754826375738e-05,-0.0027602491468087754,-0.005430485803418948,0.005447205558245324,0.0017002263901289283,-0.021095162021297464,0.5510572936175642,0.09789048379787026,0.0,0.0,-0.021095162021297464,0.5510572936175642,0.1,0.09789048379787026,0.1,0.04,120,squash,96,121,567,49,2304,0.3,coarse,7,0.005,0.005,2.4003498501358322,0.00014577088992995257,2.4000000000000004,0.5625,0.0,0.5625,-0.038281250000000155,0.09617187499999999,0.0,0.0,-0.038281250000000155,0.1,0.09617187499999999,0.1,0.005,-0.005,8,8
