step,evaluation_success,objective,gradient_rms,forward_converged,forward_iterations,forward_failure,line_search_failures,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv,inverted_cell_fraction,inverted_rest_measure_fraction,negative_det_f_mean,top_target_mae,top_target_rms,top_target_max,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_neighbor_jump_rms,activation_rms,detF/min,detG/min,detAinv/min,target/rms,target/mae,target/max,activation/rms,activation/neighbor_jump_rms
0,1,0.0014813333333333334,0.0004695343178180937,1,1,,0,9.830796932642262e-20,1.0,1.0,1.0,0.0,0.0,0.0,0.03666666666666667,0.038488093396962825,0.05,0.038488093396962825,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.038488093396962825,0.03666666666666667,0.05,0.0,0.0
1,1,0.0014489350030137927,0.0004952795086984557,1,3,,0,5.620591296294477e-10,0.9690499618548518,0.9496339132445084,0.940007649215748,0.0,0.0,0.0,0.03626243817417232,0.0380648788650876,0.049455043760181526,0.03806439347926767,8.312665714108194e-05,0.010616914011466975,0.3917473778335687,0.0,0.02996451329008206,0.9690499618548518,0.9496339132445084,0.940007649215748,0.0380648788650876,0.03626243817417232,0.049455043760181526,0.02996451329008206,0.0
2,1,0.0014148904943904572,0.0005236050867747969,1,3,,0,2.5730294821953637e-10,0.9706918761852419,0.9004218560626118,0.8839406787787076,0.0,0.0,0.0,0.03583284635029496,0.03761503016601817,0.04887753596412197,0.037614557507850754,0.00016886511237957229,0.021682999740816757,0.781682119341151,0.0,0.049366606947664766,0.9706918761852419,0.9004218560626118,0.8839406787787076,0.03761503016601817,0.03583284635029496,0.04887753596412197,0.049366606947664766,0.0
3,1,0.0013793785542237742,0.000554107045659622,1,3,,0,4.1704425768953156e-10,0.9563083842537743,0.8376173267365457,0.829514119188459,0.0,0.0,0.0,0.03537901627610468,0.037139985921157456,0.048268405659228804,0.03713901705299523,0.00026077285268522683,0.03353896457960489,1.2164950003178572,0.0,0.07293164946961864,0.9563083842537743,0.8376173267365457,0.829514119188459,0.037139985921157456,0.03537901627610468,0.048268405659228804,0.07293164946961864,0.0
4,1,0.0013422573856686087,0.0005864560743066453,1,3,,0,2.67092399024181e-10,0.9410702760005893,0.7733766320632515,0.7767711161625717,0.0,0.0,0.0,0.03489850519405676,0.03663683099926369,0.04762211393902608,0.036634749452504146,0.00035861221370603384,0.046140292125788865,1.6797074343398133,0.0,0.09734070195626145,0.9410702760005893,0.7733766320632515,0.7767711161625717,0.03663683099926369,0.03489850519405676,0.04762211393902608,0.09734070195626145,0.0
5,1,0.0013032290892185893,0.0006201966363775488,1,3,,0,9.8359900788474e-11,0.9250961621352213,0.7194705687588422,0.7263917426867766,0.0,0.0,0.0,0.034386882608565164,0.03610026439264108,0.046929318054465555,0.03609675127891181,0.0004634319254189648,0.05959624345553458,2.1651622251784475,0.0,0.1209571023982204,0.9250961621352213,0.7194705687588422,0.7263917426867766,0.03610026439264108,0.034386882608565164,0.046929318054465555,0.1209571023982204,0.0
6,1,0.0012622450822112987,0.000654977037425689,1,3,,0,1.0949069973413179e-10,0.9086357577770561,0.6696628019908593,0.6781782763024035,0.0,0.0,0.0,0.0338421187286235,0.03552808863717972,0.04618735173198318,0.03552263932153201,0.0005760433477384314,0.0740200534527103,2.6808338202210997,0.0,0.14425177932852007,0.9086357577770561,0.6696628019908593,0.6781782763024035,0.03552808863717972,0.0338421187286235,0.04618735173198318,0.14425177932852007,0.0
7,1,0.001219239098334638,0.0006905823170957531,1,3,,0,1.5357222683927097e-10,0.8919996895713425,0.6169006152328821,0.6317639830475321,0.0,0.0,0.0,0.033261451990460815,0.03491760441861151,0.04539375428148439,0.034909309619179305,0.000697137855170287,0.08952307334185215,3.236499134342109,0.0,0.16761342234167506,0.8919996895713425,0.6169006152328821,0.6317639830475321,0.03491760441861151,0.033261451990460815,0.04539375428148439,0.16761342234167506,0.0
8,1,0.0011740185610052663,0.0007264639505419169,1,3,,0,3.1209798718377187e-10,0.8735978445191893,0.5581251678510654,0.5869417830781466,0.0,0.0,0.0,0.032640193706134656,0.03426395425232275,0.04454246840995037,0.03425145734229827,0.0008278292220604024,0.10626047028114857,3.8403959525535822,0.0,0.1911141791322452,0.8735978445191893,0.5581251678510654,0.5869417830781466,0.03426395425232275,0.032640193706134656,0.04454246840995037,0.1911141791322452,0.0
9,1,0.0011266046392889245,0.0007608114212713439,1,3,,0,5.655751543593873e-10,0.838173698316523,0.4960238927845256,0.5435117200316948,0.0,0.0,0.0,0.03197655454413436,0.03356493168902515,0.043629233834369674,0.033546238191533906,0.0009691245961903834,0.12434889725752372,4.49569967870828,0.0,0.21479971927303784,0.838173698316523,0.4960238927845256,0.5435117200316948,0.03356493168902515,0.03197655454413436,0.043629233834369674,0.21479971927303784,0.0
10,1,0.0010772709108713278,0.0007906878302659666,1,3,,0,7.983037234408909e-10,0.7893571846223828,0.4339532703834859,0.5013893720982029,0.0,0.0,0.0,0.03127225343976801,0.03282180541760809,0.04265355422046112,0.03279417272354424,0.0011215923796122221,0.14384121937883707,5.202132326661378,0.0,0.23862626818425567,0.7893571846223828,0.4339532703834859,0.5013893720982029,0.03282180541760809,0.03127225343976801,0.04265355422046112,0.23862626818425567,0.0
11,1,0.0010264566919465875,0.0008125286202436077,1,3,,0,7.803822850156458e-10,0.7382804245113497,0.3771079174692627,0.4610858348991621,0.0,0.0,0.0,0.030531826406272562,0.03203836281626431,0.041617006389282105,0.03199896676434204,0.0012851508727646443,0.16469551692900367,5.951369479415592,0.0,0.2621946503388798,0.7382804245113497,0.3771079174692627,0.4610858348991621,0.03203836281626431,0.030531826406272562,0.041617006389282105,0.2621946503388798,0.0
12,1,0.0009747297826126097,0.0008241663199377291,1,3,,0,5.862176520651289e-10,0.6916354499935692,0.32967988655501584,0.4234266602860022,0.0,0.0,0.0,0.029762037886751413,0.031220662751014906,0.040524691484659266,0.03116752000508095,0.001458539024887636,0.18673072216306713,6.729262814878872,0.0,0.28505608986739384,0.6916354499935692,0.32967988655501584,0.4234266602860022,0.031220662751014906,0.029762037886751413,0.040524691484659266,0.28505608986739384,0.0
13,1,0.0009230661357474938,0.0008254843997808803,1,3,,0,5.179084095531898e-10,0.6492723662334428,0.28990582935704934,0.38826356683529206,0.0,0.0,0.0,0.028975529857604043,0.030382003484752184,0.039394544510254294,0.03031291751512749,0.001638933268776179,0.2096077670806958,7.527780660187699,0.0,0.3074159183959996,0.6492723662334428,0.28990582935704934,0.38826356683529206,0.030382003484752184,0.028975529857604043,0.039394544510254294,0.3074159183959996,0.0
14,1,0.0008727236249522942,0.0008180909041831344,1,3,,0,4.542596238184269e-10,0.6093353545177151,0.25522892252556995,0.3551227100732115,0.0,0.0,0.0,0.028190330530649527,0.029541896096091973,0.03825378030583564,0.02945378807329384,0.001822355990742626,0.23284866536104792,8.337150876601436,0.0,0.3295698569002032,0.6093353545177151,0.25522892252556995,0.3551227100732115,0.029541896096091973,0.028190330530649527,0.03825378030583564,0.3295698569002032,0.0
15,1,0.0008249338699844534,0.0008054478706380494,1,3,,0,3.2618398038244437e-10,0.5691041911126136,0.22341104962910013,0.32366725791441164,0.0,0.0,0.0,0.027426006021244002,0.028721662033810883,0.037132182852970826,0.028610638222691036,0.002004358609757182,0.2559116506001783,9.142988462031068,0.0,0.35164115008204494,0.5691041911126136,0.22341104962910013,0.32366725791441164,0.028721662033810883,0.027426006021244002,0.037132182852970826,0.35164115008204494,0.0
16,1,0.0007806944989539223,0.0007939838383803513,1,3,,0,1.8742726334275562e-10,0.52683886895891,0.1935457148214769,0.29392678527747657,0.0,0.0,0.0,0.02670050015933506,0.0279409108468912,0.03605738826640487,0.02780304349252051,0.0021805079836552687,0.27825071611592245,9.927216064586949,0.0,0.3735021345978377,0.52683886895891,0.1935457148214769,0.29392678527747657,0.0279409108468912,0.02670050015933506,0.03605738826640487,0.3735021345978377,0.0
17,1,0.0007405951154608579,0.00079574548270657,1,3,,0,9.374679136102052e-11,0.4886701327946652,0.1680861606189549,0.26642616325506974,0.0,0.0,0.0,0.026026812995468437,0.027213877258870298,0.035050289579763076,0.02704664900021506,0.002346711702981065,0.2993538549973178,10.670421027755145,0.0,0.3947474280326502,0.4886701327946652,0.1680861606189549,0.26642616325506974,0.027213877258870298,0.026026812995468437,0.035050289579763076,0.3947474280326502,0.0
18,1,0.0007042901020934684,0.0008202023954053031,1,3,,0,5.176302436793525e-11,0.4617756884549382,0.14883324043104149,0.24165645301416874,0.0,0.0,0.0,0.025402615341681763,0.026538464576788698,0.03410973717611902,0.026340357382411958,0.002502437431395066,0.31915561075611476,11.370018376511695,0.0,0.41492813289866626,0.4617756884549382,0.14883324043104149,0.24165645301416874,0.026538464576788698,0.025402615341681763,0.03410973717611902,0.41492813289866626,0.0
19,1,0.0006704029269521191,0.0008618090801703847,1,3,,0,2.1063489031675108e-11,0.4387184114039424,0.13268259161388557,0.21965050468575817,0.0,0.0,0.0,0.024806617625419254,0.02589214025437293,0.03320493412187007,0.025660050124592677,0.002653304176676627,0.33837155603140534,12.051987838394542,0.0,0.43370726539515053,0.4387184114039424,0.13268259161388557,0.21965050468575817,0.02589214025437293,0.024806617625419254,0.03320493412187007,0.43370726539515053,0.0
