x,ux,uy,target_uy,smooth_uy,highpass_uy
0.005,-0.002264873875366337,0.0033233870691804328,0.1,0.00858141469021547,-0.005258027621035038
0.01,-0.004778305525615102,0.007435095992278306,0.1,0.010391437564272844,-0.002956341571994538
0.015,-0.007401836772094523,0.01031524864148352,0.1,0.012537239530232561,-0.0022219908887490415
0.02,-0.010089440456755062,0.013143854905930624,0.1,0.015010832717729813,-0.0018669778117991892
0.025,-0.012814722405482435,0.015999531900498236,0.1,0.017797239281571182,-0.0017977073810729466
0.03,-0.015568767845071,0.018990794830807456,0.1,0.020878331665856776,-0.00188753683504932
0.035,-0.01834111413984772,0.02218622626967406,0.1,0.024234785477822277,-0.002048559208148216
0.04,-0.021118762172254283,0.025641196467101127,0.1,0.02784526505906136,-0.0022040685919602343
0.045,-0.023886918857566553,0.029407865684946882,0.1,0.03168302570945985,-0.0022751600245129663
0.05,-0.026632361146452874,0.03355272947782298,0.1,0.03571109461448037,-0.002158365136657389
0.055,-0.029335707865667304,0.03814849141646412,0.1,0.039877767065831196,-0.0017292756493670763
0.06,-0.03192845966867958,0.04322938548821901,0.1,0.04411418980064781,-0.000884804312428801
0.065,-0.03418016022089792,0.04871863623492445,0.1,0.04833531587934322,0.0003833203555812306
0.07,-0.035159604279250474,0.05426510042072253,0.1,0.052444662494990996,0.0018204379257315342
0.075,-0.03383088695087124,0.05969737016833785,0.1,0.056342332189926216,0.0033550379784116346
0.08,-0.029787409059020803,0.06449111185959842,0.1,0.05993488706657686,0.004556224793021563
0.085,-0.025048418314584094,0.06828090980466521,0.1,0.06314512929473154,0.005135780509933671
0.09,-0.019843452895746832,0.07113089983292423,0.1,0.06591984669247676,0.005211053140447466
0.095,-0.014577679095727464,0.07303915562154283,0.1,0.06823393792224014,0.004805217699302686
0.1,-0.009571723992353445,0.07415559475414688,0.1,0.07009051564305215,0.00406507911109473
0.105,-0.004963505745559826,0.07469875477052614,0.1,0.07151679484399225,0.0031819599265338894
0.11,-0.0007608741694736665,0.07489955843753378,0.1,0.07255731646649016,0.0023422419710436154
0.115,0.003093734450466953,0.0749292591628136,0.1,0.0732657288421288,0.0016635303206847946
0.12,0.006679285767742776,0.07489335361729768,0.1,0.07369694932451504,0.0011964042927826435
0.125,0.01007533063115904,0.07483903060175467,0.1,0.07390049151844047,0.0009385390833142049
0.13,0.013356635267297006,0.07476270302475282,0.1,0.07391583658470174,0.0008468664400510806
0.135,0.016580684938487925,0.07458270125241029,0.1,0.0737697387054707,0.0008129625469395912
0.14,0.019793869038206936,0.07427912648982977,0.1,0.07347510675315806,0.0008040197366717128
0.145,0.023031932949351644,0.07394785466517459,0.1,0.07303093692054581,0.0009169177446287785
0.15,0.026317637259616177,0.07355026407446133,0.1,0.07242287834636708,0.0011273857280942462
0.155,0.029669296423814398,0.07303671996069414,0.1,0.07162435098978359,0.0014123689709105436
0.16,0.03310262766704261,0.07244608685958968,0.1,0.07059842729462334,0.001847659564966339
0.165,0.03661826615396787,0.07152166116620391,0.1,0.0693009624191314,0.002220698747072508
0.17,0.04022184750137724,0.07059942073070316,0.1,0.06768533079598102,0.0029140899347221416
0.17500000000000002,0.04391322321887315,0.06945572147809667,0.1,0.0657088069194652,0.0037469145586314645
0.18,0.04766533929550534,0.06776733199570721,0.1,0.06334003790604618,0.004427294089661027
0.185,0.05140927077950372,0.06546968384593882,0.1,0.06056645511410762,0.004903228731831202
0.19,0.05504649145508651,0.0625867526162302,0.1,0.0574001143666512,0.005186638249579004
0.195,0.05714625501199478,0.05673344793725565,0.1,0.053880570059134596,0.0028528778781210518
0.2,0.0592445547344792,0.051933451944332076,0.1,0.05007393627910704,0.0018595156652250339
0.20500000000000002,0.06057701387488699,0.04681142105289871,0.1,0.04606812499192119,0.0007432960609775191
0.21,0.06127684696109335,0.04164214923748453,0.1,0.04196508933601777,-0.0003229400985332448
0.215,0.061293966015726196,0.03644006476001055,0.1,0.0378714719761788,-0.0014314072161682526
0.22,0.06070477904113274,0.03134161385954197,0.1,0.03388923912107235,-0.0025476252615303785
0.225,0.0598742679104363,0.02678661800130989,0.1,0.030107696179092938,-0.003321078177783047
0.23,0.05885170964950686,0.02288858783286158,0.1,0.026597862220899614,-0.0037092743880380342
0.23500000000000001,0.057724134024935106,0.019818903217958143,0.1,0.023409652460324462,-0.0035907492423663187
0.24,0.056259305762163404,0.017245897083115275,0.1,0.020571779918129272,-0.0033258828350139977
0.245,0.05459076641223211,0.01508137719879738,0.1,0.01809385237809523,-0.0030124751792978497
