step,objective_total,objective_data,objective_regularizer,gradient_rms,equilibrium_residual_rms,forward_iterations,forward_converged,numerically_equilibrated,min_det_f,min_det_g,min_det_ainv,min_singular_ainv,orientation_preserving,verified_admissible,top_uy_mean,top_uy_range,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_l2_rms,activation_max_abs,activation_neighbor_jump_rms,activation_physical_h1_squared
0,0.003333333333333335,0.003333333333333335,0.0,6.658954151881749e-07,1.562880196799613e-17,1,1,1,0.9999999999999716,0.9999999999999716,1.0,1.0,1,1,0.0,0.0,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0033138876294052434,0.0033114149145587516,2.4727148464919435e-06,2.396058547212621e-06,5.537356634663305e-12,6,1,1,0.9884619613793524,0.9819268369653534,0.9017779931376747,0.9090448941815275,1,1,0.00033554514468594663,0.0011186694510169574,0.09967068146489345,2.9943142689689933e-05,0.005060329941018916,0.27077844805636664,0.04323869454072803,0.04955568816184449,0.005372513458197681,0.04945429692983887
2,0.003434275394313604,0.0032870679711238414,0.00014720742318976283,2.0013400962801342e-05,3.4979851220070513e-10,5,1,1,0.9779573179105577,0.964931397658054,0.8065455891889399,0.8241090273854589,1,1,0.0007236801089054568,0.0019718121285442047,0.09930359466490386,4.290106335999894e-05,0.008464745447982695,0.43330591237080407,0.0846306190266537,0.09904863030298303,0.037897930979748105,2.9441484637952566
3,0.003268884690801206,0.0032603246665718717,8.560024229334111e-06,4.342088153716544e-06,6.860906477525704e-11,5,1,1,0.9671463153960249,0.9462160069756193,0.7151687207400945,0.7520604985425766,1,1,0.0011671915354976253,0.0033730525022038667,0.0988988068669972,7.04645149935195e-05,0.014425346397805546,0.6795457557980729,0.12241049564780736,0.14869880932022939,0.008750725171007018,0.17120048458668222
4,0.0033003320230417057,0.0032296841336950295,7.064788934667607e-05,1.3830237175293993e-05,4.867885674528904e-11,5,1,1,0.9487753678778174,0.9241468089501795,0.6376691721449074,0.730599573609692,1,1,0.0016963593878775375,0.005268351653127953,0.09843298431463454,0.000108255556598669,0.022342374056824394,0.9938023654324478,0.1631629156775468,0.19852669598648498,0.026357320208669408,1.4129577869335213
5,0.0032926723591046674,0.003195043038470317,9.762932063435045e-05,1.6286895697465897e-05,1.708352748915991e-10,5,1,1,0.9266365523966814,0.8985699192325902,0.5595586783042532,0.6775225492850737,1,1,0.002320768901381847,0.007602394705802113,0.09790367263494741,0.0001562012788126777,0.03237111232667293,1.3805178719962825,0.20382336943418766,0.24858896483283965,0.03097246082194091,1.9525864126870087
6,0.0031945204726985593,0.0031559240194207476,3.859645327781182e-05,1.0208603590183536e-05,5.163983326554109e-10,5,1,1,0.9031304924209523,0.8695744150951255,0.4857714240273908,0.6222247321227506,1,1,0.00305918839000331,0.010495582560321917,0.09730247714350464,0.0002178253078347993,0.045176520607049485,1.8603853894857971,0.24427341586273582,0.29890793724772047,0.019434257980433325,0.7719290655562363
7,0.0031145978006949606,0.0031112012691304567,3.3965315645040076e-06,3.052941408657278e-06,8.074246762063657e-13,6,1,1,0.8811533048246335,0.836926651506274,0.4190298888984615,0.5818506110344904,1,1,0.003949481435826363,0.014194148127058983,0.09661057813402926,0.00029723137207982036,0.06165150373651169,2.454968093882348,0.28518022227635165,0.34956471327090377,0.005685943787264179,0.06793063129008015
8,0.0030894249330865554,0.003059919025443036,2.9505907643519303e-05,9.011577501707217e-06,8.168906386170228e-12,6,1,1,0.8610820773738106,0.8007881503907769,0.3565467826172626,0.537858679756004,1,1,0.005039228773268383,0.019022609610720154,0.0958110488217779,0.0003982726308044554,0.0828059505517152,3.1689117837254024,0.326567533103183,0.400567498430596,0.01698742376345198,0.590118152870386
9,0.003058246375530205,0.0030021026630933302,5.6143712436875005e-05,1.2414678788255286e-05,2.440055241682638e-10,7,1,1,0.8411626167684315,0.7613066210097373,0.29803520977970843,0.4847557084320622,1,1,0.006376476518589755,0.025262761942108615,0.0949015700042944,0.0005250910879011755,0.1099135724693409,3.9981585243814,0.3680603464524055,0.4519306737943509,0.023437330868114645,1.1228742487375
10,0.002980436746058106,0.0029386845389385687,4.175220711953706e-05,1.0706577754944422e-05,3.3028301847542706e-12,42,1,1,0.8206526997804715,0.7201626704732722,0.2438692069953957,0.43290597259795877,1,1,0.00801799113282062,0.03312860259703983,0.09389384227315285,0.0006846939841602832,0.14457166389285767,4.910996394367632,0.40939461999193855,0.5036336452352442,0.020212409511014842,0.8350441423907412
11,0.0028868647559375737,0.002873869158267606,1.2995597669967735e-05,6.035822444196434e-06,1.319899809032509e-10,31,1,1,0.8012582920270597,0.6844007401337623,0.1955184904768408,0.38562167481276005,1,1,0.01003463621299985,0.04338057430282577,0.09285261156694957,0.0008787860776558368,0.18930353657783286,5.845211504463453,0.4504820392590548,0.5558890940072462,0.01135375324048992,0.2599119533993547
