step,cells,rest_volume,min_det_f,min_det_ainv,min_det_g,f_negative_cells,f_negative_rest_volume_fraction,ainv_negative_cells,ainv_negative_rest_volume_fraction,g_negative_cells,g_negative_rest_volume_fraction,double_inverted_cells,double_inverted_rest_volume_fraction
33,1078,2.504114119679756e-07,0.19775451623965076,-0.19921582007751654,-0.04205152143046284,0,0.0,2,0.009303974699163423,2,0.009303974699163423,0,0.0
34,1078,2.504114119679756e-07,0.19587376450282196,-0.20500462073793485,-0.04252515538465691,0,0.0,2,0.009303974699163423,2,0.009303974699163423,0,0.0
35,1078,2.504114119679756e-07,0.19436933759043037,-0.20705766960545582,-0.0440957868539987,0,0.0,2,0.009303974699163423,2,0.009303974699163423,0,0.0
36,1078,2.504114119679756e-07,0.19296749208636518,-0.20621695094500178,-0.04675812445719715,0,0.0,2,0.009303974699163423,2,0.009303974699163423,0,0.0
37,1078,2.504114119679756e-07,0.19159403363166141,-0.20430280377571539,-0.05061815104063526,0,0.0,2,0.009303974699163423,2,0.009303974699163423,0,0.0
38,1078,2.504114119679756e-07,0.1904223687573237,-0.20344569593704184,-0.05524685885607129,0,0.0,2,0.009303974699163423,2,0.009303974699163423,0,0.0
39,1078,2.504114119679756e-07,0.18938450262910658,-0.20393222503372316,-0.05905335346519722,0,0.0,2,0.009303974699163423,2,0.009303974699163423,0,0.0
40,1078,2.504114119679756e-07,0.18850856886998285,-0.20513197551974133,-0.06239527693559648,0,0.0,2,0.009303974699163423,2,0.009303974699163423,0,0.0
41,1078,2.504114119679756e-07,0.18783828644166273,-0.20661745708412066,-0.06564210839223879,0,0.0,2,0.009303974699163423,2,0.009303974699163423,0,0.0
42,1078,2.504114119679756e-07,0.18728704196226578,-0.20927924463081746,-0.0684108810999079,0,0.0,3,0.013813605828386774,3,0.013813605828386774,0,0.0
43,1078,2.504114119679756e-07,0.18652030268885147,-0.21871872937106762,-0.06918722587909586,0,0.0,3,0.013813605828386774,3,0.013813605828386774,0,0.0
44,1078,2.504114119679756e-07,0.18590410599050522,-0.22504548955252907,-0.07051705639667166,0,0.0,3,0.013813605828386774,3,0.013813605828386774,0,0.0
45,1078,2.504114119679756e-07,0.1854163463289864,-0.22728607882191748,-0.07091843456621934,0,0.0,3,0.013813605828386774,3,0.013813605828386774,0,0.0
46,1078,2.504114119679756e-07,0.18511679179541563,-0.22705873128632661,-0.07370585374409433,0,0.0,3,0.013813605828386774,3,0.013813605828386774,0,0.0
47,1078,2.504114119679756e-07,0.17287196232269095,-0.22557710143113036,-0.07684772498810047,0,0.0,3,0.013813605828386774,3,0.013813605828386774,0,0.0
48,1078,2.504114119679756e-07,0.1362929228894938,-0.22327953954329355,-0.08102090620174593,0,0.0,3,0.013813605828386774,3,0.013813605828386774,0,0.0
49,1078,2.504114119679756e-07,0.09967736536005488,-0.21977292693304462,-0.08438468248839455,0,0.0,5,0.02124524539912264,5,0.02124524539912264,0,0.0
50,1078,2.504114119679756e-07,0.058829243410797864,-0.2150095251619808,-0.08761467084785328,0,0.0,5,0.02124524539912264,5,0.02124524539912264,0,0.0
51,1078,2.504114119679756e-07,0.005434891998534308,-0.21039881001205707,-0.093543430460524,0,0.0,5,0.02124524539912264,5,0.02124524539912264,0,0.0
52,1078,2.504114119679756e-07,-0.2951275496419865,-0.20877657709406816,-0.09937351700618166,1,0.004513023057552885,5,0.02124524539912264,4,0.016732222341569757,1,0.004513023057552885
53,1078,2.504114119679756e-07,-0.3093154820968112,-0.20650274212358868,-0.10037555405042925,1,0.004513023057552885,5,0.02124524539912264,4,0.016732222341569757,1,0.004513023057552885
54,1078,2.504114119679756e-07,-0.32918420855506886,-0.20474986369042308,-0.10142185995608385,1,0.004513023057552885,5,0.02124524539912264,4,0.016732222341569757,1,0.004513023057552885
55,1078,2.504114119679756e-07,-0.3319606505708574,-0.20304509191182185,-0.08816852465391349,2,0.009022654186776238,5,0.02124524539912264,3,0.012222591212346407,2,0.009022654186776238
56,1078,2.504114119679756e-07,-0.3930271967961775,-0.2233634506036149,-0.10683727910004337,2,0.009022654186776238,5,0.02124524539912264,3,0.012222591212346407,2,0.009022654186776238
57,1078,2.504114119679756e-07,-0.5443808739880511,-0.2612968768260802,-0.11428228917983951,2,0.009022654186776238,4,0.01832662888593966,2,0.009303974699163423,2,0.009022654186776238
58,1078,2.504114119679756e-07,-1.4603539344825118,-0.3097273132133263,-0.13678269915316782,2,0.009022654186776238,5,0.02188655567836983,3,0.012863901491593594,2,0.009022654186776238
59,1078,2.504114119679756e-07,-1.4054106877649846,-0.34981610424343423,-0.13605258798187686,2,0.009022654186776238,5,0.02188655567836983,3,0.012863901491593594,2,0.009022654186776238
60,1078,2.504114119679756e-07,-1.1858483035950067,-0.381256307246708,-0.13492276589021227,2,0.009022654186776238,5,0.02188655567836983,3,0.012863901491593594,2,0.009022654186776238
61,1078,2.504114119679756e-07,-1.0169526717252848,-0.4050823206300387,-0.12508635065588772,2,0.009022654186776238,4,0.017373532620816947,4,0.01737692454914648,1,0.004509631129223352
62,1078,2.504114119679756e-07,-1.4841191329123131,-0.42343679013317426,-0.07465259226434948,3,0.013754958840617856,4,0.017373532620816947,3,0.012644619895304863,2,0.009241935783064969
63,1078,2.504114119679756e-07,-1.5031310424063007,-0.4448475708048255,-0.0782994324673151,3,0.013754958840617856,4,0.017373532620816947,3,0.012644619895304863,2,0.009241935783064969
64,1078,2.504114119679756e-07,-1.4555773173102537,-0.4660485268931247,-0.07806266088196656,3,0.013754958840617856,4,0.017373532620816947,3,0.012644619895304863,2,0.009241935783064969
65,1078,2.504114119679756e-07,-1.4926210607717492,-0.4853772254031039,-0.07799755186647779,3,0.013754958840617856,4,0.017373532620816947,3,0.012644619895304863,2,0.009241935783064969
66,1078,2.504114119679756e-07,-1.56179361504131,-0.5033633747590959,-0.07760969171177183,3,0.013754958840617856,4,0.017373532620816947,3,0.012644619895304863,2,0.009241935783064969
67,1078,2.504114119679756e-07,-1.6200068734438826,-0.5187434446231401,-0.07650208017594341,3,0.013754958840617856,4,0.017373532620816947,3,0.012644619895304863,2,0.009241935783064969
68,1078,2.504114119679756e-07,-1.6816452010847285,-0.530091934555185,-0.07539443023384654,3,0.013754958840617856,5,0.019655025866443247,4,0.014926113140931162,2,0.009241935783064969
69,1078,2.504114119679756e-07,-1.7678354519152233,-0.541251692150061,-0.10484921363743019,3,0.013754958840617856,5,0.019655025866443247,4,0.014926113140931162,2,0.009241935783064969
70,1078,2.504114119679756e-07,-1.8652623055636877,-0.5531320355224663,-0.10311417258069151,3,0.013754958840617856,5,0.019655025866443247,4,0.014926113140931162,2,0.009241935783064969
71,1078,2.504114119679756e-07,-1.9406875740883198,-0.5634805698202318,-0.09230084619032146,3,0.013754958840617856,5,0.019655025866443247,4,0.014926113140931162,2,0.009241935783064969
72,1078,2.504114119679756e-07,-1.9919270729687488,-0.5714802862697703,-0.07843481601133473,3,0.013754958840617856,6,0.02416804892399613,3,0.010413090083378276,3,0.013754958840617856
73,1078,2.504114119679756e-07,-2.023480386277038,-0.578541031798519,-0.0743235649429024,3,0.013754958840617856,6,0.02416804892399613,3,0.010413090083378276,3,0.013754958840617856
74,1078,2.504114119679756e-07,-2.040123099206478,-0.5864299059418331,-0.0789740885647836,3,0.013754958840617856,5,0.02188655567836983,2,0.008131596837751977,3,0.013754958840617856
75,1078,2.504114119679756e-07,-2.033387022124968,-0.5950324712620155,-0.08301584965385073,3,0.013754958840617856,5,0.02188655567836983,2,0.008131596837751977,3,0.013754958840617856
76,1078,2.504114119679756e-07,-1.345245061760401,-0.6030318013406518,-0.0844748671937945,3,0.013754958840617856,5,0.02188655567836983,2,0.008131596837751977,3,0.013754958840617856
77,1078,2.504114119679756e-07,-1.7673515171647207,-0.6084604843429572,-0.09017684285300666,3,0.013754958840617856,6,0.02463423790840421,3,0.010879279067786359,3,0.013754958840617856
78,1078,2.504114119679756e-07,-1.9878274895636079,-0.6111462588536347,-0.09562073966104322,3,0.013754958840617856,7,0.02866426701573692,4,0.014909308175119068,3,0.013754958840617856
79,1078,2.504114119679756e-07,-2.2168043176307166,-0.6109645151616492,-0.10134711110590355,3,0.013754958840617856,7,0.02866426701573692,4,0.014909308175119068,3,0.013754958840617856
80,1078,2.504114119679756e-07,-2.4573996372731886,-0.6084926465745137,-0.10661961017101258,3,0.013754958840617856,7,0.02866426701573692,4,0.014909308175119068,3,0.013754958840617856
81,1078,2.504114119679756e-07,-2.663484564317154,-0.6052648492619956,-0.11105695366209865,3,0.013754958840617856,7,0.02866426701573692,4,0.014909308175119068,3,0.013754958840617856
82,1078,2.504114119679756e-07,-2.8386171985575066,-0.6017850317208533,-0.11494723486693947,3,0.013754958840617856,7,0.02866426701573692,4,0.014909308175119068,3,0.013754958840617856
83,1078,2.504114119679756e-07,-3.013120214934969,-0.5978446703004581,-0.11974434702962161,3,0.013754958840617856,7,0.02866426701573692,4,0.014909308175119068,3,0.013754958840617856
84,1078,2.504114119679756e-07,-3.1309730264261604,-0.5878845822722767,-0.13033837324454026,3,0.013754958840617856,7,0.02866426701573692,4,0.014909308175119068,3,0.013754958840617856
85,1078,2.504114119679756e-07,-3.2117294793435467,-0.580654297835834,-0.13938792912847714,3,0.013754958840617856,7,0.02866426701573692,4,0.014909308175119068,3,0.013754958840617856
86,1078,2.504114119679756e-07,-3.2600500563181214,-0.5815786517093942,-0.14302806468402107,3,0.013754958840617856,7,0.02866426701573692,4,0.014909308175119068,3,0.013754958840617856
87,1078,2.504114119679756e-07,-3.2945064058234785,-0.5863741105659077,-0.14437629141619998,3,0.013754958840617856,7,0.02866426701573692,4,0.014909308175119068,3,0.013754958840617856
88,1078,2.504114119679756e-07,-3.3187119419126865,-0.5896946005502396,-0.14669729720958435,3,0.013754958840617856,7,0.02866426701573692,4,0.014909308175119068,3,0.013754958840617856
89,1078,2.504114119679756e-07,-3.333957377887827,-0.5904383549886181,-0.1503612866053496,3,0.013754958840617856,7,0.02866426701573692,4,0.014909308175119068,3,0.013754958840617856
90,1078,2.504114119679756e-07,-3.3433655761050596,-0.5915395756998435,-0.1539080730520138,3,0.013754958840617856,7,0.02866426701573692,4,0.014909308175119068,3,0.013754958840617856
91,1078,2.504114119679756e-07,-3.3425656595218523,-0.5948341924429832,-0.1558819750734348,3,0.013754958840617856,7,0.02866426701573692,4,0.014909308175119068,3,0.013754958840617856
92,1078,2.504114119679756e-07,-3.328833922624125,-0.6001140460290345,-0.15631847302652796,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
93,1078,2.504114119679756e-07,-3.314490525517149,-0.6071353246939369,-0.15621455234483042,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
94,1078,2.504114119679756e-07,-3.298326447357071,-0.615994287354261,-0.15583276689839878,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
95,1078,2.504114119679756e-07,-3.277777169374666,-0.6252940289149379,-0.15573147844321106,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
96,1078,2.504114119679756e-07,-3.2548971055717493,-0.634789971820496,-0.15599604129338468,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
97,1078,2.504114119679756e-07,-3.236579120754517,-0.6458107223388115,-0.15629363045654748,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
98,1078,2.504114119679756e-07,-3.2244207625499346,-0.6587801437109226,-0.15632964690367168,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
99,1078,2.504114119679756e-07,-3.216057591045523,-0.6727648558303432,-0.15606951337125605,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
100,1078,2.504114119679756e-07,-3.2109343085121895,-0.6867919024897249,-0.155602224326105,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
101,1078,2.504114119679756e-07,-3.2092169741190424,-0.6993290777667062,-0.15517421505115572,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
102,1078,2.504114119679756e-07,-3.1999015186607407,-0.7085150180135092,-0.15438074309744632,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
103,1078,2.504114119679756e-07,-3.1773305795354934,-0.7179077440782858,-0.15288101260845713,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
104,1078,2.504114119679756e-07,-3.148128247281088,-0.7262069809702074,-0.15024964300734975,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
105,1078,2.504114119679756e-07,-3.1028814763892085,-0.732871614211063,-0.14564844247717057,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
106,1078,2.504114119679756e-07,-3.0774166356655837,-0.7413826117930404,-0.14029693332464374,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
107,1078,2.504114119679756e-07,-3.051522853683953,-0.7475214685639698,-0.13420674523730955,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
108,1078,2.504114119679756e-07,-3.0282539887883724,-0.7514932017387246,-0.12708887859669604,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
109,1078,2.504114119679756e-07,-3.017728587727154,-0.7581862307075885,-0.1195733330873593,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
110,1078,2.504114119679756e-07,-3.0340763941237805,-0.7693715774213518,-0.12010685406861275,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
111,1078,2.504114119679756e-07,-3.0331370092769365,-0.7766021776165973,-0.12033367976132464,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
112,1078,2.504114119679756e-07,-3.0118396366344227,-0.7798079734232394,-0.12017608906955544,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
113,1078,2.504114119679756e-07,-2.9868937126505135,-0.7836906910717893,-0.11964379702450631,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
114,1078,2.504114119679756e-07,-2.9806480074978134,-0.7916477808713559,-0.11900118797155994,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
115,1078,2.504114119679756e-07,-3.000010583423651,-0.8005174090705673,-0.11831210142129109,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
116,1078,2.504114119679756e-07,-2.9876533068712905,-0.8058610137480815,-0.1177736301262126,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
117,1078,2.504114119679756e-07,-2.964210288952207,-0.8084857381455642,-0.11735633856740972,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
118,1078,2.504114119679756e-07,-2.9607854442601127,-0.8119852472207387,-0.11746626341045527,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
119,1078,2.504114119679756e-07,-2.9642934026439374,-0.8187892620353439,-0.11715204791241467,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
120,1078,2.504114119679756e-07,-2.983697441255072,-0.8278403297304848,-0.11683395877367693,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
121,1078,2.504114119679756e-07,-2.9576217884786313,-0.8304648853046775,-0.11629447072492893,3,0.013754958840617856,6,0.02591658478570254,3,0.012161625945084688,3,0.013754958840617856
122,1078,2.504114119679756e-07,-2.9314146819809603,-0.8291224357160485,-0.1158312055600254,5,0.021344914740380735,6,0.02591658478570254,1,0.004571670045321806,5,0.021344914740380735
123,1078,2.504114119679756e-07,-2.9115761618173,-0.8295394426310874,-0.11498828497493947,5,0.021344914740380735,6,0.02591658478570254,1,0.004571670045321806,5,0.021344914740380735
124,1078,2.504114119679756e-07,-2.8981844811671973,-0.8336647141903982,-0.11393397943684751,5,0.021344914740380735,6,0.02591658478570254,1,0.004571670045321806,5,0.021344914740380735
125,1078,2.504114119679756e-07,-2.886276482296548,-0.8389243313752537,-0.11293538876347967,5,0.021344914740380735,6,0.02591658478570254,1,0.004571670045321806,5,0.021344914740380735
126,1078,2.504114119679756e-07,-2.873873768533941,-0.842709529803792,-0.11206372839263357,5,0.021344914740380735,6,0.02591658478570254,1,0.004571670045321806,5,0.021344914740380735
127,1078,2.504114119679756e-07,-2.8502209455479197,-0.8450937677107195,-0.11118644664774271,5,0.021344914740380735,6,0.02591658478570254,1,0.004571670045321806,5,0.021344914740380735
128,1078,2.504114119679756e-07,-2.8463622482829707,-0.8510966934998739,-0.11027512763715291,5,0.021344914740380735,6,0.02591658478570254,1,0.004571670045321806,5,0.021344914740380735
129,1078,2.504114119679756e-07,-2.8809698442139964,-0.8542073763341814,-0.10658024270596503,5,0.021344914740380735,6,0.02591658478570254,1,0.004571670045321806,5,0.021344914740380735
130,1078,2.504114119679756e-07,-2.851924768345719,-0.8471544063975371,-0.10609498190634302,5,0.021344914740380735,6,0.02591658478570254,1,0.004571670045321806,5,0.021344914740380735
131,1078,2.504114119679756e-07,-2.8275883370402557,-0.8403288106439097,-0.10594983815730312,5,0.021344914740380735,6,0.02591658478570254,1,0.004571670045321806,5,0.021344914740380735
132,1078,2.504114119679756e-07,-2.8248974765657113,-0.8382529343642289,-0.10630342970719747,5,0.021344914740380735,6,0.02591658478570254,1,0.004571670045321806,5,0.021344914740380735
133,1078,2.504114119679756e-07,-2.829363263929727,-0.8361578894298615,-0.1067961667248596,5,0.021344914740380735,6,0.02591658478570254,1,0.004571670045321806,5,0.021344914740380735
134,1078,2.504114119679756e-07,-2.898777018653376,-0.8305336361451539,-0.11037760597910905,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
135,1078,2.504114119679756e-07,-2.8756931401501875,-0.8232266657079664,-0.11021434311754531,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
136,1078,2.504114119679756e-07,-2.8780248555376167,-0.8192953480081006,-0.10997459921194358,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
137,1078,2.504114119679756e-07,-2.87967341481568,-0.816101807224839,-0.10840346570668301,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
138,1078,2.504114119679756e-07,-2.8912266366663,-0.8097153052445099,-0.1080156690218469,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
139,1078,2.504114119679756e-07,-2.8829576493168205,-0.8057705150841736,-0.10736708796505322,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
140,1078,2.504114119679756e-07,-2.8884000208124476,-0.8095919961784238,-0.10653303645318785,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
141,1078,2.504114119679756e-07,-2.9015115087780616,-0.8169965733696846,-0.10542496857257162,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
142,1078,2.504114119679756e-07,-2.8897134097623676,-0.8195645231290966,-0.10396039146925383,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
143,1078,2.504114119679756e-07,-2.8572495208949173,-0.8175605799328606,-0.10219400019444735,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
144,1078,2.504114119679756e-07,-2.8394063474384574,-0.8182778666712153,-0.10033395759489291,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
145,1078,2.504114119679756e-07,-2.8369349566027564,-0.8215414620317208,-0.09830981551166065,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
146,1078,2.504114119679756e-07,-2.8153636956085717,-0.8217617898637191,-0.0959491159376007,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
147,1078,2.504114119679756e-07,-2.7658202471899997,-0.8189829596286708,-0.09320795632752744,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
148,1078,2.504114119679756e-07,-2.731934116255041,-0.8197117210905532,-0.0903319150659643,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
149,1078,2.504114119679756e-07,-2.7369697074053945,-0.8254738534008467,-0.08761782491493263,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
150,1078,2.504114119679756e-07,-2.75207445661554,-0.8306509445838896,-0.08513507635102564,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
151,1078,2.504114119679756e-07,-2.747176557928191,-0.8325466050063433,-0.08274120231133748,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
152,1078,2.504114119679756e-07,-2.738588889834501,-0.8345845836861668,-0.08038695689980972,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
153,1078,2.504114119679756e-07,-2.801847503966678,-0.844592040993509,-0.07838541270646342,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
154,1078,2.504114119679756e-07,-2.8425149939786993,-0.850818996972134,-0.07683585633415575,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
155,1078,2.504114119679756e-07,-2.8427898213242457,-0.8504730495623555,-0.07553392277771576,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
156,1078,2.504114119679756e-07,-2.832371417238652,-0.8493197678314671,-0.07424498685396562,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
157,1078,2.504114119679756e-07,-2.8412172222745644,-0.8520350019005606,-0.07293704040472547,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
158,1078,2.504114119679756e-07,-2.8598307595568393,-0.8547713701505106,-0.07176227559199919,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
159,1078,2.504114119679756e-07,-2.865061955586432,-0.8532209564847331,-0.07077372269887754,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
160,1078,2.504114119679756e-07,-2.868095710288009,-0.8508470530249105,-0.06978650562475494,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
161,1078,2.504114119679756e-07,-2.882731611103152,-0.8516725988631259,-0.06877232051977306,4,0.017314885633048026,6,0.02591658478570254,2,0.008601699152654515,4,0.017314885633048026
