accepted,alpha,controls_sha256,displacement_sha256,forward_iterations,gradient_inf,min_det_f,objective,trial
False,0.0078125,f93addc0e65166d2153a20439caf0d190569251c10a635cb0b43ec43f791f4d2,d80f81c3d1fa3d33c2f0a0c6fedda66a9d7b860e072e9b51e1c6af8415ba79d2,13,0.001181450146839385,-0.1346985812960785,0.01012237656975457,901
False,0.00390625,6bf95b0eb5d3b8459774cdfab31f21abeec0ccf55d7763b0ee7c7e5f3406cb8a,081097952abe0acfc9938b0ea2ce95e67035d02fb32dcb67ecacea2d617aff7c,14,0.001177322300819827,-0.1347712482548922,0.010122411757548905,902
False,0.001953125,48c34f89388bcbd10870259a8a39aeda741e0a05e3594c2fca335d5bdc8fd73b,c9f247d17c005d1425dd84a89e34e88a2ba29c406f53a205daf2f3510212a4c5,15,0.001175312508420307,-0.13480757870041493,0.010122429783253117,903
False,0.0009765625,831d9d8aafb86c641807b7e0ce81c4868a30a5519fc3202d2e5dce73b0b711d1,75cb04b394449a9e755575fbc433430c2a3c57f9fe0fec853dc898858275139d,15,0.001174315033668116,-0.13482574409038714,0.010122438354220938,904
False,0.00048828125,f346c789f4756f11e38cac51c74223bfa628e4dd09e0decdbf84dd249f8ea2bc,6a6e57a52d260d6c02d75f99e22ac5d76f37b71aa92a7407b74e4e481a569351,22,0.0011738272239627042,-0.13483482532002433,0.01012244334783065,905
False,0.000244140625,6a9c2e1a5f4ccecfbd7406c0a5cd71e5d9dc4fd86f53119f6b95ee0701975d77,06c94b0bbb09fdbb6d7163392608ec085f32e4a32da438a678837ffce0b4370e,21,0.0011735735342140476,-0.13483936504544292,0.01012244609192559,906
False,0.0001220703125,3baf9c259854a3ca6646975eea8d799c46779de3e0d6cdafd49d511a30029e76,32933d7451958e7189d76ed8fb8b788f63c4c6b553d1a7e3a73ae6b0e6db8237,32,0.0011734511637377153,-0.13484163803687402,0.010122446108014042,907
False,6.103515625e-05,2c4d32dced9bcee450014c96bdd3ddd65549acd7232a52160899bb0668da0a21,7c8f8f9396edb945c4be9086fe0e874db6baa193cba40abc0da95e37659e92f1,32,0.0011733948360085975,-0.13484277265212913,0.010122447068998047,908
False,3.0517578125e-05,aa4be61c7f7f810efdd64e0ac0d83e06d5040e56553f9df1fc85060cdedba8f1,ecbb7afc324858f7ef331cc3dc0d8a08a3ea1780f0c965644ed8813d610190dc,32,0.001173364156848362,-0.13484334028434938,0.010122447348116145,909
False,1.52587890625e-05,93c41649fb7ef07e7fb2978a019b1c1646b8ad8cc9d45b7e58208a510694d44e,12c79d4a2c2de7369c623e8cd962797fd18ab013d12a5a0c508803dd1bba57d3,32,0.0011733488226049265,-0.13484362409889467,0.010122447488620585,910
False,7.62939453125e-06,392e1be5db04af5bcee0fd263de51591e14325f75335acff89a313cbbac7847f,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799694325498869,-0.13486258751710722,0.010043806396672387,911
False,3.814697265625e-06,c9e0d0f3a1f7b578e22b4191c8c53ab737533701ec4ee5aefcd0ca354ce08da5,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799697111720379,-0.13486258751710722,0.010043806396672387,912
False,1.9073486328125e-06,eb69762de0282594ca1f50b9ab826dea02168b2d78a1acdef20b174515af2e6c,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799698504849822,-0.13486258751710722,0.010043806396672387,913
False,9.5367431640625e-07,41514adcce9b049bf3f30798f938787d8d96ae10440dc3056837e6a8188c49e0,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799699201411126,-0.13486258751710722,0.010043806396672387,914
False,4.76837158203125e-07,0c2a3e94ee15674c9ce4eaac29560a2f7819f373d515ec9e92f2a7727ee612ce,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799699549682706,-0.13486258751710722,0.010043806396672387,915
False,2.384185791015625e-07,6589236513e69b16aee2dae20cea19d06e4613cb24cb5d904c21969e0a239256,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799699723827717,-0.13486258751710722,0.010043806396672387,916
False,1.1920928955078125e-07,71f395071a9a44a2582f444eaf4036c0d8e495652226394618277d8cdfa5276c,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.00979969981090088,-0.13486258751710722,0.010043806396672387,917
False,5.960464477539063e-08,2bffb227b17e2c3585c05aeb1a0c7daf4cdb451832f3284b2efd0ad2769d6e7c,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799699854437401,-0.13486258751710722,0.010043806396672387,918
False,2.9802322387695312e-08,e937a0a61d87574573735cf8cf633f5c21af6206bae856cd8133aceba19ad28e,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799699876194655,-0.13486258751710722,0.010043806396672387,919
False,1.4901161193847656e-08,526a6efad635b2d6a2360ff114af854622bef3b29323b82924606f376bb733c6,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799699887086953,-0.13486258751710722,0.010043806396672387,920
False,7.450580596923828e-09,d7b7c8564837b00f9c605a9233b34ae79a22ebe66a919974b57b118d5253b367,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799699892525982,-0.13486258751710722,0.010043806396672387,921
False,3.725290298461914e-09,28c49bcfda7be511af869782433e74355ef9c212972545892dd9fe86c9b54914,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799699895257998,-0.13486258751710722,0.010043806396672387,922
False,1.862645149230957e-09,cf414fd6a5827dc87553e0739edd28f03118b581fdba9334f52a254e4f928b95,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799699896596951,-0.13486258751710722,0.010043806396672387,923
True,9.313225746154785e-10,308519219c634f8f0316f786c5bbd9f8d32bce3c90dc9d22e30ec51ce1e585c2,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799699897278363,-0.13486258751710722,0.010043806396672387,924
False,1.0,f8eee2912228b4ef45a3f7a3a456d95db8c94e5ac91f29499e45f13b42256cf4,73ac41783296bc9dd7e2cbc5958249c9805691c00af527b765e0f0a88535d666,33,0.002810763615260412,-0.11607688955171505,0.010116528705111138,925
False,0.5,f72948c26d814147e69401638ff2bb7b74d7abdb0db32bc4dbf9fa441b7d4446,98cfe5656c9721780c4ee014953e46c3214bdc3ac62ff9b2e496681ef1c6faa3,16,0.004308734600259477,-0.12550151433017911,0.010049193115948736,926
False,0.25,90ff37aa999c15174ce532e5442e670f19c961ef462e490304891ed3387fbb8e,4ce3547e2bc9f00b9584a058c39784943d12b45b807aded7da32e27148629841,27,0.002499191021757006,-0.13019915810388133,0.010121290929953989,927
False,0.125,4bd573ec3d4a3b440252c4136b486371215941257fa5432685e6cca61a1ee7c4,b7d58f63b57e582d4fc3112ff7dc04189b03279aef2a10ca7dd605d39415e982,26,0.0013922701637897827,-0.13252516043445997,0.010121508824864484,928
False,0.0625,1696bda8e8ea04d9eab2b5830e54d4243a04213d5aeaf0242785b5c15b258327,e62c210a46c126df32ee33d1f39a34fc3ab951fc431c6f62a5720aa5fb150d4c,15,0.0012542739249549527,-0.13368539160926854,0.010121922501069368,929
False,0.03125,ef985ee25fec49b6d1af52b042d1c7dd99bd19349ec37498547f96f0fea2018d,040317425162169b4cc0b8ee8569fc9b18616cb6704032404476cc93e3e00694,24,0.0012085413533028402,-0.13426486060468887,0.010122173414041794,930
False,0.015625,94e19889212eff562745f060db425b46db752b0c06c7a6c594b22bf9f72ff668,5fab743df8349f005c51f1d86d561444f3ad2675597f4655deaed56358ec8e8c,24,0.0011897773188270396,-0.1345544377792985,0.010122307245339733,931
False,0.0078125,307fd2e0b9b527d433c3cedec55bcd725246d9485a56c8a4563c8bb17723ada9,7d2959ae0d5e3eb6693a3e5e3120e5cbd5e789c308c7fa6d7b46e38093961dd8,13,0.0011812727456215933,-0.13469918292994776,0.010122378080720633,932
False,0.00390625,c39db3adb1c47fef7f7e30ad3688324ddc009539cd56e6f6998f7880dc94f4c0,cb982ccf49112f4911a7dad23d9f637e51026bedab9ecb6d96e4d91c3c943f94,14,0.0011772315457862378,-0.1347715488512164,0.010122413592681349,933
False,0.001953125,59bdf85d4864f7a527a505de9dfd7b17c73852018cac09caa9be97a3a4aed1f7,042632fbce280b1734096262d3ff021944d6c35e425be3c6826a5b05ab7fc653,15,0.0011752723682825006,-0.1348077297748106,0.010122429842445725,934
