step,evaluation_success,objective,gradient_rms,forward_converged,forward_iterations,forward_failure,line_search_failures,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv,inverted_cell_fraction,inverted_rest_measure_fraction,negative_det_f_mean,top_target_mae,top_target_rms,top_target_max,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_neighbor_jump_rms,activation_rms,detF/min,detG/min,detAinv/min,target/rms,target/mae,target/max,activation/rms,activation/neighbor_jump_rms
0,1,0.0014813333333333334,0.006309976048086255,1,1,,0,3.670949992239779e-18,1.0,1.0,1.0,0.0,0.0,0.0,0.03666666666666667,0.038488093396962825,0.05,0.038488093396962825,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.038488093396962825,0.03666666666666667,0.05,0.0,0.0
1,1,0.0010353910685537196,0.005595968090836428,1,5,,0,4.131646367408666e-11,1.0000000000000018,0.9400004764838071,0.9400004764838054,0.0,0.0,0.0,0.03056552070484876,0.03217749319872074,0.04210430733301712,0.032150959811777235,0.0010911248421410248,0.14246244297572205,5.330193155990047,0.0,0.029997745537619788,1.0000000000000018,0.9400004764838071,0.9400004764838054,0.03217749319872074,0.03056552070484876,0.04210430733301712,0.029997745537619788,0.0
2,1,0.0006540575213561978,0.004586965534772782,1,5,,0,5.178840642843842e-10,1.0000000000000018,0.8815023878972879,0.8815023878972863,0.0,0.0,0.0,0.024211534794316373,0.02557454831187049,0.03374963705183667,0.025407253668883186,0.002284191463693677,0.2977301056762914,11.09540230566213,0.0,0.05782642606060165,1.0000000000000018,0.8815023878972879,0.8815023878972863,0.02557454831187049,0.024211534794316373,0.03374963705183667,0.05782642606060165,0.0
3,1,0.000360463830325562,0.003310521654243212,1,6,,0,7.06143376352084e-11,1.0000000000000018,0.8245731084073478,0.8245731084073462,0.0,0.0,0.0,0.017957913797218793,0.01898588502876708,0.025149824489394384,0.018343815525193638,0.003616088704181592,0.47007994646293316,17.402596936636677,0.0,0.08579413015078699,1.0000000000000018,0.8245731084073478,0.8245731084073462,0.01898588502876708,0.017957913797218793,0.025149824489394384,0.08579413015078699,0.0
4,1,0.00017464129515180058,0.0018365494199676022,1,9,,0,5.948338460603133e-11,1.0000000000000018,0.7698877503515409,0.7698877503515396,0.0,0.0,0.0,0.012480361127803583,0.013215191831819944,0.017104136766691404,0.01117259738154258,0.005068557799702836,0.656114397937059,23.999526526196284,0.0,0.11323263287915296,1.0000000000000018,0.7698877503515409,0.7698877503515396,0.013215191831819944,0.012480361127803583,0.017104136766691404,0.11323263287915296,0.0
5,1,0.00010664480812206107,0.0002774964744179609,1,11,,0,4.339547950541951e-10,1.0000000000000018,0.7190000955817913,0.7190000955817901,0.0,0.0,0.0,0.0095617777727845,0.01032689731342677,0.0146180489237756,0.004607704665412906,0.0065462358462858375,0.8416683127107734,30.275147973241026,0.0,0.13905566664398777,1.0000000000000018,0.7190000955817913,0.7190000955817901,0.01032689731342677,0.0095617777727845,0.0146180489237756,0.13905566664398777,0.0
6,1,0.00014215487102433585,0.0013390174999425904,1,10,,0,3.0436553185736967e-09,0.9967478926531056,0.6738425416569145,0.6760410998846519,0.0,0.0,0.0,0.011448425164757352,0.011922871760793867,0.016693609034429974,0.004153816472475442,0.007867595839676984,1.0029218924303875,35.58241738533491,0.0,0.160157879628184,0.9967478926531056,0.6738425416569145,0.6760410998846519,0.011922871760793867,0.011448425164757352,0.016693609034429974,0.160157879628184,0.0
7,1,0.0002227227812366979,0.0026049829297629707,1,8,,0,5.274492341420375e-09,0.9583322058840655,0.6197375307964329,0.6466834016339064,0.0,0.0,0.0,0.014630125791803058,0.014923899665861396,0.01973970923910651,0.008149013842903712,0.008854306758407485,1.116626268507264,39.578625185503036,0.0,0.1728385051784192,0.9583322058840655,0.6197375307964329,0.6466834016339064,0.014923899665861396,0.014630125791803058,0.01973970923910651,0.1728385051784192,0.0
8,1,0.00028695558665711306,0.003185322568388244,1,8,,0,1.3795228272673727e-10,0.9362749639872678,0.5905889140076863,0.6307857592310002,0.0,0.0,0.0,0.01667470558360895,0.0169397634770121,0.021465811087342433,0.010659991226726222,0.009445615999012327,1.1829860758387563,42.14242089598682,0.0,0.1783846241067303,0.9362749639872678,0.5905889140076863,0.6307857592310002,0.0169397634770121,0.01667470558360895,0.021465811087342433,0.1783846241067303,0.0
9,1,0.0003102168152355024,0.0033975369840884184,1,4,,0,1.0799904531177087e-10,0.9313911027748656,0.582456984135696,0.62536240941147,0.0,0.0,0.0,0.01734291056958831,0.01761297292439588,0.021953640636450517,0.011572795079567237,0.009675884565530406,1.2099825121096568,43.08156289466497,0.0,0.17887590221778282,0.9313911027748656,0.582456984135696,0.62536240941147,0.01761297292439588,0.01734291056958831,0.021953640636450517,0.17887590221778282,0.0
