baseline_case,best_activation_jump_rms_delta,best_curvature_rms_delta,best_highpass_rms_delta,best_laplacian_rms_delta,best_slope_rms_delta,best_target_mae_delta,best_target_max_delta,best_target_rms_delta,case_name,changed_factors,dimension,is_controlled_ofat,valid_best_activation_jump_rms_delta,valid_best_curvature_rms_delta,valid_best_highpass_rms_delta,valid_best_laplacian_rms_delta,valid_best_slope_rms_delta,valid_best_target_mae_delta,valid_best_target_max_delta,valid_best_target_rms_delta
baseline,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,baseline,,2d,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
baseline,0.17877124119408516,-9.57988697756465,-0.0008558981401889894,,-0.04449183865774109,-0.0012696746894096534,-0.0028408403439318672,-0.001412017950791928,energy-linear,energy,2d,True,0.17877124119408516,-9.57988697756465,-0.0008558981401889894,,-0.04449183865774109,-0.0012696746894096534,-0.0028408403439318672,-0.001412017950791928
baseline,0.021191613930151787,13.291135468752485,0.002054194926297055,,0.19368780043799377,0.0018312673044664444,0.017853949120479832,0.0031552386604213325,height-high,height,2d,True,0.021191613930151787,13.291135468752485,0.002054194926297055,,0.19368780043799377,0.0018312673044664444,0.017853949120479832,0.0031552386604213325
baseline,-0.1387850178169868,-8.312506899419567,-0.0009456910547844061,,-0.09836968107802627,-0.0011894685872960336,-0.0019717848927090133,-0.0012791800473096928,height-low,height,2d,True,-0.1387850178169868,-8.312506899419567,-0.0009456910547844061,,-0.09836968107802627,-0.0011894685872960336,-0.0019717848927090133,-0.0012791800473096928
baseline,-0.04913050319584572,-5.352873312138264,-0.0005102482507689084,,-0.0330135512304591,-0.0008654463110174082,0.0003414191922043448,-0.0006882819125100803,loss-l1,loss,2d,True,-0.04913050319584572,-5.352873312138264,-0.0005102482507689084,,-0.0330135512304591,-0.0008654463110174082,0.0003414191922043448,-0.0006882819125100803
baseline,0.041616701964270475,2.932914785661536,0.0004232856102523862,,0.037587587192139865,0.0012950467428466369,-0.00016982675928808129,0.001203789354003811,loss-linf,loss,2d,True,0.041616701964270475,2.932914785661536,0.0004232856102523862,,0.037587587192139865,0.0012950467428466369,-0.00016982675928808129,0.001203789354003811
baseline,-0.016646367387914696,2.366241837543182,-0.0006148503764376175,,-0.021744609254052916,-0.0006241631342645346,-0.0014658361887173177,-0.0007758194495096658,mesh-dense,resolution,2d,True,-0.016646367387914696,2.366241837543182,-0.0006148503764376175,,-0.021744609254052916,-0.0006241631342645346,-0.0014658361887173177,-0.0007758194495096658
baseline,-0.112236023924454,-9.588663608082843,-0.000873339119486014,,-0.04546518580995683,-0.0012723924428782048,-0.0027782296793885603,-0.0014123371646268539,mesh-medium,resolution,2d,True,-0.112236023924454,-9.588663608082843,-0.000873339119486014,,-0.04546518580995683,-0.0012723924428782048,-0.0027782296793885603,-0.0014123371646268539
