activation_neighbor_jump_rms,activation_rms,adjoint/absolute_residual,adjoint/best_solver,adjoint/relative_residual,adjoint/result,adjoint/success,elapsed_s,error_mae,error_max,error_rms,evaluation_success,forward/grad_norm,forward/result,forward/steps,forward/success,grad_norm,learning_rate,loss,min_det_ainv,min_det_f,min_det_g,step,top_curvature_rms,top_highpass_rms,top_laplacian_rms,top_slope_rms
0.0,0.0,9.728955174853316e-06,0,0.00047671880356781244,success,True,0.2797664399840869,0.02312,0.05,0.02721088,True,0.0,primary_success,1,True,0.0002877097205062496,0.02,0.02312,1.0,0.9999999999999998,0.9999999999999998,0,0.0,0.0,0.0,0.0
0.0016905768149851179,0.015390455395085252,1.0083112385718863e-05,0,0.0004940725069002242,success,True,0.3314366030099336,0.021860743107092524,0.048666678338194796,0.026050514468756208,True,3.592406175725825e-07,primary_success,104,True,0.00030929042614791415,0.0198,0.021860743107092528,0.9402072954833097,0.9767308157982593,0.9538219810909465,1,0.2826364581930719,7.76068815597998e-05,0.27214483942404044,0.011433535147056712
0.003594408340763043,0.030732714778514622,1.0183529563048237e-05,0,0.0004989929485893636,success,True,0.33250242701615207,0.020530655257476885,0.047096920639051264,0.024857733344336462,True,3.524450802185387e-07,primary_success,105,True,0.0003448912071026522,0.019602,0.020530655257476885,0.8815253599313178,0.9572548405148683,0.9245898330222637,2,0.5697763424142155,0.00015888474279189476,0.5493709985803741,0.024448732637459596
0.005834092953800611,0.04581145057763645,9.839575364733147e-06,0,0.0004821391928719242,success,True,0.3151938309893012,0.019122142261523523,0.04554430270229223,0.02364410524587728,True,3.140412523064349e-07,primary_success,97,True,0.0003718540596505521,0.01940598,0.019122142261523527,0.825038395597482,0.9383446754425994,0.8797312598931009,3,0.8190426953663223,0.0002388860279696662,0.8042252316450004,0.03808481129560986
0.008612543153769912,0.06090547696297584,1.0174965300042872e-05,0,0.0004985732997021007,success,True,0.33297827999922447,0.017683264217036563,0.043940236875046175,0.022396200759482565,True,3.1147318319501983e-07,primary_success,103,True,0.0004287863081486315,0.0192119202,0.017683264217036566,0.7696548401398072,0.9152461053084807,0.839789441870953,4,1.1124549916716193,0.000325222298544413,1.0996291115665964,0.05347462728574932
0.011645656848901469,0.07550845965924917,1.0117128893057182e-05,0,0.0004957393157598019,success,True,0.35965674999170005,0.016233282066346055,0.0425235907775551,0.021143682009125506,True,2.8513610462222524e-07,primary_success,120,True,0.0004772801246018749,0.019019800998,0.016233282066346055,0.7151508105530063,0.8877052827352758,0.7955953041206878,5,1.3833161877037758,0.00040722315573364355,1.3699649264330562,0.06888072419203888
0.015116818653221452,0.0894179408308959,9.809691967119704e-06,0,0.00048067490638886544,success,True,0.3544867299788166,0.014830023285149792,0.04109879226373159,0.019882413704937974,True,2.710444144719683e-07,primary_success,108,True,0.0005146330872194304,0.01882960298802,0.014830023285149794,0.6641158247510784,0.8663720377198775,0.7453299649065366,6,1.6509158620808573,0.0004856894692749808,1.636159060390218,0.08401997898574241
0.019055678125254306,0.10233390704009995,9.866269744201034e-06,0,0.00048344721746585063,success,True,0.3534812489815522,0.01358342952200632,0.03974100090927532,0.01862055419010421,True,2.413404999646268e-07,primary_success,109,True,0.000548357271651216,0.0186413069581398,0.013583429522006318,0.6162779038441618,0.8519108337699136,0.6856990207537127,7,1.8859677894680862,0.0005532398067772718,1.868739986829569,0.09769817141134497
0.02351863170889091,0.11405106940563857,9.776886007625812e-06,0,0.00047906741437366473,success,True,0.504776118992595,0.012466351286512151,0.038395577860538675,0.017341610821297603,True,2.153634192993146e-07,primary_success,200,True,0.0006246938640653009,0.0184548938885584,0.012466351286512153,0.567399253753695,0.6691011345555282,0.6175330375350528,8,2.3072891934057878,0.0006604508489318646,2.2779677654799553,0.10986997894050887
0.028198774723195364,0.12437764028414443,1.0065029217186228e-05,0,0.0004931864316421251,success,True,0.43412156400154345,0.011321042398872617,0.03675054051390438,0.0160255925681693,True,1.8535972186790393e-07,primary_success,159,True,0.0007103092230487533,0.018270344949672817,0.011321042398872619,0.5206357118708903,0.7099954421788843,0.557618351465378,9,2.3291015339958303,0.0006548058729311983,2.3016373882341714,0.11643539418387587
