candidate,young_min_scale,prestrain_gain,r0_classification,r1_classification,r0_fidelity,r1_fidelity,fidelity_difference,displacement_difference_fraction_of_target,worst_inverted_tets,worst_det_f_q001,worst_det_f_min,worst_skin_folds,worst_skin_area_q001,worst_skin_area_q999,classification_match,branch_unstable,robust_pass,ineligible_reasons
e075-p050,0.75,0.5,admissible,admissible,0.9456256761027707,0.9456711121707823,4.5436068011550645e-05,0.00017030234002677643,0,0.938262243699298,0.4182158098842027,0,0.8329453593793048,1.0041800305665116,True,False,True,
e075-p075,0.75,0.75,admissible,admissible,0.9240500705388858,0.9240873170049972,3.724646611147353e-05,0.00014409312788262686,0,0.9077345263976427,0.3221915341372572,0,0.7600406069647307,1.0059192922622546,True,False,True,
e075-p100,0.75,1.0,physical-inadmissible,admissible,0.9067229898544555,0.9067358770658488,1.2887211393253217e-05,0.000497017812774052,3,0.8780542037437608,-0.9360162759606455,3,0.6932152637451654,1.0073657060085035,False,True,False,both replicate physical-gate sets must pass; any replicate inversion or skin fold is branch-unstable; replicate scientific classifications disagree
