x,ux,uy,target_uy,smooth_uy,highpass_uy
0.005,-0.0015701758076120433,0.005321950901538841,0.1,0.011118671092562645,-0.005796720191023804
0.01,-0.003468570008394907,0.009644083328750113,0.1,0.013026503903554323,-0.00338242057480421
0.015,-0.005482230193067745,0.013332325912213167,0.1,0.01521580710830546,-0.0018834811960922928
0.02,-0.007498396823810544,0.016766870621031073,0.1,0.01763129858692289,-0.0008644279658918154
0.025,-0.00945927954017036,0.020092645644522945,0.1,0.020199824745467602,-0.0001071791009446578
0.03,-0.01129847114306621,0.023325146414702132,0.1,0.02283715718641021,0.00048798922829192126
0.035,-0.01295764334809271,0.02646501534503376,0.1,0.025454649750817557,0.0010103655942162032
0.04,-0.01437906332763245,0.029496051607137967,0.1,0.027964830834550394,0.0015312207725875736
0.045,-0.015502775868644516,0.03238193067516281,0.1,0.030286129528092384,0.0020958011470704266
0.05,-0.0162641097229922,0.035066844711590266,0.1,0.03234772209938433,0.002719122612205936
0.055,-0.016599241169696407,0.03746917823639744,0.1,0.03409550031131441,0.0033736779250830295
0.06,-0.01648227194819371,0.03951268486389843,0.1,0.035499468945161754,0.0040132159187366775
0.065,-0.01610382515968661,0.04140359856543619,0.1,0.03656159923360303,0.004841999331833158
0.07,-0.015069219782987982,0.042528925139912,0.1,0.0373219101069877,0.005207015032924298
0.075,-0.01224374720007128,0.0403961395453775,0.1,0.0378599540504965,0.0025361854948810006
0.08,-0.010544191218825648,0.03956537213783237,0.1,0.038290064376079916,0.001275307761752456
0.085,-0.009185521743233005,0.0364608688606186,0.1,0.038749075818225585,-0.0022882069576069877
0.09,-0.008130853107095267,0.03396954815617629,0.1,0.039378299272998185,-0.005408751116821896
0.095,-0.00746985619232591,0.03338569928686629,0.1,0.040303426341873866,-0.006917727055007573
0.1,-0.0075311243883683515,0.03512278437637651,0.1,0.04161598549541167,-0.006493201119035161
0.105,-0.008197998339839268,0.03849186064096524,0.1,0.04335925990185104,-0.0048673992608858005
0.11,-0.008785051315426198,0.04185443179327352,0.1,0.04552088896412127,-0.0036664571708477506
0.115,-0.009105030966947161,0.04536102621123274,0.1,0.04803149841078285,-0.0026704721995501127
0.12,-0.008905971818046428,0.0491499886558499,0.1,0.05076852960032972,-0.0016185409444798224
0.125,-0.00812720905077257,0.05303490469903254,0.1,0.05356412818447496,-0.0005292234854424177
0.13,-0.006363422869173373,0.05739461180432242,0.1,0.05621706193302171,0.001177549871300712
0.135,-0.003246513886545196,0.062271545569408365,0.1,0.05850911794189141,0.003762427627516954
0.14,0.0016133251424879501,0.06756276559209735,0.1,0.060226195803587915,0.007336569788509439
0.145,0.008341627595650368,0.07294637128994502,0.1,0.061182637545855574,0.011763733744089448
0.15,0.020192821589805815,0.07642993410920068,0.1,0.061245461985712575,0.015184472123488106
