x,ux,uy,target_uy,smooth_uy,highpass_uy
0.005,-0.0031827119883662703,0.0031433844004343813,0.1,0.01025137295351363,-0.00710798855307925
0.01,-0.008647428441232587,0.011494865611941478,0.1,0.012542973206753023,-0.001048107594811545
0.015,-0.010965873899401226,0.01227382311573332,0.1,0.0151867228240956,-0.0029128997083622803
0.02,-0.014319744482690652,0.016239706326516064,0.1,0.018139425900346715,-0.0018997195738306508
0.025,-0.017665799048070117,0.020174720631039623,0.1,0.02134325616441563,-0.0011685355333760049
0.03,-0.020933551675546825,0.024042572170821033,0.1,0.024730579374807982,-0.0006880072039869498
0.035,-0.02409824980277539,0.027879488595547182,0.1,0.028227182826080537,-0.0003476942305333554
0.04,-0.027152390757233913,0.03173834822054052,0.1,0.031753795892444654,-1.544767190413132e-05
0.045,-0.03008990752669133,0.03566977591746136,0.1,0.03522629568836754,0.0004434802290938164
0.05,-0.032891452130145826,0.039718477864128014,0.1,0.03855664510140172,0.0011618327627262934
0.055,-0.0354950234144581,0.04389525862454214,0.1,0.04165570301891517,0.0022395556056269694
0.06,-0.03771703110518295,0.04811023093453547,0.1,0.044439621499763,0.0036706094347724663
0.065,-0.03912088369881183,0.05204756901274119,0.1,0.04683952424802818,0.00520804476471301
0.07,-0.03391379375999783,0.055275094764804265,0.1,0.04881289379370017,0.006462200971104094
0.075,-0.028013231140813995,0.05591239058808263,0.1,0.050354220238353474,0.0055581703497291565
0.08,-0.02232553259302558,0.055448145171261155,0.1,0.051501325302171275,0.003946819869089881
0.085,-0.017075144769632192,0.05540668016288076,0.1,0.0523352060015707,0.00307147416131006
0.09,-0.012053707847270393,0.05663456013872195,0.1,0.05297198685250349,0.003662573286218461
0.095,-0.01220365648974488,0.051578398714548536,0.1,0.053547153647765175,-0.001968754933216639
0.1,-0.0112835794141848,0.04748919708880139,0.1,0.05419639627293269,-0.0067071991841313044
0.105,-0.011923756077938216,0.04793561888674921,0.1,0.055035402903539254,-0.007099784016790046
0.11,-0.013037727054883355,0.05232818748170497,0.1,0.05614468376335141,-0.003816496281646438
0.115,-0.013930886425038029,0.055226129874560735,0.1,0.05756075699514947,-0.0023346271205887323
0.12,-0.01584230969768596,0.058107273168187146,0.1,0.059274104633501384,-0.0011668314653142386
0.125,-0.018034632652078976,0.058713300938626034,0.1,0.0612317609651782,-0.0025184600265521634
0.13,-0.020114388059365967,0.06301860232980869,0.1,0.06334185450647128,-0.0003232521766625973
0.135,-0.021778959294025544,0.06574262074825465,0.1,0.06547834465313115,0.00026427609512350014
0.14,-0.022869233412889763,0.06709814697758246,0.1,0.06748682937826254,-0.00038868240068008764
0.145,-0.013985422005898937,0.06995906704244938,0.1,0.06919348719148564,0.0007655798509637324
0.15,-0.007706441938411495,0.07431506413716422,0.1,0.0704197421245154,0.003895322012648819
0.155,0.0021170246956084045,0.08244282941989549,0.1,0.0710031773274684,0.011439652092427088
0.16,0.01567979891573979,0.08524816157730251,0.1,0.07082178027034569,0.014426381306956823
0.165,0.0269233082547663,0.08132042590090625,0.1,0.06981560566680448,0.011504820234101779
0.17,0.037933011613775,0.07823575844551847,0.1,0.0679991571072283,0.010236601338290172
0.17500000000000002,0.03950360416870941,0.07055207496137732,0.1,0.06545940006983718,0.005092674891540139
0.18,0.0420060613020018,0.06377624365670774,0.1,0.06233884664739158,0.001437397009316159
0.185,0.044343297185678414,0.057839488525414234,0.1,0.0588072939732235,-0.000967805447809264
0.19,0.045321805629865625,0.051585859361072184,0.1,0.05503069837065869,-0.0034448390095865034
0.195,0.04657693980145496,0.04688471545722079,0.1,0.05114528252587363,-0.00426056706865284
0.2,0.048103126835466664,0.04437837582475311,0.1,0.047243459899165285,-0.0028650840744121747
0.20500000000000002,0.049631578914441095,0.043177084999540975,0.1,0.04337380645484458,-0.00019672145530360424
0.21,0.05098350229557506,0.042713950411819517,0.1,0.03955318949629459,0.0031607609155249253
0.215,0.051942217431370605,0.038463361293894736,0.1,0.03578494582294976,0.002678415470944974
0.22,0.05216480937933194,0.0330788213049871,0.1,0.03207679014053212,0.0010020311644549779
0.225,0.05186120402260364,0.027811468255451936,0.1,0.02845231532292624,-0.0006408470674743039
0.23,0.05098581352367924,0.022663450041248347,0.1,0.024954004886625518,-0.0022905548453771712
0.23500000000000001,0.04997768305523804,0.01846844509365996,0.1,0.021638467671813575,-0.0031700225781536133
0.24,0.04853593195301602,0.01499208877794493,0.1,0.018566815911934043,-0.003574727133989113
0.245,0.04663734942514217,0.012093318278412025,0.1,0.015794318686535976,-0.0037010004081239507
0.25,0.045036869930434334,0.01008648643127506,0.1,0.013361913535890347,-0.003275427104615288
0.255,0.04252250492182269,0.007846431234982423,0.1,0.011291564168977407,-0.003445132933994984
0.26,0.04046317713735899,0.006301672121073983,0.1,0.009585711679917511,-0.0032840395588435286
0.265,0.0387473220061028,0.0052772136073186045,0.1,0.00822912932042764,-0.0029519157131090348
0.27,0.03739848335330045,0.004752657896995399,0.1,0.00719273860155267,-0.002440080704557271
0.275,0.03627848791840833,0.004542028715833962,0.1,0.006437892505350502,-0.00189586378951654
0.28,0.03533196815775751,0.004548187020375137,0.1,0.005920555499061748,-0.0013723684786866109
0.28500000000000003,0.03450306363707162,0.004675706470293736,0.1,0.005595144494443524,-0.0009194380241497879
0.29,0.03375456205327329,0.004857776361669852,0.1,0.005417726789322756,-0.0005599504276529036
0.295,0.03306494710187094,0.005054766407073771,0.1,0.005348431534105249,-0.0002936651270314776
0.3,0.03242091351742418,0.005244201684080061,0.1,0.0053530917565072595,-0.0001088900724271983
0.305,0.03181382739971996,0.005414591214221128,0.1,0.005403888904715192,1.0702309505936092e-05
0.31,0.031237778157467765,0.005561159212624732,0.1,0.005479434256871817,8.172495575291434e-05
0.315,0.03068852432930228,0.0056830256192259366,0.1,0.005564237677946467,0.0001187879412794697
0.32,0.030162874476700016,0.005781366866310749,0.1,0.005647784562665784,0.00013358230364496522
0.325,0.029658321278255576,0.005858288525094328,0.1,0.005723504440190074,0.00013478408490425354
0.33,0.029172811724766923,0.005916168613057537,0.1,0.005787739121822301,0.00012842949123523673
0.335,0.028704602808954708,0.005957310630209711,0.1,0.005838843041748343,0.00011846758846136788
0.34,0.02825216919840365,0.00598378511405088,0.1,0.005876490962467882,0.00010729415158299786
0.34500000000000003,0.02781414342226046,0.005997379167761295,0.1,0.005901115372764196,9.626379499709861e-05
0.35000000000000003,0.02738927737270958,0.0059996035426128965,0.1,0.005913567525922049,8.603601669084776e-05
0.355,0.02697641818343773,0.005991726823606284,0.1,0.005914876008452358,7.685081515392597e-05
0.36,0.0265744938761921,0.005974819099215464,0.1,0.005906108087396222,6.871101181924171e-05
0.365,0.02618250554375707,0.0059497954986576776,0.1,0.005888291858521733,6.150364013594433e-05
0.37,0.025799523736569862,0.005917454832910531,0.1,0.005862382503750818,5.5072329159713135e-05
0.375,0.025424687355204312,0.005878511421986858,0.1,0.0058292525929141276,4.925882907273055e-05
0.38,0.02505720382412936,0.005833619788978196,0.1,0.005789695609533059,4.392417944513744e-05
0.385,0.02469634968392362,0.005783392739222756,0.1,0.005744435432480226,3.895730674252987e-05
0.39,0.024341471018064408,0.005728413729400657,0.1,0.005694137331314265,3.427639808639173e-05
0.395,0.023991983344744547,0.0056692445579191765,0.1,0.0056394181386072335,2.9826419311942964e-05
