area/deformed_total,area/max,area/mean,area/median,area/min,area/p01,area/p05,area/p95,area/p99,area/rest_total,area/rms,area/total_rel_change,case,label,mesh/n_points,mesh/n_tets,output/surface,output/volume,surface/n_isface_triangles,volume/deformed_total,volume/max,volume/mean,volume/median,volume/min,volume/n_inverted,volume/p01,volume/p05,volume/p95,volume/p99,volume/rest_total,volume/rms,volume/total_rel_change
429.9369609262646,2.0091126817558056,0.010944341224096463,7.073301273585741e-07,-0.890824117217955,-0.3172110012104795,-0.22133413969559085,0.34858495456419203,0.5880941166820559,430.17431968961205,0.16980590487979486,-0.0005517734380767747,snh1-515k-expression000-smas1,Target,58651,253876,/home/liblaf/github/liblaf/apple/exp/2026/06/10/surface-prestrain/data/30-area-change-snh1-515k-expression000-smas1-isface.vtp,/home/liblaf/github/liblaf/apple/exp/2026/06/10/surface-prestrain/data/30-volume-change-snh1-515k-expression000-smas1.vtu,13079,811.2059486967864,55.703842453803304,0.17346300384189145,0.0,-0.9999862461723061,5711,-0.6488523964408024,-0.02386024902961817,0.8991059692603114,4.95281179693597,789.3602375680567,1.0504442092973771,0.027675210998763022
430.5472208647301,1.2596372538151486,0.012271221910570241,0.0033095300860737087,-0.5740211811412402,-0.2928293021594995,-0.19012514629216465,0.29322252586825387,0.5056113588084618,430.17431968961205,0.14562011503895306,0.0008668606145227908,snh1-515k-expression000-smas1,PreviousInverse,58651,253876,/home/liblaf/github/liblaf/apple/exp/2026/06/10/surface-prestrain/data/30-area-change-snh1-515k-expression000-smas1-isface.vtp,/home/liblaf/github/liblaf/apple/exp/2026/06/10/surface-prestrain/data/30-volume-change-snh1-515k-expression000-smas1.vtu,13079,786.6236484034969,2.371520074745829,-0.004931154849097798,2.9331292922152308e-05,-0.9867612972549823,27,-0.43453066392868495,-0.1391340438963546,0.12080522799792992,0.23637865723865803,789.3602375680567,0.10175001358053903,-0.0034668444574698087
422.7789641411947,0.02612211225136818,-0.017699268005469504,-0.017347073197300777,-0.08186678569877737,-0.04049823248283189,-0.029616841003014826,-0.008317105571352039,-0.0010409625552912913,430.17431968961205,0.019017481042870897,-0.01719153192071854,snh1-515k-expression000-smas1,Prestrain,58651,253876,/home/liblaf/github/liblaf/apple/exp/2026/06/10/surface-prestrain/data/30-area-change-snh1-515k-expression000-smas1-isface.vtp,/home/liblaf/github/liblaf/apple/exp/2026/06/10/surface-prestrain/data/30-volume-change-snh1-515k-expression000-smas1.vtu,13079,785.8941550169857,2.348888923219063,-0.006010625709327502,5.8470513540576086e-05,-0.9837942093825351,27,-0.4392053862476605,-0.14439916862196947,0.1211314107492849,0.23526937352640148,789.3602375680567,0.10278288516543833,-0.004391002214337192
436.08258521851656,5.048755733597871,0.005209127583606913,0.0014486905423259921,-0.8761254266761266,-0.3176271963939119,-0.20554365733878327,0.259235400124903,0.5153565305938731,436.1964721321799,0.1481137794201252,-0.00026109086372627655,snh1-3152k-expression000-smas100,Target,225052,1127541,/home/liblaf/github/liblaf/apple/exp/2026/06/10/surface-prestrain/data/30-area-change-snh1-3152k-expression000-smas100-isface.vtp,/home/liblaf/github/liblaf/apple/exp/2026/06/10/surface-prestrain/data/30-volume-change-snh1-3152k-expression000-smas100.vtu,34372,802.6077138709536,76.46143904382464,0.12749398482628263,0.0,-0.9999999999999962,12860,-0.34717148045731067,0.0,0.20137373241816525,3.8471203287952997,778.4024852705625,1.0515354305395581,0.031096032012253527
437.68457094313123,4.076135408834411,0.008803851137515983,0.0028689512920282434,-0.8252399389031749,-0.30018226024855194,-0.1903326419268791,0.23940751866743418,0.5448440010525409,436.1964721321799,0.14310766872759015,0.0034115333479827203,snh1-3152k-expression000-smas100,PreviousInverse,225052,1127541,/home/liblaf/github/liblaf/apple/exp/2026/06/10/surface-prestrain/data/30-area-change-snh1-3152k-expression000-smas100-isface.vtp,/home/liblaf/github/liblaf/apple/exp/2026/06/10/surface-prestrain/data/30-volume-change-snh1-3152k-expression000-smas100.vtu,34372,777.8533532801507,3.7082869076371034,-3.85533524062148e-05,-0.00019613397729478788,-0.9982846079095784,54,-0.2919020133676445,-0.1367191109740391,0.12938079137543435,0.33712787873488337,778.4024852705625,0.10320329007408198,-0.0007054602224463302
432.78144790717795,0.20308513322066135,-0.0067644160976145905,-0.011101152240832413,-0.1684259023614626,-0.03603971337891883,-0.02623889149748912,0.03532025427429944,0.0719260402042318,436.1964721321799,0.021065265680213434,-0.007829096389314949,snh1-3152k-expression000-smas100,Prestrain,225052,1127541,/home/liblaf/github/liblaf/apple/exp/2026/06/10/surface-prestrain/data/30-area-change-snh1-3152k-expression000-smas100-isface.vtp,/home/liblaf/github/liblaf/apple/exp/2026/06/10/surface-prestrain/data/30-volume-change-snh1-3152k-expression000-smas100.vtu,34372,777.0475191161579,3.713259226550149,-0.0011141628917479428,-0.0003628204500594201,-0.9978230323390509,80,-0.30176417102380276,-0.14258983667646585,0.1319369717474359,0.3407209192303048,778.4024852705625,0.10534934609194263,-0.0017407012182567572
429.9369609262646,2.0091126817558056,0.010944341224096463,7.073301273585741e-07,-0.890824117217955,-0.3172110012104795,-0.22133413969559085,0.34858495456419203,0.5880941166820559,430.17431968961205,0.16980590487979486,-0.0005517734380767747,snh4-515k-expression000-smas1,Target,58651,253876,/home/liblaf/github/liblaf/apple/exp/2026/06/10/surface-prestrain/data/30-area-change-snh4-515k-expression000-smas1-isface.vtp,/home/liblaf/github/liblaf/apple/exp/2026/06/10/surface-prestrain/data/30-volume-change-snh4-515k-expression000-smas1.vtu,13079,811.2059486967864,55.703842453803304,0.17346300384189145,0.0,-0.9999862461723061,5711,-0.6488523964408024,-0.02386024902961817,0.8991059692603114,4.95281179693597,789.3602375680567,1.0504442092973771,0.027675210998763022
430.5472208647301,1.2596372538151486,0.012271221910570241,0.0033095300860737087,-0.5740211811412402,-0.2928293021594995,-0.19012514629216465,0.29322252586825387,0.5056113588084618,430.17431968961205,0.14562011503895306,0.0008668606145227908,snh4-515k-expression000-smas1,PreviousInverse,58651,253876,/home/liblaf/github/liblaf/apple/exp/2026/06/10/surface-prestrain/data/30-area-change-snh4-515k-expression000-smas1-isface.vtp,/home/liblaf/github/liblaf/apple/exp/2026/06/10/surface-prestrain/data/30-volume-change-snh4-515k-expression000-smas1.vtu,13079,786.6236484034969,2.371520074745829,-0.004931154849097798,2.9331292922152308e-05,-0.9867612972549823,27,-0.43453066392868495,-0.1391340438963546,0.12080522799792992,0.23637865723865803,789.3602375680567,0.10175001358053903,-0.0034668444574698087
402.2050528174465,-0.007178435123637472,-0.06682130687458579,-0.06736380260529351,-0.12260571222423489,-0.08878818647376571,-0.07893351319522948,-0.05406380465660997,-0.05029763532426623,430.17431968961205,0.06727739405023665,-0.06501844854975658,snh4-515k-expression000-smas1,Prestrain,58651,253876,/home/liblaf/github/liblaf/apple/exp/2026/06/10/surface-prestrain/data/30-area-change-snh4-515k-expression000-smas1-isface.vtp,/home/liblaf/github/liblaf/apple/exp/2026/06/10/surface-prestrain/data/30-volume-change-snh4-515k-expression000-smas1.vtu,13079,784.3353367889358,2.3063944424914578,-0.007935787645383635,-0.00019247668268379536,-0.9842567638327244,27,-0.44070876695864725,-0.14823129573504296,0.11890398821125259,0.2333119478463453,789.3602375680567,0.10312122738071985,-0.0063657890782568005
436.08258521851656,5.048755733597871,0.005209127583606913,0.0014486905423259921,-0.8761254266761266,-0.3176271963939119,-0.20554365733878327,0.259235400124903,0.5153565305938731,436.1964721321799,0.1481137794201252,-0.00026109086372627655,snh4-3152k-expression000-smas100,Target,225052,1127541,/home/liblaf/github/liblaf/apple/exp/2026/06/10/surface-prestrain/data/30-area-change-snh4-3152k-expression000-smas100-isface.vtp,/home/liblaf/github/liblaf/apple/exp/2026/06/10/surface-prestrain/data/30-volume-change-snh4-3152k-expression000-smas100.vtu,34372,802.6077138709536,76.46143904382464,0.12749398482628263,0.0,-0.9999999999999962,12860,-0.34717148045731067,0.0,0.20137373241816525,3.8471203287952997,778.4024852705625,1.0515354305395581,0.031096032012253527
